Table 1
								
								
		Harvesting ie collection of data which may be of use to us here						
	id	description	null	notes				
	0	"are indices, catalogues, or datasets which may contain guides, surveys, or aids eg bibliographies, finding aids"						
	1	"are guides, surveys, finding aids, lists of maps, etc"						
	2	are collections of data items or records						
	3	are data items or records themselves						
	0a	"online indices, catalogues, or datasets"						
	1a	"published guides, surveys, aids, bibliographies, finding aids, lists of maps"						
								
								
								
								
								
								
								
								
		"Bibliografía guatemalteca, catálogo de obras, folletos, etc., publicados en Guatemala desde la independencia hasta el año de 1850. T. 1 [1821-1830]"			http://id.lib.harvard.edu/alma/990044545640203941/catalog			
		"Bibliografía de la imprenta Guatemala en los siglos XVII y XVIII,"		digitised	http://id.lib.harvard.edu/alma/990062362150203941/catalog			
		Bibliothèque mexico-guatémalienne : précédée d'un coup d'œil sur les études américaines dans leurs rapports avec les études classiques et suivie du tableau par ordre alphabétique des ouvrages de linguistique américaine contenus dans le même volume : rédigée et mise en ordre d'après les documents de sa collection américaine		digitised	http://id.lib.harvard.edu/alma/990041623240203941/catalog			
		"Honduras, Oxford, England ; Santa Barbara, Calif. : Clio Press, c1992"		in Widener	http://id.lib.harvard.edu/alma/990024410530203941/catalog			
		Honduras bibliography and research guide		in Widener	http://id.lib.harvard.edu/alma/990002957970203941/catalog			
		Bibliografía hondureñ		in Widener	http://id.lib.harvard.edu/alma/990035048820203941/catalog			
		Indice de la bibliografía hondureña		in Widener	http://id.lib.harvard.edu/alma/990035049000203941/catalog			
		"Boletín de bibliografía yucateca : organo de la Biblioteca Yucateca ""Crescencio Carrillo y Ancona"" del Museo Arqueológico e Histórico de Yucatán"			http://id.lib.harvard.edu/alma/990045702110203941/catalog			
		Ensayo bibliográfico yucatanense : hasta la introducción de la imprenta en esta Provincia en 1813			http://id.lib.harvard.edu/alma/990023655920203941/catalog			
		Bibliografía antropológica de Yucatán			http://id.lib.harvard.edu/alma/990004691600203941/catalog			
		Enciclopedia yucatanense			http://id.lib.harvard.edu/alma/990016841210203941/catalog			
		A catalog of the Yucatán collection on microfilm in the University of Alabama libraries			http://id.lib.harvard.edu/alma/990009761470203941/catalog			
		Bibliografía yucateca			http://id.lib.harvard.edu/alma/990047114300203941/catalog			
		"Notes on the bibliography of Yucatan and Central America : comprising Yucatan, Chiapas, Guatemala (the ruins of Palenque, Ocosingo, and Copan), and Oaxaca (ruins of Mitla) : a list of some of the writers on this subject from the sixteenth century to the present time"		digitised	http://id.lib.harvard.edu/alma/990006958270203941/catalog			
		"Books, engravings, original drawings, maps, &c., relating to Central & South America"		OCLC: 226945723				
		"Recent acquisitions of books, etc. from Central America"		OCLC: 948267672				
		La frontera Sur de México : breve ensayo bibliográfico /		OCLC: 993657026				
