Table 1
P	TAB	URL	NO	REF	LVL	DATES	AGIID	AGIID DUP
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347274?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347274"" onerror=""sin_thumbnail('347274')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347274""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347274?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347274""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-04-06</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.81</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.81"	Us	1634-04-06	347274	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347275?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347275"" onerror=""sin_thumbnail('347275')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347275""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347275?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347275""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-04-12</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.82</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.82"	Us	1634-04-12	347275	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347276?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347276"" onerror=""sin_thumbnail('347276')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347276""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347276?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347276""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-06-07</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.83</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.83"	Us	1634-06-07	347276	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347277?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347277"" onerror=""sin_thumbnail('347277')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347277""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347277?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347277""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-08-13</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.84</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.84"	Us	1634-08-13	347277	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347278?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347278"" onerror=""sin_thumbnail('347278')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347278""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347278?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347278""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-08-13</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.85</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.85"	Us	1634-08-13	347278	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347279?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347279"" onerror=""sin_thumbnail('347279')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347279""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347279?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347279""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-08-14</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.86</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.86"	Us	1634-08-14	347279	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347280?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347280"" onerror=""sin_thumbnail('347280')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347280""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347280?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347280""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1635-03-27</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.14,N.87</p></td></tr>"	http	15	"GUATEMALA,15,R.14,N.87"	Us	1635-03-27	347280	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347281?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347281"" onerror=""sin_thumbnail('347281')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347281""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347281?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347281""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1635-06-04</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.14,N.88</p></td></tr>"	http	15	"GUATEMALA,15,R.14,N.88"	Us	1635-06-04	347281	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347282?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347282"" onerror=""sin_thumbnail('347282')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347282""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347282?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347282""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1636-03-09</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.15,N.89</p></td></tr>"	http	15	"GUATEMALA,15,R.15,N.89"	Us	1636-03-09	347282	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347283?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347283"" onerror=""sin_thumbnail('347283')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347283""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347283?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347283""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1636-03-09</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.15,N.90</p></td></tr>"	http	15	"GUATEMALA,15,R.15,N.90"	Us	1636-03-09	347283	0
