Table 1
ID	TERM	HIT	LINK	L FT	C FT	TALLY 0	IL YR	IU YR	BL YR	BU YR	COLLECTOR	TITLE	AID 0		AID 1																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=211&fileloc=211_stxarchivesorgadminutsa00178xml	oclc	27.3	eee	eee	1944	2009	eee	eee	University of Texas at San Antonio Libraries Special Collections	Jacinto Quirarte Papers	https://txarchives.org/utsa/finding_aids/00178.xml	xxx	eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00073xml	oclc	eee	eee	2636	1944	1963	eee	eee	"Benson Latin American Collection, The University of Texas at Austin"	Revolution and Counterrevolution in Guatemala	https://txarchives.org/utlac/finding_aids/00073.xml	xxx	eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00312xml	oclc	46	eee	eee	1906	2010	1917	1976	"Benson Latin American Collection, The University of Texas at Austin"	José Revueltas Papers	https://txarchives.org/utlac/finding_aids/00312.xml	xxx	eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=327&fileloc=327_sirismmsiedusiriseadssiafa08005eadxml	oclc	eee	30.8	eee	1934	2007	eee	eee	Smithsonian Institution Archives	Melbourne R. Carriker Papers	eee		eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00068xml	oclc	eee	eee	eee	eee	eee	eee	eee	"Benson Latin American Collection, The University of Texas at Austin"	mmm	eee		eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=416&fileloc=416_slibrariespsuedufindingaids1764enhtm	oclc	14	eee	eee	1691	1994	1930	1979	"Eberly Family Special Collections Library Repository, Penn State University "	Luis Alberto Sánchez papers	https://aspace.libraries.psu.edu/repositories/3/resources/11057	xxx	eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/collection/data/143_vorocdliborgoaceadprime2002berkeleybancroftarchivohistorico_film_cubancxml?p=1&q=Belice	oclc	eee	eee	eee	eee	eee	eee	eee	Bancroft Library	Archivo Histórico de la Defensa Nacional records	eee		eee																
mmm	belice	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00075xml	oclc	eee	eee	eee	eee	eee	eee	eee	"Benson Latin American Collection, The University of Texas at Austin"	Lázaro de la Garza Archive	eee		eee																
mmm	"""logwood honduras""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=137&fileloc=137_swwwrihsorgmssinvmss1140htm	oclc	eee	eee	eee	eee	eee	eee	eee	Rhode Island Historical Society	James Card Family Papers	eee		eee																
mmm	"""logwood honduras""~3"	https://researchworks.oclc.org/archivegrid/collection/data/1235900952	oclc	eee	eee	eee	eee	eee	eee	eee	"Penobscot Marine Museum, Stephen Phillips Memorial Library"	James Henry Cunningham family papers	eee		eee																
mmm	"""logwood honduras""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=418&fileloc=418_ss3amazonawscomharvardeadhou02706xml	oclc	eee	eee	eee	eee	eee	eee	eee	"Houghton Library, Harvard"	Oswald correspondence concerning the negociation of the Peace of 1782 with the American commissioners in Paris	eee		eee																
mmm	"""logwood honduras""~6"	https://researchworks.oclc.org/archivegrid/fa.php?id=246&fileloc=246_findingaidwinterthurorghtmlhtml_finding_aidscol0245htm	oclc	eee	eee	eee	eee	eee	eee	eee	Winterthur	Shipping Records	eee		eee																
mmm	"""logwood honduras""~8"	https://researchworks.oclc.org/archivegrid/fa.php?id=137&fileloc=137_swwwrihsorgmssinvpeopleofcolorwebhtm	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""logwood honduras""~9"	https://researchworks.oclc.org/archivegrid/collection/data/33961103	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""english honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/36553615	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""english honduras""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=322&fileloc=322_ssearchamphilsocorgcollectionsdataeadmssmscoll115eadxml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""rattan honduras""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=414&fileloc=414_slibrarydukeedurubensteinfindingaidsmccollomthomascxml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""rattan honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/640165802	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/743316444	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/85413717	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/1262901777	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=6741&fileloc=6741_sdigitallibecueduspecialeadfindingaids0472002	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/431562804	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/85413722	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/26608979?p=1&q=%22omoa+honduras%22%7E10	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/22110177	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/22110187	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/26608636?p=1&q=%22omoa+honduras%22%7E10	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/22110117	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/22110127	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/755621437	oclc	eee	eee	eee	eee	eee	eee	eee	U.S. Naval War College	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/60454372	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/collection/data/17_vorocdliborgoaceadprime2002uclamsslocke127xml?p=1&q=%22omoa+honduras%22%7E10	oclc	eee	eee	eee	eee	eee	eee	eee	"University of California, Los Angeles - Charles E. Young Research Library"	mmm	eee		eee																
mmm	"""omoa honduras""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00068xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""logwood british""~10"	https://researchworks.oclc.org/archivegrid/collection/data/122588179	oclc	eee	eee	eee	eee	eee	eee	eee	Louisiana State University - Special Collections	mmm	eee		eee																
mmm	"""logwood british""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=418&fileloc=418_ss3amazonawscomharvardeadhou02671xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/48629903	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=61&fileloc=61_archivesnyplorgmss2888ead	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/725437046	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/880338934	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=61&fileloc=61_archivesnyplorgmss2026ead	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/122532302	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/58660710	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/709967162	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=388&fileloc=388_sfindingaidshagleyorgrepositories3resources834	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/58665377	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00763xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/122588179	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/58662748	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=350&fileloc=350_srawgithubusercontentcomvaheritagealleadssvncwviwc00258xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=5692&fileloc=5692_slibguidesmurraystateeduspecialcollectionsms1211	oclc	eee	eee	eee	eee	eee	eee	eee	Murray State University - Special Collections and University Archives	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/58783399	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/122385157	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
