C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	REPOSITORY	CITY	COUNTRY	VIA	NOTE	LINK	
		MS	Rawl MSS A. d	1101	1800	xxx	"Rawlinson Manuscripts, Series A: English History, 12th-18th century"					Bodleian Library	Oxford	UK	Bod Lib Catalogue	Bod Lib Catalogue Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 		
		MS	"AGN Mex, Reales Cédulas, d"	1520	1820	447	Reales Cédulas					Archivo General de la Nación	Mexico	Mexico	AGN Mexico Guía			
		MS	SP d/d	1231	1888	127	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"					National Archives	Kew	UK	TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3		
		MS	FO d/d	1567	2004	1113	Records created or inherited by the Foreign Office					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	ADM d/d	1205	1998	363	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	CUST d/d	1554	2019	208	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	CO d/d	1570	1990	1073	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"					National Archives	Kew	UK	TNA Kew Catalogue	"TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "		
		MS	FCO d/d	1878	2019	188	Records of the Foreign and Commonwealth Office and predecessors					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	Sloane MS	1	1964	3885	Sloane Manuscripts					British Library	London	UK	BL Catalogue			
		MS	BL Thomason Tracts E. d	1640	1661	2000	Thomason Tracts					British Library	London	UK	BL Catalogue			
		MS	Westminster d	1066	1900	xxx	Muniments of Westminster Abbey					Westminster Abbey	London	UK	Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "		
		MS	"AGCA, a"	1544	1821	xxx						Archivo General de Centro América	Guatemala	Guatemala		"Likely using catalogue by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "		
		MS	C 110/152	1681	1812	1	Commercial correspondence and accounts					National Archives	Kew	UK		Particularly Brailsford v Peers records [1681–94]		
