Table 1
			mm	dd	U mm	U dd	Newspaper	State	Academic	Press		Hazard	By	On	Place	Place	Place	Source	Title	Place	ID	Collection	Source	Name	Title	R Deaths	R Deaths
30 Jun 1773	73	17			06	30	1					Assault	Maya					"Morning Chronicle 7 Sep 1773 1339; Rivington’s New York Gazetteer 5 Aug. 1773 issue 16, 4 Nov 1773 issue 29"	Morning Chronicle	London	1339	Burney	Gale				
30 Nov 1773	73	17			11	30	1					Revolt	Slaves					Middlesex Journal 30 Nov to 2 Dec 773 issue 730	Middlesex Journal	London	730	Burney	Gale			4	
2 Mar 1775	75	17			03	02	1					Assault	Spanish					London Evening Post issue 2 Mar 1775 8258	London Evening Post	London	8258	Burney	Gale				
15 Sep 1779	79	17			09	15	1	1	1			Assault	Spanish					"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5; Lloyd’s Evening Post 5 to 7 Mar. 1781 issue 3699; Whitehall Evening Post 20 to 23 Jul 1783 issue 5668; London Chronicle 10 to 13 Aug 1782 p. 9 issue 4010; English Chronicle 8 to 10 Aug 1782 p. 3 issue 566; Morning Herald 26 Dec 1783 p 2 issue 987; The Gazette of Saint Jago de le Vega (Jamaica) 17 Oct 1782 p. 3; Antigua Weekly Register 11 Nov 1818 p 4"	London Gazette	London	12040	Burney	Gale		Battle of St. George’s Caye	2	
16 Oct 1779	79	17			10	16	1		1			Assault	English	Spanish	Omoa			"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"	London Gazette	London	12040	Burney	Gale		Siege of Omoa	4	
5 Aug 1784	84	17	08			05	1		1									London Chronicle 5 to 8 Feb 1785 p. 7	London Chronicle	London	4411	Burney	Gale				
30 Oct 1784	84	17	10			30	1		1									Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; Essex Journal 8 Mar 1786 p 3 issue 88	Times	London	386	Times	Gale				
23 Nov 1784	84	17			11	23	1											“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle 14 to 16 Oct 1784 issue 4362; Morning Chronicle / London Advertiser xxx 1785 xxx	London Chronicle	London	4362	Burney	Gale				
24 Jul 1787	87	17			07	24	1					Riot	Arrivals					Morning Chronicle 25 Jul 1787 issue 5680	Morning Chronicle	London	5680	Burney	Gale		Mosquito Shoremen’s Riots		
2 Sep 1787	87	17	09			02	1		1			Storm						London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx; Pennsylvania Mercury / Universal Advertiser 5 Jan 1788 issue 179; Daily Advertiser 14 Jan 1788 v IV issue 902	London Chronicle	London	4865	Burney	Gale				
31 Jan 1788	88	17			01	31	1					Outbreak						New-York Morning Post 6 Feb 1788 1215	New-York Morning Post	New York	1215	Readex	NewsBank				
15 Jul 1792	92	17	07			15	1					Flood						Times 11 Feb 1793 p. 3	Times	London	2530	Times	Gale				
28 Dec 1793	93	17			12	28	1					Assault	Maya					Whitehall Evening Post 13 to 15 Mar 1794 issue 7135	Whitehall Evening Post	London	7135	Burney	Gale				
10 Sep 1798	98	17	09	10				1				Assault	Spanish					London Gazette No. 15100. p. 69	London Gazette	London	15100	Burney	Gale				
1 Jun 1812	12	18	06			01			1			Storm						“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97	Climate Change		10.1007/s10584-005-9005-2		Springer	Mr. M. Chenoweth			
3 Aug 1813	13	18	08			03	1		1			Storm						Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	Morning Post	London	13484	NewsVault	Gale				
30 May 1823	23	18	05			30	1			1		Outbreak		Arrivals				Hampshire Chronicle 9 Jan 1815 v XLII issue 2122; Times 18 Oct 1823 issue 12006; The Land that Never Was by Sinclair David 2004	Times	London	12006	Times	Gale		Poyais Scheme		
31 Mar 1824	24	18	03			31	1					Assault	Pirates					Jamaica Journal 15 May 1824	Jamaica Journal	Kingston	II 5	Readex	NewsBank				
28 Jun 1831	31	18	06			28	1		1			Storm						"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 186; Jamaica Watchman 24 Aug 1831 p 1"	Jamaica Watchman	Kingston	III 68	Readex	NewsBank				
31 Oct 1852	52	18	10			31	1					Flood			Belize			"Weekly Herald (NY, NY) 4 Dec 1852 XVI 49"	Weekly Herald	New York	XVI 49	Readex	NewsBank				
28 Jan 1854	54	18	01	28			1	1				Outbreak						"Sir J.A. Burdon, Archives v 3, p. 174; Morning Chronicle 22 Mar 1854 27220; Philadelphia Inquirer 13 Mar 1854; Sun (Baltimore, MD) 19 May 1854 XXXV 2"	Morning Chronicle	London	27220	Burney	Gale		Cholera		
13 Aug 1854	54	18	08	13			1					Fire			Belize			"NYT “Fire in Honduras” 28 Sep 1854, p. 3;Morning Chronicle 18 Sep 1854 27374; Times-Picayune (New Orleans) 1 Sep 1854 ed. Eve.; Weekly Herald NY, NY 21 Oct 1854"	Morning Chronicle	London	27374	Burney	Gale				
17 Jul 1856	56	18	07	17			1	1				Fire			Belize			"NYT “Large Fire at Belize, Honduras” 18 Aug 1865 p. 4; Daily News 3199; Sir J.A. Burdon, Archives v 3, p. 190; NY Herald 26 Aug 1856 7301"	New York Herald	New York	7301	Readex	NewsBank				
