Table 1
	King?	Q end	Start OS	End OS	In	Log	p	img	Date OS	Name	for	Note								
						10		321	31 jan	10 ketch bos										
						20		321	31 jn	20 brig lon										
						40		321	31 jan	40 pink lon										
						15		322	18 feb	15 brig bos										
						25	h	325	6 mar	25 brig jam										
						32		325	8 mar	32 brig jam										
330			25 Mar 1689	25 Jun 1689	0	496.5					EWBuT									
333			25 Mar 1689	25 Jun 1689	1	12		333	3 apr	12 sloop jam										
						10		333	5 apr	10 sloop jam										
						23		334	9 apr	23 sloop jam										
						15	h	334	10 apr	15 brig RI										
						6		334	24 apr	6 sloop jam										
						20	h	335	24 may	20 barque jam										
						16		336	3 jun	16 sloop jam										
341			25 Jun 1689	25 Sep 1689	0	269					EWBuT									
343			25 Jun 1689	25 Sep 1689	1	40		343	29 jun	40 sloop jam										
						8	Cape Cartoach	343	8 jul	10 sloop jam										
						16		343	12 jul	18 sloop jam										
						16		346	31 jul	16 barque jam										
						6		348	4 sep	6 sloop jam		index at img354								
356			25 Mar 1709	29 Sep 1711	1	60	h	357	6 may 1709	brig										
						41		369	2 feb 1709	brig										
						30	h	370	23 mar 1709	sloop										
						70		372	24 apr 1710	ship										
						40	h	372	30 may 1710	brig										
						60		379	29 nov 1710	sloop										
						12	truxillo	381	25 jan 1710	sloop										
						50		383	28 mar 1711	brig										
						2	musketal	386	28 jun 1711	sloop										
						10.5	h & mosq	392	21 jun 1709	sloop		 + 30 Indians								
						27	h	394	11 sep 1709	sloop										
						52	h	395	31 oct 1709	sloop										
						60		395	6 dec 1709	brig										
						100		395	6 dec 1709	ship										
						12	bahamas	395	13 dec 1709	sloop										
						36	h	397	9 feb 1709	ship										
						40	h	397	10 feb 1709	sloop										
						30		399	4 may 1710	ship										
						25		402	6 dec 1710	sloop										
						25		403	9 mar 1710	sloop										
						150		406	14 may 1711	ship										
410			25 Mar 1709	29 Sep 1711	0	22					"Lon, Bristoll"	+ “a parcel”; from Port Royal								
415			25 Mar 1712	29 Sep 1713	1															
423			25 Mar 1712	29 Sep 1713	0	975.10.2.0					not stated	+ 4854 sticks								
430			29 Sep 1713	25 Mar 1715	0	2413.11.1.0					not stated	+ 5388 sticks								
455			25 Mar 1718	24 Jun 1718	0	235					not stated									
459			25 Mar 1718	24 Jun 1718	1															
466			25 Jun 1718	29 Sep 1718	0	122	not stated					Kingston								
469			24 Jun 1718	29 Sep 1718	1							Port Royal								
471			29 Sep 1718	25 Dec 1718	1							Port Royal								
473			25 Jun 1718	29 Sep 1718	1							Kingston								
476			29 Sep 1718	25 Dec 1718	1	45	La ? Ciua	477	21 oct	sloop jam		cf img477								
479			29 Sep 1718	25 Dec 1718	0	233					"Lon, Bristol"									
482			24 Jun 1718	29 Sep 1718	0							Port Royal								
484			29 Sep 1718	25 Dec 1718	0	0.20.0.0					Bristol	Port Royal								
486			29 Sep 1719	25 Dec 1719	0	15					"Lon, Bristol"	Kingston								
489			25 Jun 1719	29 Sep 1719	0	11					Lon	Kingston								
492			25 Mar 1719	24 Jun 1719	0	0.96.0.0						Kingston; stopped recording destination & port								
495			25 Dec 1718	25 Mar 1719	0	0.99.0.0														
498			25 Dec 1718	25 Mar 1719	1															
500			25 Mar 1719	24 Jun 1719	1															
502			24 Jun 1719	29 Sep 1719	1															
504			29 Sep 1719	25 Dec 1719	1															
506			25 Dec 1718	25 Mar 1719	1															
508			25 Mar 1719	24 Jun 1719	1	40	h	508	9 apr 1719	35 sloop NE										
510			24 Jun 1719	29 Sep 1719	1															
512			29 Sep 1719	29 Dec 1719	1															
514			25 Dec 1718	25 Mar 1719	0															
516			25 Mar 1719	24 Jun 1719	0	35	Lon													
518			24 Jun 1719	29 Sep 1719	0															
520			29 Sep 1719	25 Dec 1719	0															
522			24 Jun 1719	25 Dec 1719	1															
524			24 Jun 1719	25 Dec 1719	0	26					not stated									
529			25 Dec 1719	25 Mar 1720	0															
530			25 Dec 1719	25 Mar 1720	1															
532			25 Mar 1720	25 Jun 1720	0	148.5														
533			25 Mar 1720	25 Jun 1720	1	35	h	533	5 apr	18 sloop PA										
535			25 Mar 1720	25 Jun 1720	0															
536			25 Dec 1719	25 Mar 1720	0															
538			21 Sep 1721	25 Mar 1722	1															
546			29 Sep 1721	25 Mar 1722	0	53.15.0														
575			1 Feb 1727	24 Jun 1727	1	40	RI & Ha??	575	10 feb 1727	15 sloop RI										
						70	h	575	13 feb	35 sloop RI										
						300	h	575	15 feb	180 ship Lon										
						300	h	575	15 feb	150 ship lon										
						50	h	575	17 feb	35 sloop RI										
						100	h	575	22 feb	95 ship NY										
						250	h	575	23 feb	150 ship Lon										
