Table 1
No	Start	End	Value		Sum	US	Jam	Span / Mosq	Mosq	Other			Car GA FL	NE NY Prov PA	Vi Mary	Canada	Jam	WI	Span WI	Prize		Car GA FL	NE NY Prov PA	Vi Mary	Can	Jam	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize							
9	mas 05	mas 06	10 to 14		321	212.25625	108.497569444444	0	0	0.2			2880	2880	2880	2880	2880	2880	2880	2880		4.96388888888889	207.292361111111	0	0	108.497569444444	0	0	0	0		0/0/0	0/0/0	0/0/0	1648/17/2	0/0/0	0/0/0	290/17/0	502/16/0	0/0/0	0/0/0	1200/3/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	59/11/4	0/0/0	45/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	101/15/8	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2/8/0					1648/17/2			290/17/0	502/16/0			1200/3/9									59/11/4		45/0/0						101/15/8							2/8/0							
10	mas 06	mas 07	10 to 14 Lon … 9 to 15 Out		829	630.382986111111	183.125	0	0	15.9625			2880	2880	2880	2880	2880	2880	2880	2880		89.4125	540.970486111111	0	0	183.125	15.9625	0	0	0		0/0/0	1072/19/0	0/0/0	4532/13/1	0/0/0	0/0/0	244/6/3	0/0/0	0/0/0	120/0/0	1568/9/8	48/12/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	391/13/6	0/0/0	1318/16/1	4/4/0	0/0/0	0/0/0	629/0/4	22/19/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1072/19/0		4532/13/1			244/6/3			120/0/0	1568/9/8	48/12/0										391/13/6		1318/16/1	4/4/0			629/0/4	22/19/0													
11	mas 07	mas 08	10 to 14		"1,290"	939.852777777778	289.015972222222	0	0	60.6557291666667			2880	2880	2880	2880	2880	2880	2880	2880		50.1201388888889	888.5625	1.17013888888889	0	289.015972222222	60.6557291666667	0	0	0		0/0/0	491/4/3	0/0/0	5974/13/4	0/0/0	0/0/0	2834/0/1	0/0/0	11/8/0	111/7/4.5	3381/15/4	208/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	110/4/7	0/0/0	1499/14/0	0/0/0	354/7/7	0/0/0	2/12/10	0/0/0	86/8/6	0/0/0	408/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			491/4/3		5974/13/4			2834/0/1		11/8/0	111/7/4.5	3381/15/4	208/10/0								110/4/7		1499/14/0		354/7/7		2/12/10		86/8/6		408/0/0												
12	mas 08	mas 09	9 to 15		826	678.202430555556	105.714583333333	0	0	41.8116319444444			2880	2880	2880	2880	2880	2880	2880	2880		155.804861111111	503.477430555556	18.9201388888889	0	105.714583333333	41.0741319444444	0	0	1		0/0/0	1858/5/6	0/0/0	4720/5/2	0/0/0	0/0/0	544/14/6	0/0/0	218/5/0	0/0/0	1268/11/6	301/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	11/7/8	0/0/0	365/4/10	0/0/0	411/10/1	0/0/0	8/15/10	0/0/0	0/0/0	0/0/0	191/13/9.5	0/0/0	0/0/0	0/0/0	0/0/0	8/17/0			1858/5/6		4720/5/2			544/14/6		218/5/0		1268/11/6	301/4/0								11/7/8		365/4/10		411/10/1		8/15/10				191/13/9.5					8/17/0							
13	mas 90	mas 10	10 to 14		653	239.330208333333	407.210069444444	0	0	6.7875			2880	2880	2880	2880	2880	2880	2880	2880		14.09375	221.986458333333	3.25	0	407.210069444444	6.7875	0	0	0		0/0/0	0/0/0	0/0/0	2101/15/8	0/0/0	0/0/0	173/2/0	0/0/0	39/0/0	0/0/0	3050/8/0	0/0/0	81/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	169/2/6	0/0/0	245/17/1	0/0/0	143/2/0	0/0/0	0/0/0	0/0/0	1836/2/5	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					2101/15/8			173/2/0		39/0/0		3050/8/0		81/9/0							169/2/6		245/17/1		143/2/0				1836/2/5														
14	mas 10	mas 11	10 to 14		470	170.642361111111	250.88125	0	0	48.8076388888889			2880	2880	2880	2880	2880	2880	2880	2880		1.3875	128.917361111111	40.3375	0	250.88125	48.8076388888889	0	0	0		0/0/0	16/13/0	0/0/0	1302/8/8	0/0/0	0/0/0	0/0/0	0/0/0	243/6/0	0/0/0	1605/16/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	229/9/3	0/0/0	15/2/3	0/0/0	240/15/0	0/0/0	1404/15/5	0/0/0	585/13/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			16/13/0		1302/8/8					243/6/0		1605/16/1											229/9/3		15/2/3		240/15/0		1404/15/5		585/13/10												
15	mas 12	mas 13	10 to 14		"2,190"	1464.69791666667	710.099652777778	0	0	15			2880	2880	2880	2880	2880	2880	2880	2880		91.1795138888889	1365.99340277778	7.525	0	710.099652777778	15	0	0	0		0/0/0	1003/2/10	0/0/0	14467/4/5	0/0/0	0/0/0	469/19/0	0/0/0	0/12/0	0/0/0	4064/17/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	91/0/3	0/0/0	560/8/9	0/0/0	894/6/3	0/0/0	89/14/0	180/0/0	4456/6/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1003/2/10		14467/4/5			469/19/0		0/12/0		4064/17/4									91/0/3		560/8/9		894/6/3		89/14/0	180/0/0	4456/6/7														
16	mas 13	mas 14	10 to 14		"4,766"	3181.30555555555	1542.39236111111	0	0	42.8004340277778			2880	2880	2880	2880	2880	2880	2880	2880		125.942708333333	2934.91284722222	120.45	0	1542.39236111111	42.8004340277778	0	0	0		0/0/0	781/1/10	0/0/0	21764/15/7	0/0/0	0/0/0	7224/16/11	884/3/6	1442/2/0	363/13/3.25	12003/12/10	120/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	730/4/5	0/0/0	857/0/2	0/0/0	4488/2/11	0/0/0	3/6/0	0/0/0	6505/1/4	0/0/0	29/18/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			781/1/10		21764/15/7			7224/16/11	884/3/6	1442/2/0	363/13/3.25	12003/12/10	120/0/0								730/4/5		857/0/2		4488/2/11		3/6/0		6505/1/4		29/18/10												
17	mas 14	mas 15	10 to 14		"5,860"	3524.64166666667	1780.71388888889	0	0	554.311111111111			2880	2880	2880	2880	2880	2880	2880	2880		396.590972222222	3112.03125	16.0194444444444	0	1780.71388888889	554.311111111111	0	0	0		0/0/0	2220/16/11	0/0/0	25856/11/8	0/0/0	0/0/0	4176/6/9	1772/13/5	192/4/8	2257/9/2	14903/10/1	9/2/3	27/9/0	10/14/6	877/16/0	1116/18/0	0/0/0	0/0/0	0/0/0	2538/4/11	0/0/0	2443/18/0	0/0/0	3094/17/8	0/0/0	0/0/0	2352/5/9	6465/1/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			2220/16/11		25856/11/8			4176/6/9	1772/13/5	192/4/8	2257/9/2	14903/10/1	9/2/3	27/9/0	10/14/6	877/16/0	1116/18/0				2538/4/11		2443/18/0		3094/17/8			2352/5/9	6465/1/3														
18	mas 15	mas 16	10 to 14		"2,056"	1397.92638888889	591.618402777778	0	0	66.0763888888889			2880	2880	2880	2880	2880	2880	2880	2880		405.08125	985.645486111111	7.19965277777778	0	591.618402777778	66.0763888888889	0	0	0		0/0/0	4033/8/0	0/0/0	7363/13/9	0/0/0	0/0/0	582/14/6	432/7/8	5/7/11	601/0/2	3886/10/11	80/3/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	827/11/6	0/0/0	2146/4/0	0/0/0	1189/17/0	112/18/0	81/0/0	87/19/6	3212/17/6	13/10/10	10/4/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			4033/8/0		7363/13/9			582/14/6	432/7/8	5/7/11	601/0/2	3886/10/11	80/3/6								827/11/6		2146/4/0		1189/17/0	112/18/0	81/0/0	87/19/6	3212/17/6	13/10/10	10/4/4												
