C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Cockburn	J. Cockburn				1740	1740	London	UK	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners"		"Cockburn, John. The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... : containing a journey over land from the Gulph of Honduras to the great South Sea ... as also an account of the manners, customs, and behaviour of the several Indians inhabiting a tract of land of 2400 miles ... Printed and sold by the booksellers of London and Westminster, 1740. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230&pg=1. Accessed 17 Feb. 2021."	
		Honestus	Honestus				1741	1741	London	UK	The profit and loss of Great Britain in the present war with Spain		"Honestus. The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend. Printed for J. Roberts, ..., 1741. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392227/SABN?u=camb55135&sid=SABN&xid=5588032e&pg=1. Accessed 17 Feb. 2021."	
		Philalethes	Philalethes				1742	1742	London	UK	The profit and loss of Great-Britain and Spain		"Philalethes. The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author. Printed for T. Cooper, ..., 1742. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5&pg=1. Accessed 17 Feb. 2021."	
		MacSparran	J. MacSparran				1753	1753	Dublin	Ireland	America dissected		"MacSparran, James. America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ... Printed and sold by S. Powell, 1753. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340&pg=1. Accessed 19 Feb. 2021."	
		Burke	"E. Burke, W. Burke"			2	1808	1757	London	UK	An Account of the European Settlements in America		https://www.google.com/books/edition/An_Account_of_the_European_Settlements_i/G_sMAAAAYAAJ?hl=en&gbpv=0	
		Lon 62	sn			2	1762	1762	London	UK	The American gazetteer		"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ... Vol. 2, Printed for A. Millar [etc.], 1762. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b&pg=109. Accessed 17 Feb. 2021."	
		Jefferys	T. Jefferys				1775	1775	London	UK	"The West-India atlas, or, A compendious description of the West-Indies"		"Jefferys, Thomas. The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c. Printed for Robert Sayer and John Bennett, 1775. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d&pg=16. Accessed 17 Feb. 2021."	
		Lon 79	sn				1779	1779	London	UK	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore"		"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb&pg=1. Accessed 17 Feb. 2021."	
		White 1 Hon	R. White				1789	1789	London	UK	The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain 		"White, Robert, et al. The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain. Printed for T. Cadell, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710&pg=1. Accessed 17 Feb. 2021."	
		White 1 Mos	R. White				1789	1789	London	UK	The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America 		"White, Robert. The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789. Printed for T. Cadell in the Strand, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09&pg=1. Accessed 17 Feb. 2021."	
		Lon 90 Narrative	sn				1790	1790	London	UK	A narrative of the negotiations occasioned by the dispute between England and Spain		"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790. [s.n.], [1791?]. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c&pg=1. Accessed 17 Feb. 2021."	
		Verus	"Verus, J. B. Burges"				1790	1790	London	UK	Letters lately published in The diary on the subject of the present dispute with Spain		"Verus., and James Bland Burges. Letters lately published in The diary on the subject of the present dispute with Spain. Printed for G. Kearsley ..., 1790. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102153815/SABN?u=camb55135&sid=SABN&xid=252b8bd7&pg=69. Accessed 17 Feb. 2021."	
		White 2 Hon	R. White				1793	1793	London	UK	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore "		"White, Robert. The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3&pg=1. Accessed 17 Feb. 2021."	
		White 2 Mos	R. White				1793	1793	London	UK	The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore 		"White, Robert. The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore : stating the whole of his conduct in soliciting compensation for the losses sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105619504/SABN?u=camb55135&sid=SABN&xid=8970463d&pg=1. Accessed 17 Feb. 2021."	
		Henderson	G. Henderson				1809	1809	London	UK	An account of the British settlement of Honduras 		"Henderson, George. An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ... C. and R. Baldwin, 1809. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2a9. Accessed 17 Feb. 2021."	
		Edwards 4	B. Edwards			4	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 4, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103354739/SABN?u=camb55135&sid=SABN&xid=f999489c&pg=261. Accessed 17 Feb. 2021."	
		Edwards 5	B. Edwards			5	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 5, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106428381/SABN?u=camb55135&sid=SABN&xid=e80cf12a&pg=1. Accessed 17 Feb. 2021."	
		Armstrong	"J. Armstrong, G. Arthur"				1824	1824	London	UK	"A candid examination of ""The defense of the settlers of Honduras"" "		https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc&pg=1	
		Lon 24	sn				1824	1824	London	UK	"The defence, &c. &c."		https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f&pg=40	
		Winthrop 1	J. Winthrop	J. K. Hosmer		1	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"	Transcribes part of Winthrop Papers of Massachusetts Historical Society	https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/Y9PIGzZI66oC?hl=en&gbpv=0	
		Winthrop 2	J. Winthrop	J. K. Hosmer		2	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"		https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/0D2lSuKkDmYC?hl=en&gbpv=1&printsec=frontcover	
		Southey	T. Southey			2	1827	1827	London	UK	Chronological history of the West Indies		"Southey, Thomas. Chronological history of the West Indies. Vol. 2, Longman, Rees, Orme, Brown, and Green, 1827. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104192403/SABN?u=camb55135&sid=SABN&xid=9a3daa27&pg=257. Accessed 17 Feb. 2021."	
		Martin 1	R. M. Martin			1	1836	1836	London	UK	History of the West Indies		"Martin, Robert Montgomery. History of the West Indies: Comprising Jamaica, Honduras, Trinidad, Tobago, Grenada, The Bahamas, and The Virgin Isles. Vol. 1, Whittaker & Co., 1836. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0112507654/SABN?u=camb55135&sid=SABN&xid=06da52f8&pg=72. Accessed 17 Feb. 2021."	
		Martin 2	R. M. Martin				1837	1837	London	UK	Colonial policy of the British Empire		"Martin, Robert Montgomery. Colonial policy of the British Empire. Pt. 1, Government. W.H. Allen & Co., 1837. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106089023/SABN?u=camb55135&sid=SABN&xid=1305c6c0&pg=90. Accessed 17 Feb. 2021."	
		Eastern	Eastern Coast of Central America Commercial and Agricultural Company				1839	1839	London	UK	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala"		"Eastern Coast of Central America Commercial and Agricultural Company. Board of Directors. Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala. Whittaker & Co., 1839. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106797626/SABN?u=camb55135&sid=SABN&xid=fc50e901&pg=7. Accessed 17 Feb. 2021."	
