C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Exquemeling	A. O. Exquemeling	G. A. Williams	sn		1914	1678	Amsterdam	Netherlands	The Pirates of Panama	Translated from or on 1684 Spanish or French edition	https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm	
		Cogolludo	"D. L. de Cogolludo, F. de Ayeta"				1688	1688	Madrid	Spain	Historia de Yucathan		"López de Cogolludo, Diego, and Francisco de Ayeta. Historia de Yucathan. Jvan Garcia Infanzen, 1688. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13&pg=444. Accessed 18 Feb. 2021."	
		Roteta	S. de Roteta				1694	1694	Madrid	Spain	Method of Securing the Ports and Populations of All the Coasts of the Indies		https://www.wdl.org/en/item/4393/	
		Dampier 2	W. Dampier			2	1700	1699	London	UK	Voyages and descriptions vol 2		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311	
		Johnson	C. Johnson				1724	1724	London	UK	General History of the Pyrates	“The second Edition” = 1724	https://www.gutenberg.org/files/40580/40580-h/40580-h.htm	
		Knight	"A. B., J. Knight"				1726	1726	London	UK	The state of the island of Jamaica.		https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf&pg=15	
		Uring	N. Uring				1726	1726	London	UK	A history of the voyages and travels of Capt. Nathaniel Uring		https://link.gale.com/apps/doc/CW0100827679/ECCO?u=camb55135&sid=ECCO&xid=93c13f09	
		Lon 29	sn				1729	1729	London	UK	Observations on the conduct of Great-Britain		"Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad. Printed and sold by J. Roberts, 1729. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101707279/SABN?u=camb55135&sid=SABN&xid=19effaa4&pg=24. Accessed 17 Feb. 2021."	
		Lon 32	sn				1732	1732	London	UK	"The history and lives of all the most notorious pirates, and their crews"	4th ed = 1734	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy. 4th ed., Printed for Edw. Midwinter ..., 1732. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105489709/SABN?u=camb55135&sid=SABN&xid=93626f95&pg=131. Accessed 18 Feb. 2021."	
		Atkins	J. Atkins				1735	1735	London	UK	"Voyage to Guinea, Brasil, and the West-Indies"		https://archive.org/details/voyagetoguineabr00atki	
