Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 163	163	1833																																					" £	230,748.83 "	" £	14,574.08 "	" £	77,543.94 "	CUST 4/28	" £	235,156 "	" £	242,330 "		" £	194,950 "	" £	154,344 "	Martin 140-1									
T 164	164	1834																																					" £	263,432.34 "	" £	22,791.16 "	" £	121,072.65 "	CUST 4/29	" £	318,234 "	" £	286,800 "		" £	272,609 "	" £	209,118 "	Martin 140-1									
T 165	165	1835																																					" £	373,595.02 "	" £	14,940.30 "	" £	120,020.68 "	CUST 4/30	" £	182,614 "	" £	267,811 "		" £	122,630 "	" £	205,603 "	Martin 140-1									
T 166	166	1836																																					" £	566,650.11 "	" £	12,145.12 "	" £	177,443.37 "	CUST 4/31	" £	340,554 "	" £	493,115 "		" £	278,699 "	" £	399,546 "	"Martin 140-1
BB 1836 p 138"									
T 167	167	1837																																					" £	445,820.30 "	" £	15,803.75 "	" £	186,656.78 "	CUST 4/32	" £	369,623 "	" £	345,305 "				BB 1837 p 138									
T 168	168	1838																																					" £	474,219.43 "	" £	23,260.89 "	" £	167,204.97 "	CUST 4/33															
T 169	169	1839																																					" £	589,182.61 "	" £	31,510.97 "	" £	154,219.32 "	CUST 4/34															
T 170	170	1840																																					" £	650,920.85 "	" £	48,761.29 "	" £	143,728.28 "	CUST 4/35															
T 171	171	1841																																					" £	910,242.05 "	" £	46,579.78 "	" £	134,832.98 "	CUST 4/36															
T 172	172	1842																																					" £	864,502.40 "	" £	37,749.65 "	" £	92,546.08 "	CUST 4/37				" £	414,103 "	" £	864,502 "	HCP 49	Exp Imp in official values								
T 173	173	1843																																					" £	730,757.09 "	" £	34,849.78 "	" £	132,439.33 "	CUST 4/38															
T 174	174	1844																																					" £	883,141.59 "	" £	47,823.44 "	" £	138,743.67 "	CUST 4/39															
T 175	175	1845																																					" £	774,242.28 "	" £	45,973.25 "	" £	189,453.66 "	CUST 4/40	" £	273,074 "	" £	281,850 "		" £	194,129 "	" £	239,337 "	BB 45 p 158									
T 176	176	1846																																					" £	857,453.69 "	" £	48,282.49 "	" £	203,071.70 "	CUST 4/41	" £	213,726 "					CP 869 p 103									
T 177	177	1847																																					" £	1,208,494.07 "	" £	44,309.67 "	" £	242,160.13 "	CUST 4/42	" £	281,459 "	" £	309,792 "		" £	212,040 "	" £	269,364 "	"CP 1005 p 164
CP 1126 p 269"									
T 178	178	1848																																					" £	1,093,055.07 "	" £	50,206.94 "	" £	218,349.58 "	CUST 4/43	" £	166,612 "	" £	353,783 "		" £	110,851 "	" £	292,083 "	CP 1126 p 269									
T 179	179	1849																																					" £	1,126,970.43 "	" £	43,121.92 "	" £	171,238.15 "	CUST 4/44	" £	237,861 "	" £	301,888 "				CP 1539 p 48									
T 180	180	1850																																					" £	1,243,225.75 "	" £	55,274.65 "	" £	172,216.72 "	CUST 4/45	" £	196,554 "	" £	261,015 "		" £	141,379 "	" £	211,145 "	"CP 3508
CP 1539 p 48"	"Exp Imp of bullion, specie not specified"								
T 181	181	1851																																					" £	1,518,056.08 "	" £	52,044.82 "	" £	157,446.20 "	CUST 4/46	" £	289,819 "	" £	411,443 "		" £	209,541 "	" £	96,071 "	"CP 3508
CP 1693 p 38"									
T 182	182	1852																																					" £	886,657.54 "	" £	70,750.66 "	" £	188,325.58 "	CUST 4/47	" £	262,112 "	" £	391,223 "		" £	109,695 "	" £	340,908 "	CP 3508									
T 183	183	1853																																					" £	357,340.45 "	" £	51,659.14 "	" £	115,488.53 "	CUST 4/48	" £	198,186 "	" £	345,377 "		" £	120,762 "	" £	276,520 "	CP 3508									
T 184	184	1854																																									" £	241,764 "	" £	452,313 "		" £	152,411 "	" £	384,640 "	CP 3508									
T 185	185	1855																																					" £	1,143,942.00 "	" £	48,357.00 "	" £	219,736.00 "	CUST 4/50	" £	245,486 "	" £	462,591 "		" £	159,969 "	" £	391,527 "	CP 3508									
T 186	186	1856																																									" £	254,994 "	" £	446,649 "		" £	160,659 "	" £	357,153 "	CP 3508									
T 187	187	1857																																									" £	268,691 "	" £	440,271 "		" £	169,927 "	" £	329,052 "	CP 3508									
T 188	188	1858																																									" £	207,908 "	" £	380,377 "		" £	121,934 "	" £	286,612 "	CP 3508	"< 1858, Exp exc re-Exp, Imp exc items not dutiable; CP 2711 p 7"								
T 189	189	1859																																									" £	175,203 "	" £	288,161 "		" £	101,595 "	" £	183,113 "	CP 3508									
T 190	190	1860																																									" £	200,869 "	" £	315,918 "		" £	128,081 "	" £	224,065 "	CP 3508									
T 191	191	1861																																									" £	231,744 "	" £	292,576 "		" £	149,887 "	" £	214,688 "	CP 3508									
T 192	192	1862																																									" £	211,358 "	" £	356,390 "		" £	108,843 "	" £	210,379 "	"CP 3508
C.2093"									
T 193	193	1863																																									" £	265,752 "	" £	390,644 "		" £	147,809 "	" £	235,205 "	"CP 3508
C.2093"									
T 194	194	1864																																									" £	291,144 "	" £	373,197 "		" £	196,373 "	" £	218,131 "	C.2093									
T 195	195	1865																																									" £	210,675 "	" £	323,170 "		" £	130,426 "	" £	220,077 "	C.2093									
T 196	196	1866																																									" £	169,033 "	" £	277,156 "		" £	107,734 "	" £	169,013 "	C.2093									
T 197	197	1867																																									" £	190,495 "	" £	186,169 "		" £	112,051 "	" £	102,806 "	C.2093									
T 198	198	1868																																									" £	177,684 "	" £	203,659 "		" £	105,100 "	" £	115,482 "	C.2093									
T 199	199	1869																																									" £	151,189 "	" £	175,033 "		" £	95,737 "	" £	91,788 "	C.2093									
T 200	200	1870																																									" £	184,338 "	" £	171,988 "		" £	131,348 "	" £	79,925 "	C.2093									
T 201	201	1871																																									" £	180,662 "	" £	207,672 "		" £	125,380 "	" £	116,119 "	C.2093									
T 202	202	1872																																									" £	167,809 "	" £	203,560 "		" £	113,574 "	" £	105,898 "	C.2093									
T 203	203	1873																																									" £	236,615 "	" £	216,993 "		" £	159,542 "	" £	129,317 "	C.2093									
T 204	204	1874																																									" £	178,398 "	" £	240,628 "		" £	98,301 "	" £	134,655 "	C.2093									
T 205	205	1875																																									" £	175,321 "	" £	202,512 "		" £	95,936 "	" £	104,331 "	C.2093		" ""BZ$""	876,603 "	" ""BZ$""	1,012,560 "		" ""BZ$""	475,179 "	" ""BZ$""	521,653 "	C.6160		
T 206	206	1876																																									" £	163,403 "	" £	206,420 "		" £	99,946 "	" £	127,547 "	C.2093		" ""BZ$""	865,903 "	" ""BZ$""	1,093,873 "		" ""BZ$""	529,640 "	" ""BZ$""	675,902 "	C.6160		
T 207	207	1877																																																" ""BZ$""	878,382 "	" ""BZ$""	659,773 "		" ""BZ$""	447,998 "	" ""BZ$""	501,031 "	C.6160	Exp exc Re	
T 208	208	1878																																																" ""BZ$""	971,856 "	" ""BZ$""	664,884 "		" ""BZ$""	562,322 "	" ""BZ$""	479,158 "	C.6160	Exp exc Re	
T 209	209	1879																																																" ""BZ$""	811,441 "	" ""BZ$""	952,475 "		" ""BZ$""	402,382 "	" ""BZ$""	598,346 "	C.6160		
T 210	210	1880																																																" ""BZ$""	1,203,856 "	" ""BZ$""	1,283,284 "		" ""BZ$""	623,561 "	" ""BZ$""	595,254 "	C.6160		
T 211	211	1881																																																" ""BZ$""	1,024,229 "	" ""BZ$""	1,255,615 "		" ""BZ$""	556,000 "	" ""BZ$""	697,889 "	C.6160		
T 212	212	1882																																																" ""BZ$""	1,181,919 "	" ""BZ$""	1,271,958 "		" ""BZ$""	597,768 "	" ""BZ$""	679,964 "	C.6160		
T 213	213	1883																																																" ""BZ$""	1,334,726 "	" ""BZ$""	1,502,937 "		" ""BZ$""	738,555 "	" ""BZ$""	880,734 "	C.6160		
T 214	214	1884																																																" ""BZ$""	1,178,738 "	" ""BZ$""	1,575,280 "		" ""BZ$""	633,202 "	" ""BZ$""	1,017,431 "	C.6160		
T 215	215	1885																																																" ""BZ$""	1,274,280 "	" ""BZ$""	1,221,398 "		" ""BZ$""	553,383 "	" ""BZ$""	708,802 "	Cd.307		
T 216	216	1886																																																" ""BZ$""	1,179,799 "	" ""BZ$""	1,400,235 "		" ""BZ$""	470,139 "	" ""BZ$""	903,374 "	Cd.307		
T 217	217	1887																																																" ""BZ$""	1,097,719 "	" ""BZ$""	1,349,712 "		" ""BZ$""	477,607 "	" ""BZ$""	785,499 "	Cd.307		
T 218	218	1888																																																" ""BZ$""	1,808,321 "	" ""BZ$""	1,865,869 "		" ""BZ$""	837,101 "	" ""BZ$""	887,895 "	Cd.307		
T 219	219	1889																																																" ""BZ$""	2,278,152 "	" ""BZ$""	2,635,436 "		" ""BZ$""	1,096,940 "	" ""BZ$""	1,427,711 "	Cd.307		
T 220	220	1890																																																" ""BZ$""	1,829,481 "	" ""BZ$""	1,866,097 "		" ""BZ$""	855,217 "	" ""BZ$""	1,108,249 "	Cd.307		
T 221	221	1891																																																" ""BZ$""	2,478,428 "	" ""BZ$""	2,554,061 "		" ""BZ$""	1,020,656 "	" ""BZ$""	1,407,760 "	Cd.307		
T 222	222	1892																																																" ""BZ$""	2,034,794 "	" ""BZ$""	2,016,494 "		" ""BZ$""	790,015 "	" ""BZ$""	921,618 "	Cd.307		
T 223	223	1893																																																" ""BZ$""	1,515,457 "	" ""BZ$""	2,214,788 "		" ""BZ$""	580,567 "	" ""BZ$""	1,230,493 "	Cd.307		
T 224	224	1894																																																" ""BZ$""	789,215 "	" ""BZ$""	1,274,788 "				C.7944-14		
T 225	225	1895																																																" ""BZ$""	1,367,778 "	" ""BZ$""	1,208,155 "		" ""BZ$""	402,533 "	" ""BZ$""	552,177 "	Cd.307		
T 226	226	1896																																																" ""BZ$""	1,376,243 "	" ""BZ$""	1,297,172 "		" ""BZ$""	492,304 "	" ""BZ$""	715,600 "	Cd.307		
T 227	227	1897																																																" ""BZ$""	1,338,100 "	" ""BZ$""	1,321,436 "		" ""BZ$""	457,728 "	" ""BZ$""	724,394 "	Cd.307		
T 228	228	1898																																																" ""BZ$""	1,176,246 "	" ""BZ$""	1,207,971 "		" ""BZ$""	395,684 "	" ""BZ$""	803,535 "	Cd.7165		
T 229	229	1899																																																" ""BZ$""	971,460 "	" ""BZ$""	1,204,226 "		" ""BZ$""	396,215 "	" ""BZ$""	810,323 "	Cd.7165		
T 230	230	1900																																																" ""BZ$""	1,129,027 "	" ""BZ$""	1,224,897 "		" ""BZ$""	354,288 "	" ""BZ$""	577,868 "	Cd.7165		
T 231	231	1901																																																" ""BZ$""	1,155,804 "	" ""BZ$""	1,306,866 "		" ""BZ$""	351,775 "	" ""BZ$""	598,886 "	Cd.7165		
T 232	232	1902																																																" ""BZ$""	1,155,213 "	" ""BZ$""	1,281,673 "		" ""BZ$""	317,358 "	" ""BZ$""	392,595 "	Cd.7165		
T 233	233	1903																																																" ""BZ$""	1,668,153 "	" ""BZ$""	1,743,613 "		" ""BZ$""	436,486 "	" ""BZ$""	319,231 "	Cd.7165		
T 234	234	1904																																																" ""BZ$""	1,653,423 "	" ""BZ$""	1,753,674 "		" ""BZ$""	439,813 "	" ""BZ$""	393,721 "	Cd.7165		
T 235	235	1905																																																" ""BZ$""	1,765,611 "	" ""BZ$""	1,726,746 "		" ""BZ$""	466,554 "	" ""BZ$""	442,917 "	Cd.7165		
T 236	236	1906																																																" ""BZ$""	2,070,437 "	" ""BZ$""	1,899,637 "		" ""BZ$""	552,725 "	" ""BZ$""	542,174 "	Cd.7165		
T 237	237	1907																																																" ""BZ$""	2,272,898 "	" ""BZ$""	2,080,315 "		" ""BZ$""	625,691 "	" ""BZ$""	427,253 "	Cd.7165		
T 238	238	1908																																																" ""BZ$""	2,518,604 "	" ""BZ$""	2,071,623 "		" ""BZ$""	649,634 "	" ""BZ$""	449,874 "	Cd.7165		
T 239	239	1909																																																" ""BZ$""	2,544,365 "	" ""BZ$""	2,078,420 "		" ""BZ$""	519,215 "	" ""BZ$""	334,802 "	"Cd.7165
Cmd. 2738"		
T 240	240	1910																																																" ""BZ$""	2,652,539 "	" ""BZ$""	2,205,772 "		" ""BZ$""	565,362 "	" ""BZ$""	310,007 "	"Cd.7165
Cmd. 2738"		
T 241	241	1911																																																" ""BZ$""	2,716,007 "	" ""BZ$""	2,527,054 "		" ""BZ$""	584,248 "	" ""BZ$""	315,633 "	"Cd.7165
Cmd. 2738"		
T 242	242	1912																																																" ""BZ$""	3,290,162 "	" ""BZ$""	2,687,280 "		" ""BZ$""	627,343 "	" ""BZ$""	291,048 "	"Cd.7165
Cmd. 2738"		
T 243	243	1913																																																" ""BZ$""	2,997,040 "	" ""BZ$""	2,941,395 "				Cmd. 2738		
T 244	244	1914																																																" ""BZ$""	2,804,196 "	" ""BZ$""	2,746,207 "				Cmd. 2738		
T 245	245	1915																																																" ""BZ$""	2,021,905 "	" ""BZ$""	2,103,705 "				Cmd. 2738		
T 246	246	1916																																																" ""BZ$""	2,430,854 "	" ""BZ$""	2,413,964 "				Cmd. 2738		
T 247	247	1917																																																" ""BZ$""	2,628,600 "	" ""BZ$""	2,637,246 "				Cmd. 2738		
T 248	248	1918																																																" ""BZ$""	3,354,619 "	" ""BZ$""	3,451,757 "				Cmd. 2738		
T 249	249	1919																																																" ""BZ$""	4,417,623 "	" ""BZ$""	4,185,782 "				Cmd. 2738		
T 250	250	1920																																																" ""BZ$""	5,529,266 "	" ""BZ$""	4,747,359 "				Cmd. 2738		
T 251	251	1921																																																" ""BZ$""	3,145,475 "	" ""BZ$""	2,865,403 "				Cmd. 2738		
T 252	252	1922																																																" ""BZ$""	3,095,863 "	" ""BZ$""	1,374,564 "	" ""BZ$""	1,267,040 "			Cmd. 3434	"Exp = FOB, exc export duty, for > 1921"	
T 253	253	1923																																																" ""BZ$""	3,798,030 "	" ""BZ$""	1,244,831 "	" ""BZ$""	1,757,015 "			Cmd. 3434	"Imports = net value, exc outside packages, insurance, freight, duty, for > 1921"	
T 254	254	1924																																																" ""BZ$""	3,664,040 "	" ""BZ$""	1,537,623 "	" ""BZ$""	1,591,520 "			Cmd. 3434		
T 255	255	1925																																																" ""BZ$""	4,248,174 "	" ""BZ$""	1,517,717 "	" ""BZ$""	1,846,656 "			Cmd. 3434		
T 256	256	1926																																																" ""BZ$""	4,764,908 "	" ""BZ$""	1,798,856 "	" ""BZ$""	1,894,978 "			Cmd. 5298		
T 257	257	1927																																																" ""BZ$""	4,229,371 "	" ""BZ$""	2,457,978 "	" ""BZ$""	1,817,165 "			Cmd. 5298		
T 258	258	1928																																																" ""BZ$""	4,192,753 "	" ""BZ$""	1,753,083 "	" ""BZ$""	2,050,604 "			Cmd. 5298		
T 259	259	1929																																																" ""BZ$""	4,755,753 "	" ""BZ$""	1,812,587 "	" ""BZ$""	2,760,076 "			Cmd. 5298		
T 260	260	1930																																																" ""BZ$""	4,632,168 "	" ""BZ$""	1,318,245 "	" ""BZ$""	2,943,166 "			Cmd. 5298		
T 261	261	1931																																																" ""BZ$""	4,412,460 "	" ""BZ$""	599,619 "	" ""BZ$""	2,293,198 "			Cmd. 5298		
T 262	262	1932																																																" ""BZ$""	2,961,475 "	" ""BZ$""	384,488 "	" ""BZ$""	1,405,213 "			Cmd. 5298		
T 263	263	1933																																																" ""BZ$""	1,798,856 "	" ""BZ$""	462,301 "	" ""BZ$""	627,082 "			Cmd. 5298		
T 264	264	1934																																																" ""BZ$""	1,716,465 "	" ""BZ$""	787,285 "	" ""BZ$""	563,001 "			Cmd. 6140		
T 265	265	1935																																																" ""BZ$""	2,499,174 "	" ""BZ$""	869,676 "	" ""BZ$""	709,472 "			Cmd. 6140		
T 266	266	1936																																									" £	658,000 "	" £	270,000 "	" £	208,000 "			Cmd. 7224		" ""BZ$""	3,011,825 "	" ""BZ$""	1,235,855 "	" ""BZ$""	952,066 "			Cmd. 6140		
T 267	267	1937																																									" £	801,000 "	" £	286,000 "	" £	232,000 "			Cmd. 7224		" ""BZ$""	3,680,102 "	" ""BZ$""	1,313,668 "	" ""BZ$""	1,066,497 "			Cmd. 6140		
T 268	268	1938																																									" £	821,000 "	" £	372,000 "	" £	293,000 "			Cmd. 7224		" ""BZ$""	3,702,988 "	" ""BZ$""	1,679,847 "	" ""BZ$""	1,322,823 "			Cmd. 6140		
T 269	269	1939																																									" £	795,000 "	" £	311,000 "	" £	245,000 "			Cmd. 7224		" ""BZ$""	3,532,320 "	" ""BZ$""	2,519,900 "				Cmd. 7167		
T 270	270	1940																																									" £	823,000 "	" £	402,000 "	" £	349,000 "			Cmd. 7224		" ""BZ$""	3,316,690 "	" ""BZ$""	3,038,620 "				Cmd. 7167		
T 271	271	1941																																									" £	931,000 "	" £	439,000 "	" £	394,000 "			Cmd. 7224		" ""BZ$""	3,751,930 "	" ""BZ$""	3,356,990 "				Cmd. 7167		
T 272	272	1942																																									" £	983,000 "	" £	311,000 "	" £	323,000 "			Cmd. 7224		" ""BZ$""	3,965,520 "	" ""BZ$""	2,555,020 "				Cmd. 7167		
T 273	273	1943																																									" £	1,410,000 "	" £	441,000 "	" £	488,000 "			Cmd. 7224		" ""BZ$""	5,686,330 "	" ""BZ$""	3,743,870 "				Cmd. 7167		
T 274	274	1944																																									" £	1,827,000 "	" £	462,000 "	" £	1,049,000 "			Cmd. 7224		" ""BZ$""	7,362,810 "	" ""BZ$""	6,085,300 "				Cmd. 7167		
T 275	275	1945																																									" £	1,944,000 "	" £	490,000 "	" £	731,000 "			Cmd. 7224		" ""BZ$""	7,838,350 "	" ""BZ$""	4,920,630 "				Cmd. 7167		
T 276	276	1946																																									" £	1,683,000 "	" £	872,000 "	" £	424,000 "			Cmd. 8051		" ""BZ$""	6,782,490 "	" ""BZ$""	5,222,880 "				Cmd. 7167		
T 277	277	1947																																									" £	2,148,000 "	" £	1,053,000 "	" £	471,000 "			Cmd. 8051									
T 278	278	1948																																																" ""BZ$""	7,669,906 "	" ""BZ$""	6,142,601 "				Col Rep 49		
T 279	279	1949																																																" ""BZ$""	5,620,605 "	" ""BZ$""	4,564,847 "				Col Rep 49		
T 280	280	1950																																																" ""BZ$""	8,782,607 "	" ""BZ$""	4,594,936 "	" ""BZ$""	161,711 "			Col Rep 52	Import = CIF	
T 281	281	1951																																																" ""BZ$""	12,407,332 "	" ""BZ$""	5,985,700 "	" ""BZ$""	248,431 "			Col Rep 52		
T 282	282	1952																																																" ""BZ$""	12,671,851 "	" ""BZ$""	5,615,483 "	" ""BZ$""	574,504 "			Col Rep 52		
T 283	283	1953																																																" ""BZ$""	11,764,015 "	" ""BZ$""	6,810,486 "	" ""BZ$""	684,421 "			Col Rep 54		
T 284	284	1954																																																" ""BZ$""	11,409,568 "	" ""BZ$""	6,226,568 "	" ""BZ$""	1,061,258 "			Col Rep 54		
T 285	285	1955																																																" ""BZ$""	14,339,799 "	" ""BZ$""	7,014,226 "	" ""BZ$""	1,172,649 "			Col Rep 56		
T 286	286	1956																																																" ""BZ$""	15,850,630 "	" ""BZ$""	7,486,507 "	" ""BZ$""	2,486,533 "			Col Rep 56		
T 287	287	1957																																																" ""BZ$""	15,108,063 "	" ""BZ$""	7,352,262 "	" ""BZ$""	1,591,139 "			Col Rep 58		
T 288	288	1958																																																" ""BZ$""	18,516,241 "	" ""BZ$""	7,768,062 "	" ""BZ$""	1,319,813 "			Col Rep 58		
T 289	289	1959																																																							
T 290	290	1960																																																" ""BZ$""	18,783,607 "	" ""BZ$""	10,164,943 "	" ""BZ$""	1,062,512 "			Col Rep 59-61		
T 291	291	1961																																																" ""BZ$""	22,708,464 "	" ""BZ$""	11,186,533 "	" ""BZ$""	1,215,769 "			Col Rep 59-61		
T 292	292	1962																																																" ""BZ$""	31,202,647 "	" ""BZ$""	8,251,986 "	" ""BZ$""	4,128,534 "			Col Rep 62-63		
T 293	293	1963																																																" ""BZ$""	27,553,446 "	" ""BZ$""	15,430,016 "	" ""BZ$""	3,141,978 "			Col Rep 62-63		
T 294	294	1964																																																" ""BZ$""	33,900,819 "	" ""BZ$""	17,134,327 "	" ""BZ$""	2,058,366 "			Col Rep 64-65		
T 295	295	1965																																																" ""BZ$""	34,987,986 "	" ""BZ$""	15,216,520 "	" ""BZ$""	2,246,542 "			Col Rep 64-65		
T 296	296	1966																																																							
T 297	297	1967																																																							
T 298	298	1968																																																							
T 299	299	1969																																																							
T 300	300	1970																																																							
																																																									
Caption																																																									
