Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 59	59	1729	989.05	4.0	CUST 3/29	88.0	4.0	CO 142/15																																																	
T 60	60	1730	"1,505.12"	4.0	CUST 3/30	275.0	1.0	CO 142/15							£	£	" £	-  "	CUST 3/30																																							
T 61	61	1731	780.73	4.0	CUST 3/31										£	£	" £	0.52 "	CUST 3/31																																							
T 62	62	1732	"1,189.41"	4.0	CUST 3/32										£	£	" £	3.85 "	CUST 3/32																																							
T 63	63	1733	"1,461.12"	4.0	CUST 3/33										£	£	" £	0.95 "	CUST 3/33																																							
T 64	64	1734	"1,261.73"	4.0	CUST 3/34										£	£	" £	-  "	CUST 3/34																																							
T 65	65	1735	"1,594.55"	4.0	CUST 3/35										£	£	" £	4.00 "	CUST 3/35																																							
T 66	66	1736	"2,231.85"	4.0	CUST 3/36										£	£	" £	-  "	CUST 3/36																																							
T 67	67	1737	"2,176.78"	4.0	CUST 3/37										£	£	" £	1.90 "	CUST 3/37																																							
T 68	68	1738	"2,520.25"	4.0	CUST 3/38										£	£	" £	-  "	CUST 3/38																																							
T 69	69	1739	"1,945.37"	4.0	CUST 3/39										£	£	" £	0.72 "	CUST 3/39																																							
T 70	70	1740	"1,997.20"	4.0	CUST 3/40										£	£	" £	-  "	CUST 3/40																																							
T 71	71	1741	"1,289.17"	4.0	CUST 3/41										£	£	" £	-  "	CUST 3/41																																							
T 72	72	1742	"1,030.73"	4.0	CUST 3/42	155.0	1.0	CO 142/15																																																	
T 73	73	1743	"1,299.07"	4.0	CUST 3/43	356.0	3.0	CO 142/15							£	£	" £	-  "	CUST 3/43																																							
T 74	74	1744	495.11	4.0	CUST 3/44	285.0	3.8	CO 142/15																																																	
T 75	75	1745	574.38	4.0	CUST 3/45	0.0	3.0	CO 142/15																																																	
T 76	76	1746	136.55	4.0	CUST 3/46	60.0	1.0	CO 142/15																																																	
T 77	77	1747	596.29	4.0	CUST 3/47	79.0	2.5	CO 142/15																																																	
T 78	78	1748	"1,747.10"	4.0	CUST 3/48	0.0	2.0	CO 142/15																																																	
T 79	79	1749	"1,233.65"	4.0	CUST 3/49																																																				
T 80	80	1750	"4,659.84"	4.0	CUST 3/50																																																				
T 81	81	1751	"7,386.18"	4.0	CUST 3/51										£	£	" £	-  "	CUST 3/51																																							
T 82	82	1752	"5,368.41"	4.0	CUST 3/52	"1,062.5"	4.0	CO 142/15	0.0	1.0	CO 5/849																																														
