Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020
1890	0/3/1			282945	287690			45249	7854	17595	45249	282945	287690	9	5701065	35649141	36246978
1891	0/2/11.25		31471	272214	280521			45270	5884	17000	45270	272214	280521	9	5639625	33911747	34946613
1892	0/2/7.5			230610	228536			43791	5259	16317	43791	230610	228536	9	5455375	28728824	28470450
1893	0/2/3.8			169226	247318			42339	3380	30458	42339	169226	247318	9	5334425	21321322	31160382
1894		0/4/1.33333333		151266	244335			45057	2327	34736	45057	151266	244335	9	5742126	19277548	31138389
1895		0/4/1.33333333		299103	264197			56537	2097	34736	56537	299103	264197	9	7288934	38561333	34061137
1896		0/4/1.33333333		300954	283663			55416	114	34736	55416	300954	283663	9	7228463	39256440	37001002
1897		0/4/1.33333333		292613	288969			65716	743	34736	65716	292613	288969	9	8374938	37291004	36826608
1898		0/4/1.33333333		256977	263908			62019	0	34736	62019	256977	263908	9	7903787	32749503	33632800
1899		0/4/1.33333333		212237	263090			53994	0	34736	53994	212237	263090	9	6802876	26740415	33147546
1900		0/4/1.33333333						50659	0	34736	50659			9	6105180		
1901		0/4/1.33333333	37479	B1387598	B1227202			52809	0	34736	52809	285514	252511	9	6364288	34408781	30431382
1902		0/4/1.33333333		B1362210	B1227803			51850	0	34736	51850	280290	252634	9	6248714	33779225	30446285
1903		0/4/1.33333333		364445	380931			54686	0	34736	54686	364445	380931	9	6519630	43448898	45414348
1904		0/4/1.33333333		361227	383120			58020	0	34736	58020	361227	383120	9	6917107	43065250	45675319
1905		0/4/1.33333333		385737	377246			61739	0	34736	61739	385737	377246	9	7360484	45987316	44975025
1906		0/4/1.33333333	41007	452333	415018			66074	1142	34701	66074	452333	415018	9	7877300	53926848	49478178
1907		0/4/1.33333333		496565	454491			69457	36754	34736	69457	496565	454491	9	8192527	58570370	53607697
1908		0/4/1.33333333		550215	452592			69169	41005	34736	69169	550215	452592	9	8158557	64898445	53383708
1909		0/4/1.33333333		555873	454077			88545	33169	34736	88545	555873	454077	10	10334040	64875645	52995088
1910		0/4/1.33333333		579506	481900			100722	10856	34736	100722	579506	481900	10	11632761	66929321	55656438
1911		0/4/1.33333333	40458	593372	552091			90308	18983	194736	90308	593372	552091	10	10430010	68530757	63763060
1912		0/4/1.33333333		718809	587096			99647	25974	194736	99647	718809	587096	10	11159860	80502252	65751194
1913		0/4/1.33333333		654770	642613			106144	19130	194736	106144	654770	642613	10	12008786	74078540	72703136
1914		0/4/1.33333333		612639	599970			113071	9642	194736	113071	612639	599970	10	12792484	69311976	67878647
1915		0/4/1.33333333		441730	459601			110501	325	194736	110501	441730	459601	11	11137898	44523975	46325274
1916		0/4/1.33333333		531074	527384			126089	79	179820	126089	531074	527384	13	10753840	45294076	44979364
1917		0/4/1.33333333		574276	576165			138810	105	179820	138810	574276	576165	16	9441975	39062747	39191238
1918		0/4/1.33333333		732891	754113			137874	547	179820	137874	732891	754113	20	7681730	40833446	42015842
1919		0/4/1.33333333		965128	914477			201818	220	179820	201818	965128	914477	22	10217520	48861919	46297590
1920		0/4/1.33333333		1207991	1037166			190923	8642	179820	190923	1207991	1037166	25	8366955	52938654	45452468
1921		0/4/1.33333333	45317	687199	626011			289994	28898	136763	289994	687199	626011	23	13918959	32983767	30046902
1922		0/4/1.33333333		676360	581229			225888	43107	220595	225888	676360	581229	20	12585480	37683788	32383510
1923		0/4/1.33333333		829764	658454			247329	57330	232708	247329	829764	658454	19	14664361	49197462	39040336
1924		0/4/1.33333333		800491	686092			189000	28000	153000	189000	800491	686092	19	11266229	47717010	40897723
1925		0/4/1.33333333		928108	735070			214000	8000	153000	214000	928108	735070	19	12756471	55324218	43817286
1926		0/4/1.33333333		1041275	807586			214000	15000	153000	214000	1041275	807586	19	12825425	62405581	48400157
1927		0/4/1.33333333		924446	934770			204000	14000	153000	204000	924446	934770	18	12565720	56942792	57578716
1928		0/4/1.33333333		916109	830753			215000	7000	363000	215000	916109	830753	18	13243283	56429261	51171616
1929		0/4/1.33333333		1039427	998540			210000	1000	384000	210000	1039427	998540	18	13080640	64744623	62197822
1930		0/4/1.33333333		1012000	932000			223000	1000	384000	223000	1012000	932000	17	14291851	64858086	59730964
1931		0/4/1.33333333	51347	964000	633000			213000	2000	384000	213000	964000	633000	17	14226604	64387070	42279061
1932		0/4/1.33333333		647000	404000			193000	124000	534000	193000	647000	404000	16	13209063	44281159	27650059
1933		0/4/1.33333333		393000	243000			197000	93000	555000	197000	393000	243000	16	13824163	27578153	17052141
1934				375000	298000			B1089081.92			224091	375000	298000	16	15725226	26315032	20911678
1935				547000	348000			B1341957.42			276123	547000	348000	16	19254625	38143445	24266762
1936				658000	485000			B1125030.10			231488	658000	485000	16	16041228	45596933	33608681
1937				801000	524000			B1177760.09			242337	801000	524000	17	16186099	53500045	34998781
1938				821000	668000			B1317326.50			271055	821000	668000	17	17888651	54183068	44085614
1939				795000	567000			B1500182.36			308679	795000	567000	17	19782966	50950769	36338473
1940				823000	754000			B1363796.34			338411	823000	754000	20	18574743	45172922	41385642
1941				931000	833000			B1217122.31			302015	931000	833000	22	14948956	46082006	41231269
1942				983000	634000			B1640387			407044	983000	634000	24	18804412	45412143	29289215
1943				1410000	929000							1410000	929000	25		63037234	41533043
1944				1827000	1511000							1827000	1511000	26		79437960	65698280
1945				1944000	1221000							1944000	1221000	26		82266815	51670669
1946				1683000	1296000							1683000	1296000	27		69111460	53219520
1947				2148000	1525000			B2909985			722081	2148000	1525000	29	27702412	82407388	58506176
1948				B7669906	B6142601			B3394916			842411	1903202	1524219	31	30032626	67850698	54339619
1949				B5620605	B4565847			B3847374			954683	1394691	1132965	32	33077989	48323430	39255096
1950				B8782607	B4756647			B5415752			1353938	2195652	1189162	33	45489855	73769907	39953673
1951				B12407332	B6234131			B4441305			1110326	3101833	1558533	36	34196198	95531287	48000211
1952				B12671851	B6189987			B4907330			1226833	3167963	1547497	39	34611661	89375242	43658309
1953				B11764015	B7490907			B5528355			1382089	2941004	1872727	41	37836471	80513790	51268322
1954				B11409568	B7287826			B5339679			1334920	2852392	1821957	41	35837262	76575329	48912253
1955				B14339799	B8186875			B5694732			1423683	3584950	2046719	43	36623997	92222208	52651484
1956				B15850630	B9973040			B6702208			1675552	3962658	2493260	45	41009967	96988011	61023777
1957				B15108063	B8943401			B8002687			2000672	3777016	2235850	47	47296904	89290585	52856644
1958				B18516241	B9087875			B9262267			2315567	4629060	2271969	48	53044659	106041824	52045922
1959								B10401434			2600359			49	59323487		
1960				B18783607	B11227455			B9365721			2341430	4695902	2806864	49	52872452	106039391	63382528
1961				B22708464	B12402302			B9316775			2329194	5677116	3100576	51	50836029	123906409	67671891
1962				B31202647	B12380520			B11958069			2989517	7800662	3095130	53	62539573	163186900	64748952
1963				B27553446	B18571994			B17219056			4304764	6888362	4642999	54	88386371	141433369	95331077
