Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt				f All	t All	t All Re	f GB	t GB
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes	FX	FX £	$	$	$	$	
	1895	299103	264197		88025	120749	49071	56537	2097	34736		0.4.1(31/81)	0.218677983539095	1367778.29738185	1208155.46093952		402532.520994565	552177.215308978
	1896	300954	283663		107656	156486	64339	55416	114	34736		0.4.1(31/81)	0.218677983539095	1376242.79833455	1297172.19543177		492303.789607395	715600.159958598
	1897	292613	288969		100095	158409	64613	65716	743	34736		0.4.1(31/81)	0.218677983539095	1338099.95530568	1321436.18357601		457727.835148549	724393.912163909
	1898	256977	263908		86446	175550	56521	62019		34736		0.4.1(31/81)	0.218677983539095	1175138.87699654	1206833.88299499		395311.858107313	802778.574957069
	1899	212237	263090		66562	177033	51535	53994		34736		0.4.1(31/81)	0.218677983539095	970545.806967607	1203093.22293053		304383.63717626	809560.236174165
																		
HCP 49	1842				414103	864502					Exp imp in official values	?						
																		
Cd.7165	1898	256977	263908		86446	175550	56521	62019		34736	Rev and Exp > 1900 for 12 months ended 31 Mar year following the given yr.	0.4.1(1/3)	0.218472222222222	1176245.64526383	1207970.50222505		395684.17037508	803534.647171012
	1899	212237	263090		86562	177033	51535	53994		34736	Exp Ln for 12 months ended 31 Mar yr following the given yr	0.4.1(1/3)	0.218472222222222	971459.885568977	1204226.31913541		396215.130324222	810322.695486333
	1900	246661	267606		77402	126248	59615	50659		34736	STOPPED GB DATA HERE	0.4.1(1/3)	0.218472222222222	1129026.82771774	1224897.13922441		354287.603305785	577867.514303879
	1901	252511	285514		76853	130840	55940	52809		34736		0.4.1(1/3)	0.218472222222222	1155803.68722187	1306866.36999364		351774.698029244	598886.204704387
	1902	252382	280010		69334	85771	53362	51850		34736		0.4.1(1/3)	0.218472222222222	1155213.2231405	1281673.23585506		317358.423394787	392594.532739988
	1903	364445	380931		95360	69743	61912	54686		34736		0.4.1(1/3)	0.218472222222222	1668152.57469803	1743612.96884933		436485.69612206	319230.514939606
	1904	361227	383129		96087	86017	63679	58020		34736		0.4.1(1/3)	0.218472222222222	1653423.01335029	1753673.74443738		439813.350286078	393720.534011444
	1905	385737	377246		101929	96765	68267	61739		34736		0.4.1(1/3)	0.218472222222222	1765611.18881119	1726745.8359822		466553.591862683	442916.719643993
	1906	452333	415018		120755	118450	80549	64932	1142	34736		0.4.1(1/3)	0.218472222222222	2070437.12650986	1899637.38080102		552724.729815639	542174.189446917
	1907	496565	454491		136696	93343	81232	69457	36751	34736		0.4.1(1/3)	0.218472222222222	2272897.64780674	2080314.81246027		625690.527654165	427253.401144311
	1908	550245	452592		141927	98285	74188	69169	41005	34736		0.4.1(1/3)	0.218472222222222	2518603.94151303	2071622.63191354		649634.075015894	449874.125874126
	1909	555873	454077		113434	73145	81370	88545	33169	34736		0.4.1(1/3)	0.218472222222222	2544364.65352829	2078419.83471075		519214.748887477	334802.288620471
	1910	579506	481900		123516	67728	94411	100722	10856	34736		0.4.1(1/3)	0.218472222222222	2652538.58868405	2205772.40940878		565362.492053402	310007.374443738
	1911	593372	552091		127642	68957	102431	100695	8686	194738		0.4.1(1/3)	0.218472222222222	2716006.61157025	2527053.52828989		584248.188175461	315632.803560077
	1912	718809	587096		137057	63586	111143	123621	6867	194541		0.4.1(1/3)	0.218472222222222	3290161.98347108	2687279.8474253		627342.911633821	291048.442466625
																		
Cmd. 2738	1909	555873	454077				81370	88545	33169	34736	Rate B$ 1 = 0.4.1(1/3)	0.4.1(1/3)	0.218472222222222	2544364.65352829	2078419.83471075			
	1910	579506	481900				94411	100722	10856	34736	Rev and Exp given for 12 months ended 31 Mar of yr following given yr	0.4.1(1/3)	0.218472222222222	2652538.58868405	2205772.40940878			
	1911	593372	552091				102431	90398	18983	194736		0.4.1(1/3)	0.218472222222222	2716006.61157025	2527053.52828989			
	1912	718809	587096				111143	99647	25974	194736		0.4.1(1/3)	0.218472222222222	3290161.98347108	2687279.8474253			
	1913	654770	642613				117949	106144	19130	194736		0.4.1(1/3)	0.218472222222222	2997040.05085824	2941394.53273999			
	1914	612639	599970				103615	113071	9642	194736		0.4.1(1/3)	0.218472222222222	2804196.31277813	2746207.24729816			
