Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt	
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes
	1893	169226	247318		64830	137405	34973	42339	3380	30458	
	1894						38212	45057	2327	34736	
	1895	299103	264197		88025	120749	49071	56537	2097	34736	
	1896	300954	283663		107656	156486	64339	55416	114	34736	
	1897	292613	288969		100095	158409	64613	65716	743	34736	
	1898	256977	263908		86446	175550	56521	62019		34736	
	1899	212237	263090		66562	177033	51535	53994		34736	
											
HCP 49	1842				414103	864502					Exp imp in official values
											
CP Cd.7165	1898	256977	263908		86446	175550	56521	62019		34736	Rate B$ 1 = 0.4.1(1/3)
	1899	212237	263090		86562	177033	51535	53994		34736	Rev and Exp > 1900 given for 12 months ended 31 Mar year following marked yr.
	1900	246661	267606		77402	126248	59615	50659		34736	Exp Ln for 12 months ended 31 Mar yr following marked yr
	1901	252511	285514		76853	130840	55940	52809		34736	STOPPED GB DATA HERE
	1902	252382	280010		69334	85771	53362	51850		34736	
	1903	364445	380931		95360	69743	61912	54686		34736	
	1904	361227	383129		96087	86017	63679	58020		34736	
	1905	385737	377246		101929	96765	68267	61739		34736	
	1906	452333	415018		120755	118450	80549	64932	1142	34736	
	1907	496565	454491		136696	93343	81232	69457	36751	34736	
	1908	550245	452592		141927	98285	74188	69169	41005	34736	
	1909	555873	454077		113434	73145	81370	88545	33169	34736	
	1910	579506	481900		123516	67728	94411	100722	10856	34736	
	1911	593372	552091		127642	68957	102431	100695	8686	194738	
	1912	718809	587096		137057	63586	111143	123621	6867	194541	
											
CP Cmd. 2738	1909	555873	454077				81370	88545	33169	34736	Rate B$ 1 = 0.4.1(1/3)
	1910	579506	481900				94411	100722	10856	34736	Rev and Exp given for 12 m ended 31 Mar of yr following given yr
	1911	593372	552091				102431	90398	18983	194736	
	1912	718809	587096				111143	99647	25974	194736	
	1913	654770	642613				117949	106144	19130	194736	
	1914	612639	599970				103615	113071	9642	194736	
	1915	441730	459601				106245	110501	325	194736	
	1916	531074	527384				131572	126089	79	179820	
	1917	574276	576165				139002	138810	105	179820	
	1918	732891	754113				148253	137874	547	179820	
	1919	965128	914477				219045	201818	220	179820	
	1920	1207991	1037166				232264	190923	8642	179820	
	1921	687199	626011				227181	289994	28898	136763	
	1922	676360	579173				233825	225888	43107	220595	
	1923	829764	657137				224703	247329	57330	232708	
											
CP Cmd. 3434	1922	676360	577117				233825	225888	43107	173270	"Exports at FOB rates, exclusive of export duty"
	1923	829764	655820				224703	247329	57330	153290	"Imports at net value, exclusive of outside packages, insurance, freight and duty."
	1924	800491	683631				193010	189316	27839	153290	Rate B$ 1 = 0.4.1(1/3)
	1925	928108	735022				204792	199481	7760	153290	"Rev, Exp & Debt given for 12 m ended 31 Mar of yr following given yr"
	1926	1041275	807051				229489	213879	14623	153290	to All Re = re-exports
	1927	924446	934770				219577	228595	14272	153290	
											
CP Cmd. 5298	1926	1041000	807000				229000	214000	15000	153000	"Exports at FOB rates, exclusive of export duty"
	1927	924000	934000				220000	204000	14000	153000	"Imports at net value, exclusive of outside packages, insurance, freight and duty."
	1928	916000	831000				214000	215000	7000	363000	Rate B$ 1 = 0.4.1(1/3)
	1929	1039000	999000				213000	210000	1000	384000	"Rev, Exp, Exp Ln < 1934 given for 12 m ended 31 Mar of yr following given yr"
	1930	1012000	931000				239000	223000	1000	384000	"1934 Rev, Exp, Exp Ln, Debt given for 9 months ended 31 Dec of the given yr"
	1931	964000	632000				180000	213000	2000	384000	
	1932	647000	391000				184000	193000	124000	534000	
	1933	393000	238000				217000	197000	93000	555000	
	1934	379000	299000				129000	168000	7000	614000	
	1935	535000	337000				279000	278000		638000	
											
CP Cmd. 6140	1934	375000	295000								Imports exports valued as above
	1935	546000	345000								Rate B$ 1 = 0.4.1(1/3)
	1936	658000	478000								
	1937	804000	520000								
	1938	809000	656000								
			0								
CP Cmd. 7224	1936	658000	478000								
	1937	801000	518000								
	1938	821000	665000								
	1939	795000	556000								
	1940	823000	751000								
	1941	931000	833000								
	1942	983000	634000								
	1943	1410000	929000								
	1944	1827000	1511000								
	1945	1944000	1221000								
			0								
CP Cmd. 8051	1945		0								
	1946	1683000	1296000								
	1947	2148000	1524000								
