Table 1
No		Start	End	Value	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI
38																				
39																				
40																				
41																				
42																				
43																				
44																				
45																				
46																				
47																				
48																				
49																				
50		mas 49	ms 50	10 to 14	3624/5/8	20063/1/4	4429/4/0	11280/0/0	756/0/0				3491/3/6	9619/6/0	312/0/0	780/0/0	12/0/0			
51		ms 50	mas 51	10 to 14	1794/0/0	38885/2/6	13354/11/6	17137/10/0	1843/16/0	564/0/0			286/16/0	5799/16/11	666/0/0	1908/12/10		120/0/0		
52		mas 51	mas 52	10 to 14	1981/16/0	44471/1/0	5972/2/0	4404/10/0	1622/18/0				1460/9/11	4006/10/0	24/0/0	297/12/0				
53																				
54																				
55																				
56																				
57																				
58																				
59																				
60																				
61																				
62																				
63	log	mas 62	mas 63	10 to 14	291/0/0	16317/15/0	384/0/0	6684/0/0	1344/0/0	300/0/0	9948/0/0		60/14/9	3591/4/2	235/16/0	461/18/6			1931/2/3	
63	mah			10 Lon … 7 to 9 Out		8265/0/0								3392/0/0						
64	log	mas 63	mas 64	10 to 14	282/0/0	12534/6/0					1681/13/0									
64	mah			7 to 9	560/0/0	4896/0/0														
65	log																			
65	mah																			
66	log																			
66	mah																			
67	log																			
67	mah																			
68	log																			
68	mah																			
