Table 1
No	Start	End	Value	Jam	Car	NE NY	Vi Mary	US Other	Car	NE NY	Vi Mary	Jam	Other	£	t	Bar	Car	FL	Canada	Jam	NE	GA	Prov	NY	PA	Vi & Mar	WI / Hav	WI	WI	Span WI / Mosq	WI	WI	Mosq	Prize	Bar	Car	FL	Jam	NE	Prov /GA	NY	PA	Vi & Mar	WI	Span WI / Mosq	WI	WI	WI	Mosq	Prize							
20	mas 17	mas 18	10 to 14	12	12	12	12	995969	401906	194199	3155	1861095	733646	"17,458"	"288,027"	784/1/0	1647/17/3			5692/6/6	264/17/0			118/10/0		12/4/11				3001/10/0						26/14/11		2062/4/9			425/16/3	5/19/1	0/18/0	55/7/2													
21	mas 18	mas 19	10 to 14	12	12	12	12	366237	3129	349752	2268	1110162	143784	"8,231"	"152,629"	1862/2/9	12/0/0			3108/11/4	536/4/0			704/5/9	46/4/0	9/9/0	96/0/0			503/2/0	252/18/0				9/15/9	1/0/9		1517/2/2	26/6/6		190/9/9																
22	mas 19	mas 20	10 to 14	12	12	12	12	397698	21006	375972	720	589430	0	"5,770"	"115,402"					1648/1/7	756/0/9			485/10/3		3/0/0										87/10/6		807/17/7	165/1/11		159/18/1																
23	mas 20	mas 21	10 to 14	12	12	12	12	1856864	1485	1829405	21168	3115967	89083	"28,808"	"568,741"	485/0/6				9201/9/7	5214/0/10			380/14/0	13/7/0	88/4/0	335/17/0									6/3/9		3781/14/4	1203/14/3		824/1/4	6/13/6		35/6/7													
24	mas 21	mas 22	10 to 14	12	12	12	12	1806574	83541	1722421	612	1331081	22143	"20,693"	"412,019"	35/10/8	132/0/0			2695/10/10	5064/14/6			1380/18/7		2/11/0		363/9/0								216/1/9		2850/12/7	659/17/7		71/4/5			92/5/3													
25	mas 22	mas 23	10 to 14	12	12	12	12	2777625	107820	2669805	0	2603786	979200	"38,076"	"679,920"	191/3/0	431/5/0			4560/12/0	6931/14/0			3051/12/0			4080/0/0	589/10/0								18/0/0		6288/10/2	911/15/6		229/2/3																
26	mas 23	mas 24	10 to 14	12	12	12	12	3968312	252144	3641288	0	3253859	753120	"49,453"	"926,300"	400/3/0	750/12/0			9082/16/1	8348/5/0			3675/11/6	312/0/0		1260/0/0	1500/0/0	1068/0/0	288/0/0		3600/0/0			83/3/6	300/0/0		4474/18/10	2114/10/9		1033/13/5			402/0/0	1476/0/0												
27	mas 24	mas 25	10 to 14	12	12	12	12	4820808	58320	3956485	0	3401397	611654	"53,536"	"1,019,751"	432/0/0	78/0/0			7632/13/6	12568/1/11			1203/0/0	2412/0/0		516/0/0	1224/0/0							186/0/0	165/0/0		6539/16/3	2714/5/2			946/6/11		232/11/2	1800/0/0												
28AB	mas 25	mas 26	10 to 14	12	12	12	12	4467856	489067	3170949	0	3758253	2066049	"58,134"	"990,510"	17/8/09	1932/0/0			9714/10/3	10657/3/4			1535/2/5	3366/0/0		1798/4/0	6/0/0		3366/0/0					149/8/0	105/15/7		5944/17/6	1020/0/0						3444/6/9												
82	mas 26	mas 27	10 to 14	12	12	12	12	5756210	613072	5100226	0	2497808	339840	"59,613"	"1,163,943"	1476/0/0	1411/13/0			4227/15/6	17128/6/4			2004/0/0	72/0/0										24/0/0	1142/16/4		6179/15/2	2115/12/6		3/0/0	106/16/0		1416/0/0													
29	mas 28	mas 29	10 to 14	12	12	12	12	1830333	250769	1470124	109440	917466	659	"19,078"	"381,511"	390/0/0	897/12/0			1760/0/0	5573/10/4					456/0/0	2/14/11								26/13/10	147/5/5		2062/15/6	552/0/0																		
30	mas 29	mas 30	10 to 14	12	12	12	12	1458275	74808	1358748	24719	1314140	1513374	"23,934"	"352,558"	204/0/0	237/6/0			2699/12/2	4666/6/0			84/0/0		102/19/11	4296/0/0			2004/0/0						74/8/0		2775/19/6	567/6/6		343/16/6			5/14/6													
31	mas 30	mas 31	10 to 14	12	12	12	12	746802	68538	644712	24480	895892	605808	"12,443"	"198,369"		96/0/0			132/0/0	2206/6/0			480/0/0	37/16/0	102/0/0				2520/0/0						189/11/6		3600/17/8						4/4/0													
32	mas 31	mas 32	10 to 14	12	12	12	12	1528916	80640	1401991	0	1778488	103699	"20,391"	"399,170"	60/0/0	336/0/0			3608/1/3	5313/12/7			528/0/0	192/17/1		25/16/0			333/0/0								3802/6/1							73/5/7												
33	mas 32	mas 33	10 to 14	12	12	12	12	725472	0	725472	0	2152575	1329984	"20,556"	"300,293"					4101/1/4	2698/16/0			132/0/0						5520/0/0								4867/19/11	192/0/0						21/12/0												
34	mas 33	mas 34	10 to 14	12	12	12	12	939960	17280	900648	0	1947192	720000	"18,855"	"317,090"		72/0/0			3797/6/0	3260/14/0			492/0/0	91/16/0		3000/0/0	108/0/0			3/0/0							4316/0/0																			
35	mas 34	mas 35	10 to 14	12	12	12	12	1494939	0	1480539	14400	2239435	852892	"25,343"	"435,776"					6661/2/6	5289/18/3			744/0/0		60/0/0	2400/0/0			1153/14/4	21/0/0							2669/17/1	135/0/0																		
36	mas 35	mas 36	10 to 14	12	12	12	12	3626743	351360	3275383	0	2619547	34560	"41,282"	"822,753"	228/0/0	1464/0/0			6611/1/1	9330/8/8			996/0/0			144/0/0								384/0/0			4303/14/6	1706/12/0		1614/7/11																
37	mas 36	mas 37	10 to 14	12	12	12	12	4787365	854758	3070095	63360	1967272	252000	"45,812"	"895,238"		3457/16/0			5570/6/7	9087/16/0			3214/4/0											120/0/0	103/13/10		2626/12/9	250/1/3		240/0/0	136/16/0	264/0/0	330/0/0	720/0/0												
38	mas 37	mas 38	10 to 14	12	12	12	12	4396053	670878	3624375	43200	2484706	377556	"48,320"	"934,934"		2592/0/0			5585/18/3	11740/17/7			1920/0/0	240/0/0	180/0/0	1392/0/0									203/6/6		4767/0/7			1440/13/8			181/3/0													
39	mas 38	mas 39	10 to 14	12	12	12	12	3554277	464174	3078583	0	2011443	28800	"38,072"	"759,040"		1598/1/2			5932/13/0	8247/6/0			1284/0/0	48/0/0		60/0/0	33/17/10		60/0/0						336/0/0		2448/7/3	1855/3/9		1440/18/10																
40	mas 39	mas 40	10 to 14	12	12	12	12	4613571	391989	4210062	0	733147	96336	"41,855"	"829,064"	84/0/0	919/4/0			2328/0/0	15013/16/2			936/0/0	48/0/0			120/0/0	1080/0/0						3/0/0	714/1/9		726/15/7	1205/16/9		386/5/7			401/8/0													
41	mas 40	mas 41	10 to 14	12	12	12	12	3128697	135792	2877705	432	433645	120960	"27,905"	"548,023"		565/16/0			1603/4/0	7847/14/0			1677/9/0	475/4/0	1/16/0	324/0/0				123/0/0							203/13/1	2465/5/9			3/0/0		180/0/0													
42	mas 41	mas 42	10 to 14	12	12	12	12	1618313	59268	1149280	0	1214885	27657	"16,956"	"336,812"		84/14/8			4119/11/3	3663/12/0			828/0/0	244/15/6						406/4/0					162/4/4		942/9/2			297/1/4	1462/11/7		115/4/9		36/0/0				6/6/0							
43	mas 42	mas 43	10 to 14	12	12	12	12	1892362	351766	1203636	0	1706344	48960	"21,679"	"429,509"		948/0/0			4878/8/3	2733/19/8			612/0/0	1404/0/0						276/0/0			114/5/0		517/13/10		2231/7/1	1669/3/4					204/0/0													
44	mas 43	mas 44	10 to 14	12	12	12	12	791120	58397	732723	0	557124	0	"8,914"	"178,280"		168/0/0			1434/0/0	444/0/0			600/0/0							60/0/0			77/17/0		75/6/5		887/7/0	2009/0/3											185/15/0							
45	mas 44	mas 45	10 to 14	12	12	12	12	545184	0	545184	0	697188	397440	"9,104"	"148,963"					1863/6/0	372/0/0			1320/0/0			1656/0/0							60/0/0				1041/13/0	579/12/0																		
46	mas 45	mas 46	10 to 14	12	12	12	12	73643	0	73643	0	287048	0	"1,810"	"36,195"					546/0/0	300/0/0																	650/0/8	6/16/11											135/14/3							
47	mas 46	mas 47	10 to 14	12	12	12	12	944585	144000	742553	0	681480	0	"10,469"	"209,385"	60/0/0	502/16/0			1792/4/0	72/0/0			1959/9/5										320/4/3		97/4/0		1047/6/0	1062/10/0			241/16/0															
48	mas 47	mas 48	10 to 14	12	12	12	12	2530183	259942	1167201	967680	2344600	0	"30,290"	"605,801"		1044/0/0			5172/3/7	229/7/9		48/0/0	3636/0/0		4032/0/0								653/11/0		39/1/10		4596/19/9	427/19/0		570/0/0	516/0/0															
49	mas 48	mas 49	10 to 14	12	12	12	12	1208939	2787	1138752	3224	1804444	518400	"19,486"	"346,512"		9/3/3			4274/14/10	64/4/0			4656/0/0	271/8/0		2160/0/0									2/9/0		3243/15/6	24/12/0				13/8/8			84/0/0											
50	mas 49	ms 50	10 to 14	12	12	12	12	5926478	1707710	4032288	0	7123768	99360	"78,707"	"1,565,854"		3624/5/8			20063/1/4	4429/4/0		9/0/0	11280/0/0	756/0/0		414/0/0	1080/0/0								3491/3/6		9619/6/0	312/0/0		780/0/0	12/0/0				48/0/0											
51	ms 50	mas 51	10 to 14	12	12	12	12	9466876	499392	7936012	164160	10724393	4320	"119,980"	"2,399,236"	1560/0/0	1794/0/0			38885/2/6	13354/11/6		96/0/0	17137/10/0	1843/16/0	564/0/0		1200/0/0			2376/0/0	293/2/0			1/4/0	286/16/0		5799/16/11	666/0/0		1908/12/10		120/0/0	18/0/0		723/12/0	6/0/0										
52	mas 51	mas 52	10 to 14	12	12	12	12	3783215	826151	2567568	0	11634612	0	"78,381"	"1,567,629"		1981/16/0			44471/1/0	5972/2/0			4404/10/0	1622/18/0			144/0/0	36/0/0							1460/9/11		4006/10/0	24/0/0		297/12/0																
53	mas 52	mas 53	10 to 14	12	12	12	12	7190002	480384	6385618	97920	4263066	5760	"76,761"	"1,534,749"		1266/0/0			12418/10/0	9030/0/0			15444/4/6	84/0/0				60/0/0							735/12/0		5344/5/6	762/0/0		1370/10/4		408/0/0	24/0/0													
54	mas 53	mas 54	10 to 14	12	12	12	12	4008643	360897	3523405	0	4890192	77866	"53,588"	"1,065,261"	120/0/0	60/0/0			16542/10/6	6588/5/1			4617/5/4	180/0/0				960/0/0						84/0/0	1443/14/9		3833/5/6	1369/6/8	338/1/9	2106/0/0			324/8/10													
55	mas 54	mas 55	10 to 14	12	12	12	12	1037160	327888	683352	0	6102642	0	"33,963"	"679,254"		1366/4/0			18929/6/3	1230/0/0			1113/6/0					72/0/0		720/0/0							6498/7/3	312/0/0		192/0/0	108/0/0															
56	mass 55	mas 56	10 to 14	12	12	12	12	5077728	464553	2772596	6480	8907878	0	"71,788"	"1,435,770"		1818/15/0			24226/2/6	3145/8/8			4518/0/0	3246/0/0						96/0/0	912/0/0		143/17/3		116/17/9		12890/0/8			3889/1/0	2605/1/7	27/0/0														
57	mas 56	mas 57	10 to 14	12	12	12	12	5092273	893442	3277375	0	6674080	0	"66,405"	"1,328,098"		2742/0/0			17879/9/3	2398/18/1		2496/0/0	6353/8/0	1043/8/0			24/0/0							155/17/7	980/13/6		9929/4/1	1090/13/0		3812/15/6	300/0/0								695/6/9							
58	mas 57	mas 58	10 to 14	12	12	12	12	4250124	589021	1317701	180648	6724019	2880	"54,435"	"1,088,459"		1572/0/0			17776/19/6	1011/9/9		360/0/0	1683/18/0	5763/16/6									2205/9/9		882/5/1		10239/15/5	708/0/0		2087/0/8	2067/13/0	752/14/0	12/0/0						121/7/0							
59	mas 58	mas 59	10 to 14	12	12	12	12	5025624	654255	2805601	100800	8515272	8150	"71,290"	"1,425,129"		1290/0/0		632/10/2	27070/0/6	778/8/7		96/0/0	4320/0/0	4212/0/0									1880/17/0		1436/1/3		8410/5/6	288/0/0	155/12/8	6303/11/6	770/8/0	420/0/0	33/19/2						120/0/0							
60	mas 59	mas 60	10 to 14	12	12	12	12	1061873	615672	440496	4080	4242026	0	"26,517"	"530,346"		2106/0/0			14344/11/11	360/0/0			417/12/0	6/15/5	17/0/0										459/6/0		3330/10/3	121/16/0		936/0/0									133/14/2							
