Table 1
	S 1	D	C	S 2	D	C	S 3	D	C	S 4	D	C	S 5	D	C	S 6	D	C	S 7	D	C	A S 1	A S 2	A S 3	A S 4	A S 5	A S 6	A S 7	S S 1	S S 2	S S 3	S S 4	S S 5	S S 6	S S 7	R S 1	R S 2	R S 3	R S 4	R S 5	R S 6	R S 7
1989	KAREN	150	0																										0							0.0						
1990	DIANA	50	0																										0							0.0						
1991	FABIAN	150	0																										0							0.0						
1992																																										
1993	GERT	0	0	U	0	0																							2.0	2.0						0.0	0.0					
1994	U	0	0																										2.0							0.0						
1995	OPAL	150	0	ROXANNE	150	3																							0	0						0.0	0.0					
1996	DOLLY	50	1	KYLE	50	0																							0	0						0.0	0.0					
1997																																										
1998	MITCH	150	5																			9							9							0.0						
1999	KATRINA	0	0																										2.4							0.0						
2000	GORDON	150	0	KEITH	0	4																	19						0	19						0.0	0.1					
2001	CHANTAL	0	0	IRIS	0	4																	24						2.6	24						0.0	0.1					
2002	ISIDORE	150	1																										0							0.0						
2003	BILL	150	0	LARRY	150	0																							0	0						0.0	0.0					
2004																																										
2005	CINDY	50	0	EMILY	150	4	STAN	150	0	WILMA	150	4	GAMMA	150	0											3			0	0	0	0	3			0.0	0.0	0.0	0.0	0.0		
2006																																										
2007	BARRY	50	0	DEAN	50	5	FELIX	0	0														0						0	0	3.0					0.0	0.0	0.0				
2008	ALMA	150	0	ARTHUR	0	0																	5						0	5						0.0	0.0					
2009																																										
2010	AGATHA	150	0	ALEX	0	0	KARL	50	0	MATTHEW	0	0	PAULA	150	2	RICHARD	0	2									1		0	3.2	0	3.2	0	1		0.0	0.0	0.0	0.0	0.0	0.0	
2011	HARVEY	0	0	RINA	150	3																							3.3	0						0.0	0.0					
2012	ERNESTO	50	2	HELENE	0	0																0							0	3.4						0.0	0.0					
2013	BARRY	0	0																										3.5							0.0						
2014	HANNA	0	0																										3.5							0.0						
2015																																										
2016	EARL	0	1																			0							0							0						
2017	FRANKLIN	150	0	HARVEY	50	0																							0	0						0	0					
2018	ALBERTO	150	0	MICHAEL	50	0																							0	0						0	0					
2019																																										
2020																																										
																						2888							2955.567097													
																													67.567097													
