Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020	GDP USD	USD to £	GDP 2020	Spending pc	Imports pc	Exports pc	SPENDING	IMPORTS	EXPORTS
1879	0/3/4.5			159883	187673			42777		937	42777	159883	187673	9	5211931	19480074	22865996							13370096	49971973	58657831
1880	0/3/4.5			237201	252855			31998		0	31998	237201	252855	9	3774198	27978110	29824516							9681900	71771870	76508430
1881	0/3/4.5		27452	201811	247403			34351		0	34351	201811	247403	9	4095304	24059777	29495226							10505628	61720223	75663706
1882	0/4/1.33333333			232882	250633			37547		0	37547	232882	250633	9	4428709	27468680	29562429							11360907	70465034	75836101
1883	0/3/3.33333333			268973	302870			33200	0	0	33200	268973	302870	9	3958083	32066788	36107966							10153616	82260499	92627279
1884	0/3/3.33333334			237538	317449			44096	0	0	44096	237538	317449	9	5372637	28941526	38677847							13782354	74243306	99219759
1885	0/3/2			254856	244280			50061	9684	0	50061	254856	244280	9	6307345	32110118	30777614							16180146	82371654	78953400
1886	0/2/11			172054	204201			45613		8130	45613	172054	204201	9	5812984	21926799	26023657							14911969	56248523	66758137
1887	0/2/11			160084	196833			42918		8130	42918	160084	196833	9	5533128	20638550	25376351							14194060	52943796	65097612
1888	0/2/9.5			200450	213020			41587	7105	16782	41587	200450	213020	9	5299905	25545624	27147563							13595774	65531847	69641277
1889	0/2/9.5			260089	300879			43516	1280	16782	43516	260089	300879	9	5482719	32769441	37908703							14064746	84063005	97246685
1890	0/3/1			282945	287690			45249	7854	17595	45249	282945	287690	9	5701065	35649141	36246978							14624867	91450261	92983886
1891	0/2/11.25		31471	272214	280521			45270	5884	17000	45270	272214	280521	9	5639625	33911747	34946613							14467253	86993349	89648075
1892	0/2/7.5			230610	228536			43791	5259	16317	43791	230610	228536	9	5455375	28728824	28470450							13994599	73697665	73034862
1893	0/2/3.8			169226	247318			42339	3380	30458	42339	169226	247318	9	5334425	21321322	31160382							13684329	54695301	79935308
1894		0/4/1.33333333		151266	244335			45057	2327	34736	45057	151266	244335	9	5742126	19277548	31138389							14730199	49452434	79878891
1895		0/4/1.33333333		299103	264197			56537	2097	34736	56537	299103	264197	9	7288934	38561333	34061137							18698205	98920868	87376577
1896		0/4/1.33333333		300954	283663			55416	114	34736	55416	300954	283663	9	7228463	39256440	37001002							18543079	100704017	94918172
1897		0/4/1.33333333		292613	288969			65716	743	34736	65716	292613	288969	9	8374938	37291004	36826608							21484115	95662112	94470802
1898		0/4/1.33333333		256977	263908			62019	0	34736	62019	256977	263908	9	7903787	32749503	33632800							20275478	84011860	86277768
1899		0/4/1.33333333		212237	263090			53994	0	34736	53994	212237	263090	9	6802876	26740415	33147546							17451326	68596827	85032954
1900		0/4/1.33333333		B1470764				50659	0	34736	50659	302626		9	6105180	36471079								15661537	93558768	
1901		0/4/1.33333333	37479	B1387598	B1227202			52809	0	34736	52809	285514	252511	9	6364288	34408781	30431382							16326223	88268382	78065214
1902		0/4/1.33333333		B1362210	B1227803			51850	0	34736	51850	280290	252634	9	6248714	33779225	30446285							16029742	86653392	78103445
1903		0/4/1.33333333		364445	380931			54686	0	34736	54686	364445	380931	9	6519630	43448898	45414348							16724718	111458873	116500816
1904		0/4/1.33333333		361227	383120			58020	0	34736	58020	361227	383120	9	6917107	43065250	45675319							17744361	110474706	117170282
1905		0/4/1.33333333		385737	377246			61739	0	34736	61739	385737	377246	9	7360484	45987316	44975025							18881750	117970644	115373826
1906		0/4/1.33333333	41007	452333	415018			66074	1142	34701	66074	452333	415018	9	7877300	53926848	49478178							20207531	138337819	126925705
1907		0/4/1.33333333		496565	454491			69457	36754	34736	69457	496565	454491	9	8192527	58570370	53607697							21016179	150249782	137519104
1908		0/4/1.33333333		550215	452592			69169	41005	34736	69169	550215	452592	9	8158557	64898445	53383708							20929037	166483107	136944507
1909		0/4/1.33333333		555873	454077			88545	33169	34736	88545	555873	454077	10	10334040	64875645	52995088							26509775	166424620	135947585
1910		0/4/1.33333333		579506	481900			100722	10856	34736	100722	579506	481900	10	11632761	66929321	55656438							29841366	171692887	142774712
1911		0/4/1.33333333	40458	593372	552091			90308	18983	194736	90308	593372	552091	10	10430010	68530757	63763060							26755963	175801030	163570520
1912		0/4/1.33333333		718809	587096			99647	25974	194736	99647	718809	587096	10	11159860	80502252	65751194							28628239	206511343	168670653
1913		0/4/1.33333333		654770	642613			106144	19130	194736	106144	654770	642613	10	12008786	74078540	72703136							30805976	190032681	186504378
1914		0/4/1.33333333		612639	599970			113071	9642	194736	113071	612639	599970	10	12792484	69311976	67878647							32816386	177805079	174128179
