Table 1
title	Historical series re Belize					
series	null					
series_version	1.5					
file	graphs.numbers					
file_version	1.1					
file_date	8 aug 2022 11.44 am					
file_author	navidad					
file_rights	copyright					
file_licence	creative					
file_place	boston					
