Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt		
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes	FX
	1932	647000	84000	307000			184000	193000	124000	534000		0.4.1(1/3)
	1933	393000	101000	137000			217000	197000	93000	555000		0.4.1(1/3)
	1934	379000	174000	125000			129000	168000	7000	614000		0.4.1(1/3)
	1935	535000	186000	151000			279000	278000		638000		0.4.1(1/3)
												
Cmd. 6140	1934	375000	172000	123000							Imports exports valued as above	0.4.1(1/3)
	1935	546000	190000	155000								0.4.1(1/3)
	1936	658000	270000	208000								0.4.1(1/3)
	1937	804000	287000	233000								0.4.1(1/3)
	1938	809000	367000	289000								0.4.1(1/3)
												
Cmd. 7224	1936	658000	270000	208000								?
	1937	801000	286000	232000								
	1938	821000	372000	293000								
	1939	795000	311000	245000								
	1940	823000	402000	349000								
	1941	931000	439000	394000								
	1942	983000	311000	323000								
	1943	1410000	441000	488000								
	1944	1827000	462000	1049000								
	1945	1944000	490000	731000								
												
Cmd. 8051	1945											?
	1946	1683000	872000	424000								
	1947	2148000	1053000	471000								
												
Cmd. 7167	1937						314000	310000			B$ pegged to US$; p 104	B$ 4.94 to 1.0.0L
	1938						356000	383000			"Figs in sterling, for calendar years"	4.89
	1939	792000	565000				441000	441000				4.46
	1940	823000	754000				436000	418000				4.03
	1941	931000	833000				391000	378000				4.03
	1942	984000	634000				409000	406000				4.03
	1943	1411000	929000				466000	456000				4.03
	1944	1827000	1510000				623000	611000				4.03
	1945	1945000	1221000				622000	628000				4.03
	1946	1683000	1296000				620000	654000				4.03
												
Cmd. 6607	1938									641708	Avg 1936-38 = 43402; figs in Sterling	B$ 4.80 to 1.0.0L
