Table 1
Date	Link	Gale ID	Address	
3 Oct 1732	Link	Z2000253173	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000253173/GDCS?u=camb55135&sid=GDCS&xid=0274a29b	
11 Aug 1747	Link	Z2000434671	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000434671/GDCS?u=camb55135&sid=GDCS&xid=d4544fb3	
18 Apr 1752	Link	Z2000139186	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000139186/GDCS?u=camb55135&sid=GDCS&xid=45ec79bb	
14 Dec 1754	Link	Z2000658065	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658065/GDCS?u=camb55135&sid=GDCS&xid=d8a0a5ac	
28 Dec 1754	Link	Z2000658101	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658101/GDCS?u=camb55135&sid=GDCS&xid=8d26f435	
30 Jan 1755	Link	Z2000658205	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658205/GDCS?u=camb55135&sid=GDCS&xid=0abb66f9	
6 Oct 1755	Link	Z2001070665	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001070665/GDCS?u=camb55135&sid=GDCS&xid=2ffadd07	
11 Oct 1755	Link	Z2001247773	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001247773/GDCS?u=camb55135&sid=GDCS&xid=f7d95eef	
31 Oct 1765	Link	Z2000352153	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000352153/GDCS?u=camb55135&sid=GDCS&xid=179617d8	
10 Feb 1766	Link	Z2000353875	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000353875/GDCS?u=camb55135&sid=GDCS&xid=3d92c638	
1 Sep 1770	Link	Z2000440235	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000440235/GDCS?u=camb55135&sid=GDCS&xid=b7dbe92f	
30 Apr 1772	Link	Z2000682911	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000682911/GDCS?u=camb55135&sid=GDCS&xid=aeb446db	
30 Nov 1773	Link	Z2000770279	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000770279/GDCS?u=camb55135&sid=GDCS&xid=2fa1d122	
5 Feb 1785	Link	Z2000582847	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000582847/GDCS?u=camb55135&sid=GDCS&xid=0ad9fbe6	
25 Jul 1787	Link	Z2000879373	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000879373/GDCS?u=camb55135&sid=GDCS&xid=cc478762	
13 Mar 1794	Link	Z2001633801	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001633801/GDCS?u=camb55135&sid=GDCS&xid=e3d309d8	
