Table 1
	Treasury Hon								Market							
	Sp $	US $	Hon $	Hon £	£	d	Cf	N	Sp $	Jam £	Jd 78	Jd 93	£	Par	Cf	N
1680	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	
1681	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	> 23 Feb; by Act; de jure rate Sp silver $ 1 = 0.5.0 Sterl
1682	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	
1683	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	
1684	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	
1685	"BZD	1.00"			"£	0.25"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"Lon 1978
Lon 1893"	
1686	"BZD	1.00"			"£	0.25"	"£	0.19"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.19"	133	"Lon 1978
Lon 1893"	
1687	"BZD	1.00"			"£	0.25"	"£	0.19"		Lon 1978		"BZD	1.00"	"£	0.25"	60	60	"£	0.19"	133	"Lon 1978
Lon 1893"	
1688	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1689	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1690	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1691	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1692	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1693	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1694	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1695	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1696	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1697	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1698	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1699	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1700	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1701	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1702	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1703	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1704	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	WI inc Jam put on gold std by Queen Anne on 18 Jun 1704
1705	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1706	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1707	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1708	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1709	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1710	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1711	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1712	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1713	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1714	"BZD	1.00"			"£	0.30"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"Lon 1978
Lon 1893"	
1715	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	1707 < change from 5s to 6s 3p < 1722; so set at midpoint
1716	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1717	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1718	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1719	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1720	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1721	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1722	"BZD	1.00"			"£	0.31"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.23"	133	"Lon 1978
Lon 1893"	
1723	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1724	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1725	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1726	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1727	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1728	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1729	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1730	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1731	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1732	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1733	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1734	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1735	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
