C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	"Perez, Documentos"	xxx		1	Documentos sobre Belice o Balice	Mexico	Mexico	1958	1958		Edited by Gustavo A. Pérez Trejo		
		P	"Perez, Pagina"	xxx		1	"Boletín Bibliográfico de la Secretaría de Hacienda y Crédito Público, nos. 394—5, Una página histórica sobre Belice "	Mexico	Mexico	1968	1968	Gerhard 75	By Gustavo A. Pérez Trejo		
		P	Wassenaer	xxx		21	"Historisch verhael alder ghedenck-weerdichste geschiedenisse, die hier en daer in Europa, als in Duijtsch-lant, Vranckrijck, Enghelant, Spaengien, Hungarijen, Polen, Sevenberghen, Wallachien, Moldavien, Turckijen en Neder-lant, van den beginne des jaers 1621 ..."	Amsterdam	Netherlands	1622	1635	Goslinga			
		P	Blaeu	xxx		11	"Atlas maior, sive, Cosmographia Blaviana : qua solum, salum, cœlum, accuratissime describuntur"	Amsterdam	Netherlands	1662	1672		"v2, 6, 10, 11 missing from Harvard"	"Harvard: http://id.lib.harvard.edu/alma/990040734920203941/catalog
Erfgoed Leiden en Omstreken: https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu "	
		P	Aitzema	xxx		6	Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden	Hague	Netherlands	1669	1672	Goslinga			
		P	Wright/van Dam	1621	1649	2	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	Utrecht	Netherlands	1934	1935	Goslinga	Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam	"Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf
Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf"	
		P	Exquemeling	1666	1674	1	De Americaensche zee-roovers	Amsterdam	Netherlands	1678	1678			"https://link.gale.com/apps/doc/CY0103030375/SABN?u=camb55135&sid=SABN&xid=b83ad9b2
English translation: https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm"	
		P	Laet a	1624	1636	1	"Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"	Leiden	Netherlands	1644	1644	Goslinga	"Laet/Naber = version edited by S. P. l'Honoré Naber = Iaerlyck verhael van de verrichtinghen der Geoctroyeerde West-Indische compagnie [Hague, Mart. Nijhoff, 1931–37], 4 vols

Laet port = Portuguese translation by Drs. Jose Hygino Duarte Pereira and Pedro Souto Maior = Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636 [Rio de Janeiro, Officinas graphicas da Bibliotheca nacional, 1916-1925], 2 vols"	"http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/historie-ofte-iaerlĳck-verhael-van-de/docview/2090303526/se-2?accountid=11311

Portuguese translation: https://hdl.handle.net/2027/mdp.39015077856105

Laet/Naber, v 4: https://resolver.kb.nl/resolve?urn=MMKB21:043711000
"	
		P	Barlaeus	xxx		1	"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"	Amsterdam	Netherlands	1647	1647	Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	
		P	Haefkens	xxx		1	"Centraal Amerika : uit een geschiedkundig, aardrijkskundig en statistiek oogpunt beschouwd"	Dordrecht	Netherlands	1832	1832	Barke 16 182	"Sp edition by Theodora J. M. van Lottum, Guatemala, Editorial Universitaria, 1969"	Dutch: https://www.google.com/books/edition/Centraal_Amerika/QEwCAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
