Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 44	44	1682	"BZD	1.00"			"£	0.25"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"McCusker
Chalmers"	
L 45	45	1683	"BZD	1.00"			"£	0.25"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"McCusker
Chalmers"	
L 46	46	1684	"BZD	1.00"			"£	0.25"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"McCusker
Chalmers"	
L 47	47	1685	"BZD	1.00"			"£	0.25"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.23"	111	"McCusker
Chalmers"	
L 48	48	1686	"BZD	1.00"			"£	0.25"	"£	0.19"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.19"	133	"McCusker
Chalmers"	
L 49	49	1687	"BZD	1.00"			"£	0.25"	"£	0.19"		McCusker		"BZD	1.00"	"£	0.25"	60	60	"£	0.19"	133	"McCusker
Chalmers"	
L 50	50	1688	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 51	51	1689	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 52	52	1690	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 53	53	1691	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 54	54	1692	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 55	55	1693	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 56	56	1694	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 57	57	1695	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 58	58	1696	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 59	59	1697	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
