Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 155	155	1793	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 156	156	1794	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 157	157	1795	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 158	158	1796	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 159	159	1797	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 160	160	1798	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 161	161	1799	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 162	162	1800	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 163	163	1801	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 164	164	1802	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 165	165	1803	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 166	166	1804	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 167	167	1805	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 168	168	1806	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 169	169	1807	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 170	170	1808	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 171	171	1809	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 172	172	1810	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 173	173	1811	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 174	174	1812	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 175	175	1813	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 176	176	1814	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 177	177	1815	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 178	178	1816	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 179	179	1817	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 180	180	1818	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 181	181	1819	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 182	182	1820	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 183	183	1821	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 184	184	1822	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 185	185	1823	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 186	186	1824	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 187	187	1825	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	"> 23 Mar; by Order of HM, introduced British silver to WI"
L 188	188	1826	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 189	189	1827	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 190	190	1828	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 191	191	1829	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 192	192	1830	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 193	193	1831	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 194	194	1832	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 195	195	1833	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 196	196	1834	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 197	197	1835	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 198	198	1836	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 199	199	1837	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	1s Sterling = 1s 8d currency by convention made official by Act 15 Nov
L 200	200	1838	"BZD	1.00"			"£	0.33"	"£	0.21"		Chalmers		"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Chalmers	Sp. silver dollar set at 0.4.2 on 7 Sep for all WI; Martin 1839 Appendix I p 25
L 201	201	1839	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers	> 21 Jun; by Proclam of Super Int.; de facto $1 = 4s	"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Chalmers	
L 202	202	1840	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Chalmers	"> 31 Dec; by Act, Jamaica currency = Sterling"
L 203	203	1841	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 204	204	1842	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 205	205	1843	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 206	206	1844	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 207	207	1845	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 208	208	1846	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 209	209	1847	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 210	210	1848	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 211	211	1849	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 212	212	1850	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	Amt. of Sp. silver dollars greatly diminishes in Jam; Chalmers 1893 p 112
L 213	213	1851	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 214	214	1852	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 215	215	1853	"BZD	1.00"	"$	0.98"		"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 216	216	1854	"BZD	1.00"	"$	0.98"		"£	0.31"	"£	0.21"	50	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 217	217	1855	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers	Accts in Spanish silver dollars > 21 Feb	"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 218	218	1856	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 219	219	1857	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 220	220	1858	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 221	221	1859	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 222	222	1860	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 223	223	1861	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 224	224	1862	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 225	225	1863	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 226	226	1864	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 227	227	1865	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"BB 1865 142
Chalmers"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 228	228	1866	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 229	229	1867	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"BB 1867 172
Chalmers"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 230	230	1868	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"BB 1868 151
Chalmers"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 231	231	1869	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"BB 1869 135
Chalmers"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 232	232	1870	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"BB 1870 118
Chalmers"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 233	233	1871	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 234	234	1872	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 235	235	1873	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers	Panic of 1873; silver value plummets; US + Europe move to gold std	"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 236	236	1874	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 237	237	1875	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	
L 238	238	1876	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Chalmers	Sp. silver dollar demonetised by Act; Chalmers 1893 p 113
L 239	239	1877	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 240	240	1878	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 241	241	1879	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers	De jure Sp silver $ 5.125 = £ 1.0.0 Sterling								
L 242	242	1880	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 243	243	1881	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 244	244	1882	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 245	245	1883	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 246	246	1884	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 247	247	1885	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Chalmers									
L 248	248	1886	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"C.5071 p 182
Chalmers"									
L 249	249	1887	"BZD	1.00"		"BZD	1.00"		"£	0.15"	37	"BB 1887 V1
Chalmers"	Guatemala silver $ made std > 15 Sep; C.5897-1; BB 1893 p X1								
L 250	250	1888	"BZD	1.00"		"BZD	1.00"		"£	0.15"	37	"C.5897-1
Chalmers"									
L 251	251	1889	"BZD	1.00"		"BZD	1.00"		"£	0.14"	34	"C.6269
Chalmers"									
L 252	252	1890	"BZD	1.00"		"BZD	1.00"		"£	0.14"	34	"C.6563-3
Chalmers"									
L 253	253	1891	"BZD	6.49"		"BZD	6.49"		"£	1.00"	240	"BB 1891 X1
Chalmers"	Possibly = market rather than Treasury rate								
L 254	254	1892	"BZD	1.00"		"BZD	1.00"		"£	0.15"	36	"C.6857-44
Chalmers"									
L 255	255	1893	"BZD	1.00"		"BZD	1.00"		"£	0.14"	33	"C.7319-14
Chalmers"	"De facto rate $ 1 = 0.2.1 < Jul; 0.2.0 thereafter, per C.7944-14"								
L 256	256	1894		"$	4.86"	"BZD	4.86"		"£	1.00"	240		"US gold $ on 15 Oct; C.7944-14; Accts in US gold dollars, BB p X2; De facto Gua silver $ 1 = 0.2.0, per C.7944-14"								
L 257	257	1895		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 258	258	1896		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 259	259	1897		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 260	260	1898		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 261	261	1899		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 262	262	1900		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 263	263	1901		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 264	264	1902		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 265	265	1903		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 266	266	1904		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 267	267	1905		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 268	268	1906		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 269	269	1907		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 270	270	1908		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 271	271	1909		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 272	272	1910		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 273	273	1911		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 274	274	1912		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 275	275	1913		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 276	276	1914		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 277	277	1915		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 278	278	1916		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 279	279	1917		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 280	280	1918		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 281	281	1919		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 282	282	1920		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 283	283	1921		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 284	284	1922		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 285	285	1923		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 286	286	1924		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 287	287	1925		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 288	288	1926		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 289	289	1927		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 290	290	1928		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 291	291	1929		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 292	292	1930		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
L 293	293	1931		"$	4.86"	"BZD	4.86"					UK abandons gold std. > 21 Sep; Hon stays with US gold $								
L 294	294	1932		"$	4.86"	"BZD	4.86"													
L 295	295	1933		"$	4.86"	"BZD	4.86"													
L 296	296	1934		"$	4.86"	"BZD	4.86"													
L 297	297	1935		"$	4.86"	"BZD	4.86"													
L 298	298	1936		"$	4.86"	"BZD	4.86"													
L 299	299	1937		"$	4.86"	"BZD	4.86"													
L 300	300	1938		"$	4.86"	"BZD	4.86"													
L 301	301	1939		"$	4.86"	"BZD	4.86"													
L 302	302	1940		"$	4.86"	"BZD	4.86"													
L 303	303	1941		"$	4.86"	"BZD	4.86"													
L 304	304	1942		"$	4.86"	"BZD	4.86"													
L 305	305	1943		"$	4.86"	"BZD	4.86"													
L 306	306	1944		"$	4.86"	"BZD	4.86"													
L 307	307	1945		"$	4.86"	"BZD	4.86"													
L 308	308	1946		"$	4.86"	"BZD	4.86"													
L 309	309	1947		"$	4.86"	"BZD	4.86"													
L 310	310	1948		"$	4.86"	"BZD	4.86"													
L 311	311	1949		"$	4.86"	"BZD	4.86"				Col Rep 49	B$ 1 = US$ 1 < 31 Dec; thereafter B$ 4 = £ 1								
L 312	312	1950			"BZD	4.00"		"£	1.00"	240										
L 313	313	1951			"BZD	4.00"		"£	1.00"	240										
L 314	314	1952			"BZD	4.00"		"£	1.00"	240	Col Rep 52									
L 315	315	1953			"BZD	4.00"		"£	1.00"	240										
L 316	316	1954			"BZD	4.00"		"£	1.00"	240										
L 317	317	1955			"BZD	4.00"		"£	1.00"	240										
L 318	318	1956			"BZD	4.00"		"£	1.00"	240										
L 319	319	1957			"BZD	4.00"		"£	1.00"	240										
L 320	320	1958			"BZD	4.00"		"£	1.00"	240										
L 321	321	1959			"BZD	4.00"		"£	1.00"	240										
L 322	322	1960			"BZD	4.00"		"£	1.00"	240										
L 323	323	1961			"BZD	4.00"		"£	1.00"	240										
L 324	324	1962			"BZD	4.00"		"£	1.00"	240										
L 325	325	1963			"BZD	4.00"		"£	1.00"	240										
L 326	326	1964			"BZD	4.00"		"£	1.00"	240										
L 327	327	1965			"BZD	4.00"		"£	1.00"	240										
L 328	328	1966			"BZD	4.00"		"£	1.00"	240										
L 329	329	1967			"BZD	4.00"		"£	1.00"	240										
L 330	330	1968			"BZD	4.00"		"£	1.00"	240										
L 331	331	1969			"BZD	4.00"		"£	1.00"	240										
L 332	332	1970			"BZD	4.00"		"£	1.00"	240										
L 333	333	1971			"BZD	4.00"		"£	1.00"			UK decimalises Sterling > 14 Feb; US leaves gold std > 15 Aug								
L 334	334	1972			"BZD	4.00"		"£	1.00"											
L 335	335	1973			"BZD	4.00"		"£	1.00"											
L 336	336	1974			"BZD	4.00"		"£	1.00"											
L 337	337	1975			"BZD	4.00"		"£	1.00"											
L 338	338	1976			"BZD	4.00"		"£	1.00"											
L 339	339	1977			"BZD	4.00"		"£	1.00"											
L 340	340	1978		"$	0.50"	"BZD	1.00"													
L 341	341	1979		"$	0.50"	"BZD	1.00"													
L 342	342	1980		"$	0.50"	"BZD	1.00"													
L 343	343	1981		"$	0.50"	"BZD	1.00"													
L 344	344	1982		"$	0.50"	"BZD	1.00"													
L 345	345	1983		"$	0.50"	"BZD	1.00"													
L 346	346	1984		"$	0.50"	"BZD	1.00"													
L 347	347	1985		"$	0.50"	"BZD	1.00"													
L 348	348	1986		"$	0.50"	"BZD	1.00"													
L 349	349	1987		"$	0.50"	"BZD	1.00"													
L 350	350	1988		"$	0.50"	"BZD	1.00"													
L 351	351	1989		"$	0.50"	"BZD	1.00"													
L 352	352	1990		"$	0.50"	"BZD	1.00"													
L 353	353	1991		"$	0.50"	"BZD	1.00"													
L 354	354	1992		"$	0.50"	"BZD	1.00"													
L 355	355	1993		"$	0.50"	"BZD	1.00"													
L 356	356	1994		"$	0.50"	"BZD	1.00"													
L 357	357	1995		"$	0.50"	"BZD	1.00"													
L 358	358	1996		"$	0.50"	"BZD	1.00"													
L 359	359	1997		"$	0.50"	"BZD	1.00"													
L 360	360	1998		"$	0.50"	"BZD	1.00"													
L 361	361	1999		"$	0.50"	"BZD	1.00"													
L 362	362	2000		"$	0.50"	"BZD	1.00"													
L 363	363	2001		"$	0.50"	"BZD	1.00"													
L 364	364	2002		"$	0.50"	"BZD	1.00"													
L 365	365	2003		"$	0.50"	"BZD	1.00"													
L 366	366	2004		"$	0.50"	"BZD	1.00"													
L 367	367	2005		"$	0.50"	"BZD	1.00"													
L 368	368	2006		"$	0.50"	"BZD	1.00"													
L 369	369	2007		"$	0.50"	"BZD	1.00"													
L 370	370	2008		"$	0.50"	"BZD	1.00"													
L 371	371	2009		"$	0.50"	"BZD	1.00"													
L 372	372	2010		"$	0.50"	"BZD	1.00"													
L 373	373	2011		"$	0.50"	"BZD	1.00"													
L 374	374	2012		"$	0.50"	"BZD	1.00"													
L 375	375	2013		"$	0.50"	"BZD	1.00"													
L 376	376	2014		"$	0.50"	"BZD	1.00"													
L 377	377	2015		"$	0.50"	"BZD	1.00"													
L 378	378	2016		"$	0.50"	"BZD	1.00"													
L 379	379	2017		"$	0.50"	"BZD	1.00"													
L 380	380	2018		"$	0.50"	"BZD	1.00"													
L 381	381	2019		"$	0.50"	"BZD	1.00"													
L 382	382	2020		"$	0.50"	"BZD	1.00"													
