Table 1
	t Eng	Qs	Cf	t King	Qs	Cf	t Bos	Qs	Cf	t NYC	Qs	Cf
1778	"2,264.25"	4.0	Cust 3/78									
1779	"4,403.45"	4.0	Cust 3/79									
1780	"4,296.05"	4.0	Cust 3/80									
1781	"3,056.68"	4.0	Cust 17/7									
1782	"1,440.60"	4.0	Cust 17/7									
1783	"1,140.45"	4.0	Cust 17/8									
1784	"2,323.39"	4.0	Cust 17/8									
1785	"11,683.07"	4.0	Cust 17/9									
1786	"15,471.54"	4.0	Cust 17/9									
1787	"8,795.04"	4.0	Cust 17/10									
1788	"6,333.87"	4.0	Cust 17/10									
1789	"7,346.07"	4.0	Cust 17/11									
1790	"6,015.12"	4.0	Cust 17/12									
1791												
1792												
1793												
1794												
1795												
1796												
1797												
1798												
1799												
1800												
1801												
1802												
1803												
1804												
1805												
1806												
1807												
1808												
1809												
1810												
