Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 144	144	1	P	Jefferys	xxx		1	vols	"The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c."				London	UK	1775									"Book: https://link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2799~310048:The-Bay-of-Honduras--By-Thos--Jeffr# 
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~1924~120030:Bay-of-Honduras-?qvq=w4s:/when%2F1776;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1
Map of Rat: https://www.davidrumsey.com/luna/servlet/workspace/handleMediaPlayer?qvq=w4s%253A%252Fwhen%252F1775%253Bq%253A%253D%2522Honduras%2522%253Blc%253ARUMSEY%257E8%257E1&trs=3&mi=2&lunaMediaId=RUMSEY~8~1~2809~310058"	
S 145	145	1	P	Johnson	1629	1724	2	vols	A General History of the Robberies and Murders of the most notorious Pyrates				London	UK	1724	1724							Capt Charles Johnson alias Daniel Defoe?	"Gale/ECCO: https://link.gale.com/apps/doc/CW0103162468/ECCO?u=camb55135&sid=ECCO&xid=c44a58e0
Gutenberg: http://www.gutenberg.org/files/40580/40580-h/40580-h.htm "	
S 148	148	1	P	Jones 3	1654	1656	1	vols	"Anthropology and History in Yucatán, cap 2, The Francisco Pérez Probanza and the Matrícula of Tipu"				Austin	USA	1977							Jones 1	Edited by Grant D. Jones	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03643	
S 151	151	1	P	Kemble	1775	1781	2	vols	The Kemble papers				New York	USA	1884	1885							Could not locate vol 1	Google v2: https://www.google.com/books/edition/Journals_of_Kemble_brigadier_general_in/0LwTAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 152	152	1	P	Kernkamp	xxx		1	vols	"Bijdragen en mededelingen van het Historisch Genootschap, v 29, Zweedsche archivalia uitgegeven door G. W. Kernkamp"				Amsterdam	Netherlands	1908							Goslinga		https://www.dbnl.org/tekst/_bij005190801_01/_bij005190801_01_0005.php	
S 153	153	1	P	Knight	xxx		1	vols	"The state of the island of Jamaica. Chiefly in relation to its commerce, and the conduct of the Spaniards in the West-Indies. Address'd to a member of Parliament. By a person who resided several years at Jamaica"				London	UK	1726								Printed for H. Whitridge	https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf	
S 		1	P	"Knight, History"	xxx		1	vols	"The Natural, Moral, and Political History of Jamaica, and the Territories thereon Depending: From the First Discovery of the Island by Christopher Columbus to the Year 1746"				xxx		xxx		J. Knight						Modern edition by U of Virg. Press Link: https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1hhj104	xxx	
S 154	154	1	P	Kon Bib PK d	1486	1853	30000	items	Pamphlets	Koninklijke Bibliotheek	Hague	Netherlands										Goslinga	Kon Bib Catalogue Link: https://www.kb.nl/en/resources-research-guides/kb-collections/early-printed-books-until-1801/pamphlets		
S 157	157	1	P	Labat	xxx		6	vols	Nouveau voyage aux isles de l'Amérique				Paris	France	1722	1722						Gallica	1742 edition in 8 vols available at Gallica	"Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0100566201/MOME?u=camb55135&sid=MOME&xid=46a2a40e
Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9800377b"	
S 158	158	1	P	Laet a	1624	1636	1	vols	"Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"				Leiden	Netherlands	1644							Goslinga	"Laet/Naber = version edited by S. P. l'Honoré Naber = Iaerlyck verhael van de verrichtinghen der Geoctroyeerde West-Indische compagnie [Hague, Mart. Nijhoff, 1931–37], 4 vols

Laet port = Portuguese translation by Drs. Jose Hygino Duarte Pereira and Pedro Souto Maior = Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636 [Rio de Janeiro, Officinas graphicas da Bibliotheca nacional, 1916-1925], 2 vols"	"http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/historie-ofte-iaerlĳck-verhael-van-de/docview/2090303526/se-2?accountid=11311

Portuguese translation: https://hdl.handle.net/2027/mdp.39015077856105

Laet/Naber, v 4: https://resolver.kb.nl/resolve?urn=MMKB21:043711000
"	
S 159	159	1	P	Laet a	xxx		1	vols	"Nieuwe Wereldt ofte Beschrijvinghe van West-Indien, uit veelerhande Schriften ende Aen-teekeningen van verscheyden Natien"				Leiden	Netherlands	1625									"https://link.gale.com/apps/doc/U0100111972/MOME?u=camb55135&sid=MOME&xid=0893590d
Latin translation: file:///Users/angelnavidad/Downloads/Novus_orbis,_seu_descriptio_In.pdf
Spanish translation: https://hdl.handle.net/2027/txu.059173017954270"	
S 162	162	1	P	Lara	xxx		xxx		"Museo Yucateco, Manuscritos inéditos anónimos"				Campeche	Mexico	1841	1842							"Attributed to friar José Nicolás de Lara
Copies in Biblioteca Yucatense, Mérida Mexico /v A. Taracena Arriola Link: http://www.scielo.org.mx/pdf/peni/v2n1/v2n1a1.pdf"	xxx	
S 164	164	1	MS	Laws 1765–1810	1765	1810	1	vols	"Laws of Honduras, 1806–1810"	Archives and Records Service	Belmopan	Belize										Burdon 1		http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00056 	
S 165	165	1	P	Laws 1857	1765	1857	1	vols	The laws of the settlement of British Honduras in force in the twentieth year of the reign of Her Majesty Queen Victoria				Belize	Belize	1857							Burdon 1			
S 166	166	1	P	Laws 1881	xxx	1881	1	vols	Laws of British Honduras in force on 31 Dec. 1881				xxx		1882							Bolland 75 269			
S 		1	MS	Leg Co y	1871	1887	17	vols	Minutes of Legislative Council	Archives and Records Service	Belmopan	Belize										Burdon 3 369			
S 168	168	1	MS	Lib Jam MS d	1655	2017	2521	mss	Manuscript and Archive Collection	National Library of Jamaica	Kingston	Jamaica										Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 		
S 169	169	1	MS	LM a	1830	1849	4	vols	Legislative Assembly	Archives and Records Service	Belmopan	Belize										Burdon 2	"d = A, B, C, D"		
S 170	170	1	P	Lon 24	1814	1824	1	vols	"The defence, &c. &c."				London	UK	1824							Gale / Slavery and Anti-Slavery	"= Defence of the settlers of Honduras, Printed by A. J. Valpy"	https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f	
S 171	171	1	P	Lon 29	1725	1729	1	vols	Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad				London	UK	1729							Gale / Sabin Americana	Printed and sold by J. Roberts	https://link.gale.com/apps/doc/U0100653813/MOME?u=camb55135&sid=MOME&xid=1322953b	
S 172	172	1	P	Lon 32	xxx		1	vols	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy"				London	UK	1725							Gale / Sabin Americana	"Printed for Edward Midwinter, at the Looking-Glass on London-Bridge"	https://link.gale.com/apps/doc/CB0129383093/ECCO?u=camb55135&sid=ECCO&xid=9f5c40df	
S 173	173	1	P	Lon 43	xxx		1	vols	"Certaine inducements to well minded people, who are heere straitned in their estates or otherwise or such as are willing out of noble and pub[l]ique principles, to tran[s]port themselves, or servants, or agents for them into the West-Indies, for the propagating the Gospell, and increase of trade."				London	UK	1643							ProQuest / Early English Books Online		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/certaine-inducements-well-minded-people-who-are/docview/2248561152/se-2?accountid=11311	
S 174	174	1	P	Lon 62	xxx		3	vols	"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ..."				London	UK	1762	1762						Gale / Sabin Americana	Printed for A. Millar [etc.]	"Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0103933433/SABN?u=camb55135&sid=SABN&xid=1c2f0c88
Gale/Sabin Americana v2: https://link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b 
Gale/Sabin Americana v3: https://link.gale.com/apps/doc/CY0103934111/SABN?u=camb55135&sid=SABN&xid=0aef762d"	
S 175	175	1	P	Lon 79	1763	1779	1	vols	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ..."				London	UK	1779							Gale / Sabin Americana	Printed for T. Cadell	https://link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb	
S 176	176	1	P	Lon 90 Narrative	1790	1790	1	vols	"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790"				London	UK	1790							Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c	
S 177	177	1	S	Lon G	1665	2021	xxx		London Gazette				London	UK	xxx								"Titles = The Oxford Gazette / The London Gazette
Published in Oxford 1665–xxx"		
S 		1	P	Long	xxx		1	vols	History of Jamaica				London	UK	1774									xxx	
S 178	178	1	P	Lopez	xxx		2	vols	Geografía y descripción universal de las Indias				Madrid	Spain	1894	1894								"Google v 1: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/inYoAQAAIAAJ?hl=en 
Google v 2: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/SzxCAAAAIAAJ?hl=en"	
S 180	180	1	P	MacSparran	xxx		1	vols	"America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ..."				Dublin	Ireland	1753								Printed and sold by S. Powell	https://link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340	
S 187	187	1	P	Maya R	1621	1624	1	vols	"Maya Research, vol 3, Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624"				New York	USA	xxx							Jones 1	"Also available as Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624 [Culver City, Calif. : Labyrinthos, 1991]"		
S 194	194	1	MS	"MEXICO,a"	1519	1856	3196	legajos	Audiencia de México	Archivo General de Indias	Seville	Spain										PARES			
S 195	195	1	MS	ML a	1791	1812	4	vols	Magistrates’ Letters	Archives and Records Service	Belmopan	Belize										Burdon 1	"d = A, B, C, D"		
S 196	196	1	MS	MM a	1793	1844	13	vols	Magistrates’ Meetings	Archives and Records Service	Belmopan	Belize										Burdon 2	"d = A1, A2, A3, B, C, D, E, F, G, H, I, J, K"		
S 		1	P	Moloney 1	xxx		1	vols	"Crown Governmetn in British Honduras, or a letter to the Secretary of State for the Colonies respectign the Treatment of a Subordinate officer in the Government employ"				xxx		1892		A. Moloney					Burdon 3		xxx	
S 		1	P	Moloney 2	xxx		1	vols	Reminiscences of my Work and Wanderings in British Honduras				xxx		1902		A. Moloney					Burdon 3		xxx	
S 		1	P	Morrell	xxx		1	vols	Flowers and Fruits form the Wilderness; or Thirty-six years in Texas and two Winters in Honduras				xxx		1872		E. Z. N. Morrell							xxx	
S 		1	P	Morris	xxx		1	vols	The Colony of British Honduras. Its resources and prospects. With particular reference to its Indigenous Plants and Economic Productions				xxx		1883		D. Morris					Burdon 3		xxx	
S 198	198	1	MS	"MP-GUATEMALA,d"	1571	1892	418	items	"Mapas, planos, dibujos, etc.: Guatemala"	Archivo General de Indias	Seville	Spain										PARES			
S 199	199	1	MS	"MP-MEXICO,d"	1519	1823	947	items	"Mapas, planos, dibujos, etc.: México"	Archivo General de Indias	Seville	Spain										PARES			
S 200	200	1	MS	"MPD, d"	1503	1962	7816	items	"Mapas, planos y dibujos"	Archivo General de Simancas	Valladolid	Spain										AGS Guía del Investigador			
S 201	201	1	MS	MSR	1771	1787	xxx	vols	Mosquito Shore Records	Archives and Records Service	Belmopan	Belize										Burdon 1			
S 202	202	1	MS	"Mus Nav, Col Nav, d"	1492	1773	32	vols	Colección Navarrete	Museo Naval	Madrid	Spain										D. Higueras Rodriguez Link: https://armada.defensa.gob.es/archivo/mardigitalrevistas/cuadernosihcn/24cuaderno/04cap.pdf 	"Some volumes or items possibly deposited in Archivo General de la Marina ""Álvaro de Bazán,” Ciudad Real, Spain /Higueras Rodriguez p35"		
S 203	203	1	P	Naber/Wright	xxx		1	vols	Piet Heyn en de Zilvervloot				Utrecht	Netherlands	1928							Goslinga	Edited by S. P. l'Honoré Naber and Irene A. Wright		
S 		1	P	Naut Mag d	1832	1876	46	vols	Nautical Magazine				Cambridge	UK	1832	xxx								xxx	
S 204	204	1	P	NDAR	1774	1778	13	vols	Naval Documents of the American Revolution				Washington	USA	1964	2019								https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
S 214	214	1	P	Ogilby	xxx		1	vols	"America, being the latest and most accurate description of the Nevv VVorld"				London	UK	1671								See 1657 Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~295183~90066270:Audience-de-Mexico?qvq=w4s:/when%2F1657;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1	"Book: http://www.gutenberg.org/files/59745/59745-h/59745-h.htm
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~292937~90066940:Yucatan-et-Guatimala-?qvq=w4s:/when%2F1671;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=2"	
S 215	215	1	MS	"Old WIC, 1.05.01.01, d"	1621	1711	99	items	"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"	Nationaal Archief	Hague	Netherlands										NA Hague Inventories	"“Inventarisnummers” rendered as “items”
NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives "		
S 216	216	1	P	Oviedo	xxx		4	vols	"Historia general y natural de las Indias, islas y tierra-firme del mar océano"				Madrid	Spain	1851	1855							"First vol published 1535 in Seville / intended as 3 vols
First full publication 1851–1855 in Madrid by RAH / in 4 vols"	"v 1: http://www.cervantesvirtual.com/nd/ark:/59851/bmc668b5
v 2: http://www.cervantesvirtual.com/nd/ark:/59851/bmc2f7m2
v 3: http://www.cervantesvirtual.com/nd/ark:/59851/bmcsb4c5
v 4: http://www.cervantesvirtual.com/nd/ark:/59851/bmcc53h5"	
S 218	218	1	P	Pargellis	xxx		1	vols	"William and Mary Quarterly, 3 series, vol 1, Daniel Ellffryth's Guide to the Caribbean, 1631"				Williamsburg	USA	1944								Edited by Stanley Pargellis and Ruth Lapham Butler	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923731	
S 219	219	1	MS	"PATRONATO,a"	1480	1801	307	legajos	Patronato Real	Archivo General de Indias	Seville	Spain										PARES			
S 220	220	1	MS	PCR	1789	1798	1	vols	Police Court Records and Magistrates' Meetings	Archives and Records Service	Belmopan	Belize										Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"		
S 223	223	1	P	"Perez, Documentos"	xxx		1	vols	Documentos sobre Belice o Balice				Mexico	Mexico	1958								Edited by Gustavo A. Pérez Trejo		
S 224	224	1	P	"Perez, Pagina"	xxx		1	vols	"Boletín Bibliográfico de la Secretaría de Hacienda y Crédito Público, nos. 394—5, Una página histórica sobre Belice "				Mexico	Mexico	1968							Gerhard 75	By Gustavo A. Pérez Trejo		
S 225	225	1	P	Philalethes	xxx		1	vols	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author"				London	UK	1742								"Printed for T. Cooper, ..."	https://link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5	
S 226	226	1	MS	PR a	1774	1849	23	vols	Private Records	Archives and Records Service	Belmopan	Belize										Burdon 1	"Where PR 1 = typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291, and so counted as 8 vols
d = 1, E, H, M, N, O, XY, 2, 3, Y, Z, AA, BB, DD, EE, FF"		
S 		1	MS	Pub Affairs	1881	1881	1	vols	Administration of Public Affairs	xxx												Burdon 3 371	Property of M. S. Metzgen during Burdon Historical Committee /Burdon 3 371		
S 228	228	1	MS	R d	1805	1892	139	vols	Letters and Despatches	Archives and Records Service	Belmopan	Belize										Burdon 2	"Inc Mr. Miller’s Mission, Records 11 /Burdon 2 / Inc Proceedings of Public Meeting, Records 20 /Burdon 2
d = 1, 2, 3, 4A, 4B, 4C, 4D, 5A, 5B, 6A, 6B, 6C, 6D, 6E, 10, 7, 8A, 8B, 8C, 8D, 9A, 9B, 11, 12, 13, 14A, 14B, 15, 16, 17, 18, 20, 19, 33, 21A, 21B, 21C, 22A, 22B, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32A, 32B, 34, 35, 36, 47, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 75, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 119A, 119B, 113, 114, 115, 116, 120A, 120B, 117, 118"		
S 231	231	1	MS	Rawl MSS A. d	xxx		xxx	mss	"Rawlinson Manuscripts, Series A: English History, 12th-18th century"	Bodleian Library	Oxford	UK										Bod Lib Catalogue	Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 		
S 232	232	1	P	RDPY	1520	1844	1	vols	Relación documental para la historia de la provincia de Yucatán				Merida	Mexico	1992								By Sergio Quezada		
S 233	233	1	MS	"Real Acad Hist, Col Muñoz, a"	xxx		76	vols	"Manuscritos, Juan Bautista Muñoz"	Real Academia de la Historia	Madrid	Spain										RAH Catalogue	"Signatura 9/4779-4856
RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ "		
S 		1	P	Roberts	1816	1822	1	vols	Narrative of voyages and excursions on the East coast and in the interior of Central America ...				Edinburgh	UK	1827		O. W. Roberts							xxx	
S 		1	P	Rockefeller F			1	vols	Rockefeller Foundation Annual Report 1922				xxx		1922									xxx	
S 240	240	1	P	Roteta	1655	1694	1	vols	Forma de asegurar los puertos y poblaciones de todas las costas de las Indias				Madrid	Spain	1694									https://www.wdl.org/en/item/4393/	
S 245	245	1	P	"Sanchez, Rel"	1641	1642	1	vols	"Relacion del suceso que tuvo Francisco Diaz Pimienta, general de la real armada de las Indias, en la isla de Santa Catalina"				Madrid	Spain	1642										
S 246	246	1	MS	"SANTA_FE,a"	1527	1831	1263	legajos	Audiencia de Santa Fe	Archivo General de Indias	Seville	Spain										PARES			
S 247	247	1	MS	SC d	1817	1850	4	vols	Summary Courts	Archives and Records Service	Belmopan	Belize										Burdon 2	"d = 1, 2, 3, 4"		
S 		1	A	Schmitt	xxx		1	items	Caribbean cyclone activity: an annually-resolved Common Era record				London	UK	2020		"D. Schmitt, E. Gischler, F. S. Anselmetti, H. Vogel"		Scientific Reports	10				https://doi.org/10.1038/s41598-020-68633-8 	
S 249	249	1	P	Sloane	xxx		2	vols	"A voyage to the islands Madera, Barbados, Nieves, S. Christophers and Jamaica, : with the natural history of the Herbs and Trees, Four-Footed Beasts, Fishes, Birds, Insects, Reptiles, &c. of the last of those islands; to which is prefix'd an introduction, wherein is an account of the inhabitants, air, waters, diseases, trade, &c. of that Place, with some Relations concerning the Neighbouring Continent, and Islands of America. Illustrated with the figures of the things describ'd, which have not been heretofore engraved; In large Copper-Plates as big as the Life."				London	UK	1707	xxx								"v 1: https://link.gale.com/apps/doc/CW0101368735/ECCO?u=camb55135&sid=ECCO&xid=46a5e1e9&pg=1
v 2: https://link.gale.com/apps/doc/CW0101369488/ECCO?u=camb55135&sid=ECCO&xid=35d52638&pg=1"	
S 250	250	1	MS	Sloane MS	1	1964	3885	mss	Sloane Manuscripts	British Library	London	UK										BL Catalogue			
S 251	251	1	MS	Somerset DD/WHh/d	1201	2000	59	boxes	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	Somerset Heritage Centre	Taunton	UK										Somerset Archive Catalogue	Link: https://somerset-cat.swheritage.org.uk/records/DD/WHh 		
S 254	254	1	MS	SP d/d	1231	1888	127	series	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"	National Archives	Kew	UK										TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3		
S 255	255	1	P	Spain CU	xxx		22	vols	Cartografía y relaciones históricas de Ultramar				Madrid	Spain	1949	1999						Finamore 81	"By Sevicio Geográfico e Historico del Ejercito
Titles = Cartografía de Ultramar
See maps 1753, 1764, 1780 Link: http://www.stgeorgescayebelize.org/evolution-of-name.html "	xxx	
S 256	256	1	P	Speer	xxx		1	vols	West-India Pilot				London	UK	1771							Finamore 211	"By Joseph Smith Speer, printer S. Hooper"	xxx	
S 258	258	1	P	"Squier, Waikna"	xxx		1	vols	"Waikna, or, Adventures on the Mosquito shore"				London	UK	1855							Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517	
S 259	259	1	MS	"States-General, 1.01.02, d"	1431	1796	17734	items	"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"	Nationaal Archief	Hague	Netherlands										NA Hague Inventories			
S 260	260	1	P	Statutes R	1101	1714	11	vols	Statutes of the Realm						1810	1828						Gale / Making of the Modern World	No place of publication given / edited by John Raithby	Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0107812236/MOME?u=camb55135&sid=MOME&xid=98d14cfb	
S 261	261	1	P	Stephens	xxx		2	vols	"Incidents of travel in Central America, Chiapas, and Yucatan"				London	UK	1841	1841								"Google v1: https://www.google.com/books/edition/Incidents_of_Travel_in_Central_America_C/4y8TAAAAYAAJ?hl=en
Google v2: https://www.google.com/books/edition/_/Pu0MAAAAIAAJ?hl=en&sa=X&ved=2ahUKEwiUoq-n-rvwAhVlUN8KHbXYASEQ8fIDegQIARAD"	
S 263	263	1	MS	Sup Ct a	1820	1859	6	vols	Supreme Court	Archives and Records Service	Belmopan	Belize										Burdon 2	"Inc Summary Courts in some vols /Burdon 2
d = A, B, C, D, E, F"		
S 264	264	1	P	Terte	xxx		2	vols	Histoire generale des Antilles habitées par les François				Paris	France	1667	1667								"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9801339z
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k98223993"	
S 266	266	1	P	"Thompson, Maya"	xxx		1	vols	The Maya of Belize				Belize	Belize	1972							Jones 1	By John Eric Sydney Thompson / 1972 edition printed by Benex Press / later editions available	file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/the_maya_of_belize_hq.pdf	
S 269	269	1	P	Tovilla	xxx		1	vols	"Relaciones histórico-descriptivas de la Verapaz, el Manché y Lacandón en Guatemala"				Guatemala	Guatemala	1960							Jones 2 p49	Edited by France V. Scholes y Eleanor B. Adams	file:///Users/angelnavidad/Downloads/tovilla.pdf	
S 270	270	1	MS	"U Tex Lib, G19-d"	1500	1920	xxx		Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA										"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "	https://www.lib.utexas.edu/about/locations/benson		
S 272	272	1	P	Uring	xxx		1	vols	"A history of the voyages and travels of Capt. Nathaniel Uring. With new draughts of the Bay of Honduras and the Caribbee Islands; and particularly of St. Lucia, and the harbour of Petite Carenage; into which ships may run in bad weather, and be safe from all winds and storms. Very useful for masters of ships that use the Leeward Island trade, or Jamaica."				London	UK	1726									"Gale/ECCO: https://link.gale.com/apps/doc/CW0100827679/ECCO?u=camb55135&sid=ECCO&xid=93c13f09
Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02BAC83A1C10&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340"	
S 275	275	1	P	US State 1856	xxx		1	vols	Documents relative to Central American affairs and the enlistment question				Washington	USA	1856							Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa	
S 276	276	1	P	Veitia Linage	xxx		2	vols	Norte de la contratacion de las Indias Occidentales				Seville	Spain	1672	1672						Lang	By Joseph de Veitia Linage	https://link.gale.com/apps/doc/U0100219950/MOME?u=camb55135&sid=MOME&xid=40f105e8	
S 277	277	1	P	Verus	xxx		1	vols	Letters lately published in The diary on the subject of the present dispute with Spain				London	UK	1790								Printed for G. Kearsley ...	https://link.gale.com/apps/doc/CW0104376499/ECCO?u=camb55135&sid=ECCO&xid=1dd17635	
S 281	281	1	P	Villagutierre Sotomayor	xxx		1	vols	"Historia de la conquista de la provincia de El Itza, reduccion, y progressos de la de El Lacandon, y otras naciones de indios Barbaros, de la mediacion de el reyno de Guatimala, a las provincias de Yucatan, en la America septentrional"				Madrid	Spain	1701										
S 283	283	1	P	Wassenaer	xxx		21	vols	"Historisch verhael alder ghedenck-weerdichste geschiedenisse, die hier en daer in Europa, als in Duijtsch-lant, Vranckrijck, Enghelant, Spaengien, Hungarijen, Polen, Sevenberghen, Wallachien, Moldavien, Turckijen en Neder-lant, van den beginne des jaers 1621 ..."				Amsterdam	Netherlands	1622	1635						Goslinga			
S 285	285	1	MS	Westminster d	1066	1900	xxx		Muniments of Westminster Abbey	Westminster Abbey	London	UK										Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "		
S 286	286	1	P	White 1 Hon	xxx		1	vols	"The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain"				London	UK	1789									https://link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710	
