Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 39	39	1	P	Bristow Rep	xxx		1	vols	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War				Washington	USA	1905							Gale / World Scholar		https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227# 	
S 41	41	1	P	BTPJ	1704	1782	14	vols	"Board of Trade and Plantations, Journal"				London	UK	1920	1938								https://www.british-history.ac.uk/search/series/jrnl-trade-plantations	
S 43	43	1	P	Burdon d	1587	1884	3	vols	Archives of British Honduras				London	UK	1931	1935								"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf
Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf
Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	
S 44	44	1	P	Burke	xxx		2	vols	An Account of the European Settlements in America				London	UK	1757	1757							Printed for R. and J. Dodsley ...	"HathiTrust v1: https://hdl.handle.net/2027/nnc2.ark:/13960/t51g2s09x
HathiTrust v2: https://hdl.handle.net/2027/nnc2.ark:/13960/t5q83cw18"	
S 		1	P	Bury	xxx		1	vols	A Bishop amongst Bananas				xxx		1911		H. Bury							xxx	
S 45	45	1	MS	C 110/152	1681	1812	1	series	Commercial correspondence and accounts	National Archives	Kew	UK											Particularly Brailsford v Peers records [1681–94]		
S 		1	P	Cain	1931	1931	1	vols	"Cyclone : being an illustrated official record of the hurricane and tidal wave which destroyed the city of Belize (British Honduras) on the colony's birthday, 10th September 1931"				London	UK	1933		E. E. Cain					Burdon 3		xxx	
S 48	48	1	P	Cardenas	1526	1639	1	vols	"Relación historial eclesiástica de la provincia de Yucatán de la Nueva España, escrita el año de 1639"				Mexico	Mexico	1937							Jones 1	= BL Egerton MS 1791		
S 50	50	1	P	Castell	xxx		1	vols	"A short discoverie of the coasts and continent of America, from the equinoctiall northward, and the adjacent isles"				London	UK	1644							Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/short-discoverie-coasts-continent-america/docview/2240968812/se-2?accountid=11311	
S 51	51	1	P	Castillo	xxx		1	vols	Historia verdadera de la conquista de la Nueva España				Madrid	Spain	1632								"Abridged, translated version by D. Carrasco, The History of the Conquest of New Spain, Albuquerque 2008, Link: file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf"	http://bdh.bne.es/bnesearch/detalle/bdh0000012937 	
