Table 1
19 Mar 50	Link	"New-York Gazette, or Weekly Post-Boy (374)"	
21 May 50	Link	New-York Evening Post (261)	
23 Jul 50	Link	Boston Evening-Post (780)	
23 Jul 50	Link	Boston Post-Boy (815)	
24 Jul 50	Link	Boston Gazette (1584)	
18 Sep 50	Link	Boston Gazette (1592)	
22 Oct 50	Link	Boston Evening-Post (793)	
29 Oct 50	Link	Boston Post-Boy (828)	
30 Oct 50	Link	Boston Gazette (1598)	
02 Nov 50	Link	Boston News-Letter (2529)	
13 Dec 50	Link	Boston News-Letter (2535)	
17 Dec 50	Link	Boston Post-Boy (834)	
17 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (413)"	
31 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (415)"	
31 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (415)"	
03 Jan 51	Link	Boston News-Letter (5373)	
07 Jan 51	Link	Boston Post-Boy (837)	
28 Jan 51	Link	"New-York Gazette, or Weekly Post-Boy (419)"	
11 Feb 51	Link	"New-York Gazette, or Weekly Post-Boy (421)"	
11 Feb 51	Link	"New-York Gazette, or Weekly Post-Boy (421)"	
08 Apr 51	Link	Boston Post-Boy (851)	
09 Apr 51	Link	Boston Gazette (1621)	
03 Jun 51	Link	Boston Post-Boy (858)	
29 Jul 51	Link	Boston Post-Boy (866)	
30 Jul 51	Link	Boston Gazette (1637)	
19 Aug 51	Link	Boston Evening-Post (835)	
19 Aug 51	Link	Boston Post-Boy (869)	
20 Aug 51	Link	Boston Gazette (1640)	
22 Aug 51	Link	Boston News-Letter (2565)	
10 Sep 51	Link	Boston Gazette (1643)	
21 Oct 51	Link	New-York Evening Post (235)	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	New-York Evening Post (235)	
31 Dec 51	Link	Boston Gazette (1659)	
18 Feb 52	Link	Boston Gazette (1666)	
09 Mar 52	Link	"New-York Gazette, or Weekly Post-Boy (477)"	
09 Mar 52	Link	"New-York Gazette, or Weekly Post-Boy (477)"	
18 Apr 52	Link	Z2000139186	
04 May 52	Link	"New-York Gazette, or Weekly Post-Boy (485)"	
04 May 52	Link	"New-York Gazette, or Weekly Post-Boy (485)"	
11 May 52	Link	Boston Post-Boy (907)	
10 Aug 52	Link	Boston Evening-Post (886)	
25 Sep 52	Link	Boston Post-Boy (925)	
26 Sep 52	Link	Boston Gazette (1696)	
02 Oct 52	Link	Boston Evening-Post (892)	
02 Oct 52	Link	Boston Post-Boy (926)	
05 Oct 52	Link	Boston News-Letter (2622)	
09 Oct 52	Link	New-York Evening Post (286)	
09 Oct 52	Link	New-York Evening Post (286)	
27 Nov 52	Link	Boston Post-Boy (934)	
27 Nov 52	Link	New-York Mercury (16)	
30 Nov 52	Link	Boston News-Letter (2630)	
25 Dec 52	Link	New-York Mercury (20)	
22 Jan 53	Link	Boston Evening-Post (908)	
06 Mar 53	Link	Boston Gazette (10)	
22 Mar 53	Link	Boston News-Letter (2646)	
02 Apr 53	Link	Boston Post-Boy (952)	
03 Apr 53	Link	Boston Gazette (14)	
05 Apr 53	Link	Boston News-Letter (2648)	
16 Apr 53	Link	Boston Post-Boy (954)	
17 Apr 53	Link	Boston Gazette (16)	
20 Apr 53	Link	Boston News-Letter (2650)	
11 Jun 53	Link	New-York Mercury (44)	
18 Jun 53	Link	Boston Evening-Post (929)	
12 Jul 53	Link	Boston News-Letter (2662)	
06 Aug 53	Link	Boston Post-Boy (970)	
07 Aug 53	Link	Boston Gazette (32)	
09 Aug 53	Link	Boston News-Letter (2666)	
07 Jan 54	Link	Boston Evening-Post (958)	
07 Jan 54	Link	Boston Post-Boy (983)	
22 Jan 54	Link	Boston Gazette (56)	
04 Mar 54	Link	New-York Mercury (82)	
21 Mar 54	Link	Boston News-Letter (2698)	
25 Mar 54	Link	Boston Post-Boy (992)	
27 Jun 54	Link	Boston News-Letter (2712)	
15 Jul 54	Link	Boston Post-Boy (1008)	
