Series F 0—170 / Public Finances.
ID	NO	YR	REV	EXP	LOAN EXP	DEBT	CF	NOTE	REV	EXP	LOAN EXP	DEBT	CF	NOTE	
F 72	72	1872	"£	38,720"	"£	29,350"		"£	22,321"	C.2093								
F 73	73	1873	"£	51,946"	"£	34,407"		"£	15,591"	C.2093								
F 74	74	1874	"£	43,723"	"£	40,063"		"£	15,391"	C.2093								
F 75	75	1875	"£	41,906"	"£	40,839"		"£	13,062"	C.2093		"BZD	209,531"	"BZD	204,197"		"BZD	65,312"	C.6160	"Rev, Exp exc loans raised and repaid"	
F 76	76	1876	"£	40,231"	"£	36,615"		"£	5,041"	C.2093		"BZD	213,193"	"BZD	194,035"		"BZD	26,711"	C.6160		
F 77	77	1877							"BZD	220,387"	"BZD	211,595"		"BZD	26,711"	C.6160		
F 78	78	1878							"BZD	204,836"	"BZD	259,314"		"BZD	22,893"	C.6160		
F 79	79	1879							"BZD	204,650"	"BZD	257,305"		"BZD	5,636"	C.6160		
F 80	80	1880							"BZD	219,423"	"BZD	312,770"		"BZD	0"	"C.6160
C.3094 p 39"		
F 81	81	1881							"BZD	221,492"	"BZD	206,623"		"BZD	0"	"C.6160
C.3388 p 61"		
F 82	82	1882							"BZD	235,411"	"BZD	225,847"			C.6160		
F 83	83	1883							"BZD	259,417"	"BZD	199,598"		"BZD	0"	"C.6160
C.4193"		
F 84	84	1884							"BZD	257,373"	"BZD	265,899"			C.6160		
F 85	85	1885							"BZD	261,227"	"BZD	316,175"	"BZD	61,162"		"C.6160
Cd.307"		
F 86	86	1886							"BZD	271,810"	"BZD	312,775"		"BZD	55,749"	"C.6160
Cd.307"		
F 87	87	1887							"BZD	280,142"	"BZD	294,295"		"BZD	55,749"	"C.6160
Cd.307"		
F 88	88	1888							"BZD	381,118"	"BZD	364,266"	"BZD	62,234"	"BZD	146,996"	"C.6160
Cd.307"		
F 89	89	1889							"BZD	442,537"	"BZD	381,162"	"BZD	11,212"	"BZD	146,996"	"C.6160
Cd.307"		
F 90	90	1890							"BZD	332,134"	"BZD	293,507"	"BZD	50,945"	"BZD	114,130"	Cd.307		
F 91	91	1891							"BZD	478,252"	"BZD	412,170"	"BZD	53,572"	"BZD	154,780"	Cd.307		
F 92	92	1892							"BZD	392,197"	"BZD	386,391"	"BZD	46,403"	"BZD	143,974"	Cd.307		
F 93	93	1893							"BZD	313,191"	"BZD	379,155"	"BZD	30,269"	"BZD	272,758"	Cd.307		
F 94	94	1894							"BZD	174,741"	"BZD	206,043"	"BZD	10,641"	"BZD	158,845"	Cd.307		
F 95	95	1895							"BZD	224,398"	"BZD	258,540"	"BZD	9,589"	"BZD	158,845"	Cd.307		
F 96	96	1896							"BZD	294,218"	"BZD	253,414"	"BZD	521"	"BZD	158,845"	Cd.307		
F 97	97	1897							"BZD	295,471"	"BZD	300,515"	"BZD	3,398"	"BZD	158,845"	Cd.307		
F 98	98	1898							"BZD	258,710"	"BZD	283,876"		"BZD	158,995"	Cd.7165		
F 99	99	1899							"BZD	235,888"	"BZD	247,144"		"BZD	158,995"	Cd.7165		
F 100	100	1900							"BZD	272,872"	"BZD	231,878"		"BZD	158,995"	Cd.7165	"Rev, Exp, Exp Ln > 1900 given for fin yr ended following yr"	
F 101	101	1901							"BZD	256,051"	"BZD	241,720"		"BZD	158,995"	Cd.7165		
F 102	102	1902							"BZD	244,251"	"BZD	237,330"		"BZD	158,995"	Cd.7165		
F 103	103	1903							"BZD	283,386"	"BZD	250,311"		"BZD	158,995"	Cd.7165		
F 104	104	1904							"BZD	291,474"	"BZD	265,572"		"BZD	158,995"	Cd.7165		
F 105	105	1905							"BZD	312,475"	"BZD	282,594"		"BZD	158,995"	Cd.7165		
F 106	106	1906							"BZD	368,692"	"BZD	297,209"	"BZD	5,227"	"BZD	158,995"	Cd.7165		
F 107	107	1907							"BZD	371,818"	"BZD	317,921"	"BZD	168,218"	"BZD	158,995"	Cd.7165		
F 108	108	1908							"BZD	339,576"	"BZD	316,603"	"BZD	187,690"	"BZD	158,995"	Cd.7165		
F 109	109	1909							"BZD	372,450"	"BZD	405,292"	"BZD	151,823"	"BZD	158,995"	Cmd. 2738		
F 110	110	1910							"BZD	432,142"	"BZD	461,029"	"BZD	49,691"	"BZD	158,995"	Cmd. 2738		
F 111	111	1911							"BZD	468,851"	"BZD	413,773"	"BZD	86,890"	"BZD	891,354"	Cmd. 2738		
F 112	112	1912							"BZD	508,728"	"BZD	456,108"	"BZD	118,889"	"BZD	891,354"	Cmd. 2738		
F 113	113	1913							"BZD	539,881"	"BZD	485,847"	"BZD	87,563"	"BZD	891,354"	Cmd. 2738		
F 114	114	1914							"BZD	474,271"	"BZD	517,553"	"BZD	44,134"	"BZD	891,354"	Cmd. 2738		
F 115	115	1915							"BZD	486,309"	"BZD	505,790"	"BZD	1,488"	"BZD	891,354"	Cmd. 2738		
F 116	116	1916							"BZD	602,237"	"BZD	577,140"	"BZD	362"	"BZD	823,079"	Cmd. 2738		
F 117	117	1917							"BZD	636,246"	"BZD	635,367"	"BZD	481"	"BZD	823,079"	Cmd. 2738		
F 118	118	1918							"BZD	678,590"	"BZD	631,083"	"BZD	2,504"	"BZD	823,079"	Cmd. 2738		
F 119	119	1919							"BZD	1,002,622"	"BZD	923,770"	"BZD	1,007"	"BZD	823,079"	Cmd. 2738		
F 120	120	1920							"BZD	1,063,128"	"BZD	873,901"	"BZD	39,557"	"BZD	823,079"	Cmd. 2738		
F 121	121	1921							"BZD	1,039,862"	"BZD	1,327,372"	"BZD	132,273"	"BZD	625,997"	Cmd. 2738		
F 122	122	1922							"BZD	1,070,273"	"BZD	1,033,944"	"BZD	197,311"	"BZD	793,099"	Cmd. 3434		
F 123	123	1923							"BZD	1,028,520"	"BZD	1,132,084"	"BZD	262,413"	"BZD	701,645"	Cmd. 3434		
F 124	124	1924							"BZD	883,453"	"BZD	866,545"	"BZD	127,426"	"BZD	701,645"	Cmd. 3434		
F 125	125	1925							"BZD	937,382"	"BZD	913,073"	"BZD	35,519"	"BZD	701,645"	Cmd. 3434		
F 126	126	1926							"BZD	1,050,426"	"BZD	978,976"	"BZD	66,933"	"BZD	701,645"	Cmd. 3434		
F 127	127	1927							"BZD	1,005,057"	"BZD	1,046,334"	"BZD	65,326"	"BZD	701,645"	Cmd. 3434		
F 128	128	1928							"BZD	979,530"	"BZD	984,107"	"BZD	32,041"	"BZD	1,661,538"	Cmd. 5298		
F 129	129	1929							"BZD	974,952"	"BZD	961,221"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298		
F 130	130	1930							"BZD	1,093,961"	"BZD	1,020,725"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298		
F 131	131	1931							"BZD	823,903"	"BZD	974,952"	"BZD	9,154"	"BZD	1,757,661"	Cmd. 5298		
F 132	132	1932							"BZD	842,212"	"BZD	883,408"	"BZD	567,578"	"BZD	2,444,247"	Cmd. 5298		
F 133	133	1933							"BZD	993,261"	"BZD	901,716"	"BZD	425,683"	"BZD	2,540,369"	Cmd. 5298		
F 134	134	1934							"BZD	590,464"	"BZD	768,976"	"BZD	32,041"	"BZD	2,810,426"	Cmd. 5298	"Rev, Exp, Exp Ln, Debt exc last Q of fin yr"	
F 135	135	1935							"BZD	1,277,050"	"BZD	1,272,473"		"BZD	2,920,280"	Cmd. 5298		
F 136	136	1936													
F 137	137	1937							"BZD	1,551,160"	"BZD	1,531,400"			Cmd. 7167	All figs for calendar years	
F 138	138	1938							"BZD	1,740,840"	"BZD	1,872,870"		"BZD	3,080,198"	"Cmd. 7167
Cmd. 6607"	"Rev, Exp inc Exp Ln"	
F 139	139	1939							"BZD	1,966,860"	"BZD	1,966,860"			Cmd. 7167		
F 140	140	1940							"BZD	1,757,080"	"BZD	1,684,540"			Cmd. 7167		
F 141	141	1941							"BZD	1,575,730"	"BZD	1,523,340"			Cmd. 7167		
F 142	142	1942							"BZD	1,648,270"	"BZD	1,636,180"			Cmd. 7167		
F 143	143	1943							"BZD	1,877,980"	"BZD	1,837,680"			Cmd. 7167		
F 144	144	1944							"BZD	2,510,690"	"BZD	2,462,330"			Cmd. 7167		
F 145	145	1945							"BZD	2,506,660"	"BZD	2,530,840"			Cmd. 7167		
F 146	146	1946							"BZD	2,498,600"	"BZD	2,635,620"			Cmd. 7167		
F 147	147	1947							"BZD	2,505,798"	"BZD	2,909,985"			Col Rep 49	All figs for calendar years	
F 148	148	1948							"BZD	2,579,713"	"BZD	3,394,916"			Col Rep 49		
F 149	149	1949							"BZD	2,387,242"	"BZD	3,847,374"		"BZD	1,160,503"	Col Rep 49		
F 150	150	1950							"BZD	5,360,473"	"BZD	5,415,752"			Col Rep 52		
F 151	151	1951							"BZD	4,883,952"	"BZD	4,441,305"			Col Rep 52		
F 152	152	1952							"BZD	4,921,202"	"BZD	4,907,330"		"BZD	1,489,718"	Col Rep 52		
F 153	153	1953							"BZD	5,768,045"	"BZD	5,528,355"		"BZD	1,917,423"	Col Rep 54		
F 154	154	1954							"BZD	5,330,232"	"BZD	5,339,679"		"BZD	2,121,512"	Col Rep 54		
F 155	155	1955							"BZD	5,393,791"	"BZD	5,694,732"			Col Rep 56		
F 156	156	1956							"BZD	6,726,936"	"BZD	6,702,208"		"BZD	3,071,849"	Col Rep 56		
F 157	157	1957							"BZD	8,691,319"	"BZD	8,002,687"			Col Rep 58		
F 158	158	1958							"BZD	8,776,448"	"BZD	9,262,267"		"BZD	4,177,868"	Col Rep 58		
F 159	159	1959							"BZD	10,372,232"	"BZD	10,401,434"			Col Rep 59-61		
F 160	160	1960							"BZD	8,491,468"	"BZD	9,365,721"			Col Rep 59-61		
F 161	161	1961							"BZD	10,491,393"	"BZD	9,316,775"		"BZD	4,617,755"	Col Rep 59-61		
F 162	162	1962							"BZD	12,247,205"	"BZD	11,958,069"			Col Rep 62-63		
F 163	163	1963							"BZD	9,676,856"	"BZD	17,219,056"		"BZD	4,519,847"	Col Rep 62-63		
F 164	164	1964							"BZD	14,854,882"	"BZD	12,676,880"			Col Rep 64-65		
F 165	165	1965							"BZD	13,507,261"	"BZD	13,507,637"		"BZD	6,585,272"	Col Rep 64-65		
F 166	166	1966							"BZD	13,920,268"	"BZD	15,661,783"			Col Rep 66-67		
F 167	167	1967							"BZD	16,918,861"	"BZD	15,480,044"		"BZD	7,513,862"	Col Rep 66-67		
F 168	168	1968													
F 169	169	1969													
F 170	170	1970													
