Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 31	31	1	1	MS	PCR	0	1789	1798	1	vols	Police Court Records and Magistrates' Meetings	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"	xnp	###	
S 33	33	1	1	MS	PR a	xxx	1774	1849	23	vols	Private Records	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 1	"Where PR 1 = typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291, and so counted as 8 vols / D = 1, E, H, M, N, O, XY, 2, 3, Y, Z, AA, BB, DD, EE, FF"	xnp	###	
S 35	35	1	1	MS	R d	xxx	1805	1892	139	vols	Letters and Despatches	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 2	"Inc Mr. Miller’s Mission, Records 11 /Burdon 2 / Inc Proceedings of Public Meeting, Records 20 /Burdon 2 / D = 1, 2, 3, 4A, 4B, 4C, 4D, 5A, 5B, 6A, 6B, 6C, 6D, 6E, 10, 7, 8A, 8B, 8C, 8D, 9A, 9B, 11, 12, 13, 14A, 14B, 15, 16, 17, 18, 20, 19, 33, 21A, 21B, 21C, 22A, 22B, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32A, 32B, 34, 35, 36, 47, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 75, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 119A, 119B, 113, 114, 115, 116, 120A, 120B, 117, 118"	xnp	###	
S 37	37	1	1	MS	SC d	xxx	1817	1850	4	vols	Summary Courts	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 2	"d = 1, 2, 3, 4"	xnp	###	
S 39	39	1	1	MS	Sup Ct a	14	1820	1859	6	vols	Supreme Court	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 2	"Inc Summary Courts in some vols /Burdon 2 / D = A, B, C, D, E, F"	xnp	###	
S 87	87	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	Latin Americana	Bancroft Library	Berkeley	USA	np	np	np	np	np	np	np	np	np	np	xnp	Guide Link: https://www.lib.berkeley.edu/libraries/bancroft-library/latin-americana	xnp	###	
S 367	367	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	Church Missionary Society Archive	University of Birmingham	Birmingham	UK	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 111	111	1	1	MS	xxx	0	1762	1762	1	items	"Letter of attorney: Peter Ainsworth (1) and Peter Ainsworth (2) to Daniel Wilcox of Liverpool, master of the vessel ""King of Prussia"" and Peter Higson of Bolton, gentleman"	Bolton Archives and Local Studies Service	Bolton	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/d98d024b-a3f9-47e7-8ba0-4cc60ecd11e3	xnp	###	
S 215	215	1	1	MS	MHS a	0	xxx	xxx	xxx	xxx	Manuscripts	Massachusetts Historical Society	Boston	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.masshist.org/collection-guides/browse/manuscript-guides	xnp	###	
S 257	257	1	1	MS	xxx	0	1728	1733	1	vols	"Account book, 1728-1733, Mss C 5000"	New England Historic Genealogical Society	Boston	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://library.nehgs.org/record=b1064377~S0	xnp	###	
