Table 1
Date	Link	Delpher		Address	
13 Sep 1670	Link	"""VRANCKRYCK."". ""Oprechte Haerlemsche courant"". Haerlem, 1670/09/13 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267001/GDCS?u=camb55135&sid=GDCS&xid=d4b181f2	
10 Feb 1671	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1671/02/10 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926996:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267588/GDCS?u=camb55135&sid=GDCS&xid=84f87a80	
9 Apr 1671	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1671/04/09 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927021:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000207604/GDCS?u=camb55135&sid=GDCS&xid=29cb2c41	
8 Aug 1671	Link	""";; t-'':■ ""-'X:; ■S{p/ain^<si;lse:nj-;}'x',,;.. '..."". ""Oprechte Haerlemsche courant"". Haerlem, 1671/08/08 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927213:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000123226/GDCS?u=camb55135&sid=GDCS&xid=01847152	
22 Aug 1671	Link	""";. E N(:<S;e OT DiT^-aC't,"". ""Oprechte Haerlemsche courant"". Haerlem, 1671/08/22 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927273:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000208080/GDCS?u=camb55135&sid=GDCS&xid=377ea82e	
8 Aug 1673	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1673/08/08 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010680297:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000786052/GDCS?u=camb55135&sid=GDCS&xid=80232b8a	
8 Aug 1673	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1673/08/08 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927076:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000246523/GDCS?u=camb55135&sid=GDCS&xid=6aaaf9e9	
2 Nov 1673	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1673/11/02 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927105:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000247051/GDCS?u=camb55135&sid=GDCS&xid=bc3f1bb7	
2 Nov 1673	Link	"""De Madrit le 11 Octobre."". ""La gazette d'Amsterdam"". Amsterdam, 1673/11/02 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011014829:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001387504/GDCS?u=camb55135&sid=GDCS&xid=f8cc9bdf	
30 Nov 1673	Link	"""De Madrid le 8 Novembre."". ""La gazette d'Amsterdam"". Amsterdam, 1673/11/30 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011014836:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000248933/GDCS?u=camb55135&sid=GDCS&xid=6a53d5c3	
9 Aug 1674	Link	"""ENGELANT."". ""Amsterdamse courant"". Amsterdam, 1674/08/09 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010899155:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250215/GDCS?u=camb55135&sid=GDCS&xid=3c515fad	
20 Aug 1675	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1675/08/20 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927536:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250275/GDCS?u=camb55135&sid=GDCS&xid=9e57463e	
13 Apr 1677	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1677/04/13 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010927226:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000251060/GDCS?u=camb55135&sid=GDCS&xid=4b81c191	
15 Apr 1677	Link	"""De Madrit le 25 Mars."". ""La gazette d'Amsterdam"". Amsterdam, 1677/04/15 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011015033:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000133505/GDCS?u=camb55135&sid=GDCS&xid=2b187e95	
