Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 23	23	0	T	Barke 16	G. Vasquez Barke									Los poderes y los hombres						2016				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
S 24	24	1	P	Barlaeus			xxx		1					"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"				Amsterdam	Netherlands	1647	1647	Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	
S 25	25	0	A	Baudot	G. Baudot						Cahiers du monde hispanique et luso-brésilien	46		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
S 26	26	0	P	Bechtold		"T. Bechtold, R. Mussak"			1					Handbook of Natural Colorants				Chippenham	UK	2009				"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
S 27	27	1	S	Bel G			1861	2021						Gazette				Belmopan	Belize				"Gazettes 1861–1975 in CO 127
Gazettes 1976–Present in Archives and Records Service, or in Library Service
Published in Belize City 1861–1973
Gazette notices 1826 to c 1839 in Hon Alm / 1826 to c 1829 in Hon Gazette and Commercial Advertiser / 1838 to c 1841 in Belize Advertiser / 1840 to c 1848 Honduras Observer / 1854 to xxx in Packet Intelligencer"		
S 28	28	0	A	Bialuschewski	A. Bialuschewski						Ethnohistory	64	1	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						2017				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	
S 29	29	0	A	Bialuschewski 20	A. Bialuschewski						Hispanic American Historical Review	100	2	Juan Gallardo: A Native American Buccaneer						2020				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-8178200	
S 30	30	1	MS	Bib N Esp MSS/d			xxx		xxx					Manuscritos	Biblioteca Nacional de España	Madrid	Spain								
S 31	31	1	P	BL Thomason Tracts E. d			1640	1661	2008	vols				Thomason Tracts	British Library	London	UK					"G. K. Fortescue, Catalogue, London : 1908, Link: https://www.bl.uk/collection-guides/thomason-tracts "			
S 32	32	1	P	Blaeu			xxx		11					"Atlas maior, sive, Cosmographia Blaviana : qua solum, salum, cœlum, accuratissime describuntur"				Amsterdam	Netherlands	1662	1672		"v2, 6, 10, 11 missing from Harvard"	"Harvard: http://id.lib.harvard.edu/alma/990040734920203941/catalog
Erfgoed Leiden en Omstreken: https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu "	
S 33	33	0	P	Bolland 1	"O. N. Bolland, A. Shoman"				1					Land in Belize 1765—1871				Kingston	Jamaica	1975				file:///Users/angelnavidad/Downloads/land_in_belize_1765-1871_bolland_and_shoman.pdf	
S 34	34	0	P	Bolland 2	O. N. Bolland				1					Formation of a Colonial Society				Baltimore	USA	1977				https://archive.org/details/formationofcolon0000boll	
S 35	35	0	T	Bolland 75	O. N. Bolland									"The formation of a colonial society : Belize, from conquest to Crown Colony"						1975				file:///Users/angelnavidad/Downloads/content-hull_7151a.pdf	
S 36	36	0	T	Bowett	A. Bowett									The english mahogany trade 1700-1793 						1996				file:///Users/angelnavidad/Downloads/288218482-3.pdf	
S 37	37	0	P	Bracamonte	P. Bracamonte y Sosa				1					"La conquista inconclusa de Yucatán : los mayas de la montaña, 1560-1680"				Mexico	Mexico	2001				"file:///Users/angelnavidad/Downloads/(Peninsular_%20Estudios)%20Pedro%20Bracamonte%20y%20Sosa%20-%20La%20conquista%20inconclusa%20de%20Yucatán_%20los%20mayas%20de%20la%20montaña,%201560-1680-CIESAS%20(2001).pdf"	
S 38	38	0	T	Breuer	K. H. Breuer									"Colonies of happenstance: The english settlements in central america, 1525-1787 "						1993				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311	
S 39	39	1	P	Bristow Rep			xxx		1					Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War				Washington	USA	1905	1905	Gale / World Scholar		https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227# 	
S 40	40	0	A	Brown	W. Brown						Belizean Studies	18	2	The Mosquito Shore and the Bay of Honduras during the era of the American Revolution						1990				xxx	
S 41	41	1	P	BTPJ			1704	1782	14					"Board of Trade and Plantations, Journal"				London	UK	1920	1938			https://www.british-history.ac.uk/search/series/jrnl-trade-plantations	
S 42	42	0	A	Bulmer	"B. Bulmer-Thomas, V. Bulmer-Thomas"						Tempus	4		The Origins of the Belize Settlement						2016				file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	
S 43	43	1	P	Burdon d			1587	xxx	3					Archives of British Honduras				London	UK	1931	1935			"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf
Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf
Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	
S 44	44	1	P	Burke			xxx		2					An Account of the European Settlements in America				London	UK	1757	1757		Printed for R. and J. Dodsley ...	"HathiTrust v1: https://hdl.handle.net/2027/nnc2.ark:/13960/t51g2s09x
HathiTrust v2: https://hdl.handle.net/2027/nnc2.ark:/13960/t5q83cw18"	
S 45	45	1	MS	C 110/152			1681	1812	1	series				Commercial correspondence and accounts	National Archives	Kew	UK						Particularly Brailsford v Peers records [1681–94]		
S 46	46	0	P	Calderon	J. A. Calderón Quijano				1					Belice 1663 (?)-1821 				Seville	Spain	1944				http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
S 47	47	0	A	Camille	M. A. Camille & R. Espejo-Saavedra						Yearbook (Conference of Latin Americanist Geographers)	22		Historical Geography of the Belizean Logwood Trade						1996				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830	
S 48	48	1	P	Cardenas			1526	1639	1					"Relación historial eclesiástica de la provincia de Yucatán de la Nueva España, escrita el año de 1639"				Mexico	Mexico	1937	1937	Jones 1	= BL Egerton MS 1791		
S 49	49	0	P	Cardona	J. M. Cardona Amaya				1					Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 				Tegucigalpa	Honduras	2020				https://halshs.archives-ouvertes.fr/halshs-02540842/document	
