Table 1
	Rev	Exp	Exp Ln	Debt	Cf	N	Rev	Exp	Exp Ln	Debt	Cf	Note	
1877							"BZD	220,387"	"BZD	211,595"		"BZD	26,711"	C.6160		
1878							"BZD	204,836"	"BZD	259,314"		"BZD	22,893"	C.6160		
1879							"BZD	204,650"	"BZD	257,305"		"BZD	5,636"	C.6160		
1880							"BZD	219,423"	"BZD	312,770"		"BZD	0"	C.6160; C.3094 p 39		
1881							"BZD	221,492"	"BZD	206,623"		"BZD	0"	C.6160; C.3388 p 61		
1882							"BZD	235,411"	"BZD	225,847"			C.6160		
1883							"BZD	259,417"	"BZD	199,598"		"BZD	0"	C.6160; C.4193		
1884							"BZD	257,373"	"BZD	265,899"			C.6160		
1885							"BZD	261,227"	"BZD	316,175"	"BZD	61,162"		C.6160; Cd.307		
1886							"BZD	271,810"	"BZD	312,775"		"BZD	55,749"	C.6160; Cd.307		
1887							"BZD	280,142"	"BZD	294,295"		"BZD	55,749"	C.6160; Cd.307		
1888							"BZD	381,118"	"BZD	364,266"	"BZD	62,234"	"BZD	146,996"	C.6160; Cd.307		
1889							"BZD	442,537"	"BZD	381,162"	"BZD	11,212"	"BZD	146,996"	C.6160; Cd.307		
1890							"BZD	332,134"	"BZD	293,507"	"BZD	50,945"	"BZD	114,130"	Cd.307		
1891							"BZD	478,252"	"BZD	412,170"	"BZD	53,572"	"BZD	154,780"	Cd.307		
1892							"BZD	392,197"	"BZD	386,391"	"BZD	46,403"	"BZD	143,974"	Cd.307		
1893							"BZD	313,191"	"BZD	379,155"	"BZD	30,269"	"BZD	272,758"	Cd.307		
1894							"BZD	174,741"	"BZD	206,043"	"BZD	10,641"	"BZD	158,845"	Cd.307		
1895							"BZD	224,398"	"BZD	258,540"	"BZD	9,589"	"BZD	158,845"	Cd.307		
1896							"BZD	294,218"	"BZD	253,414"	"BZD	521"	"BZD	158,845"	Cd.307		
1897							"BZD	295,471"	"BZD	300,515"	"BZD	3,398"	"BZD	158,845"	Cd.307		
1898							"BZD	258,710"	"BZD	283,876"		"BZD	158,995"	Cd.7165		
1899							"BZD	235,888"	"BZD	247,144"		"BZD	158,995"	Cd.7165		
1900							"BZD	272,872"	"BZD	231,878"		"BZD	158,995"	Cd.7165	"Rev, Exp, Exp Ln > 1900 given for fin yr ended following yr"	
1901							"BZD	256,051"	"BZD	241,720"		"BZD	158,995"	Cd.7165		
1902							"BZD	244,251"	"BZD	237,330"		"BZD	158,995"	Cd.7165		
1903							"BZD	283,386"	"BZD	250,311"		"BZD	158,995"	Cd.7165		
1904							"BZD	291,474"	"BZD	265,572"		"BZD	158,995"	Cd.7165		
1905							"BZD	312,475"	"BZD	282,594"		"BZD	158,995"	Cd.7165		
1906							"BZD	368,692"	"BZD	297,209"	"BZD	5,227"	"BZD	158,995"	Cd.7165		
1907							"BZD	371,818"	"BZD	317,921"	"BZD	168,218"	"BZD	158,995"	Cd.7165		
1908							"BZD	339,576"	"BZD	316,603"	"BZD	187,690"	"BZD	158,995"	Cd.7165		
1909							"BZD	372,450"	"BZD	405,292"	"BZD	151,823"	"BZD	158,995"	Cmd. 2738		
1910							"BZD	432,142"	"BZD	461,029"	"BZD	49,691"	"BZD	158,995"	Cmd. 2738		
1911							"BZD	468,851"	"BZD	413,773"	"BZD	86,890"	"BZD	891,354"	Cmd. 2738		
