Table 1
3 Mar 1739	Link	New-York Weekly Journal (325)	"Newport, Rhode Island."	"Newport, Rhode Island. (1739, March 3"	"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325)"	"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4E6C55BA013%402356278-1062A4E6E66402E9%402-1062A4E74458CE9A%40Newport%252C%2BRhode%2BIsland."
16 Apr 1739	Link	New-York Weekly Journal (279)	Boston.		"Boston. (1739, April 16). New-York Weekly Journal (279)"	"Boston. (1739, April 16). New-York Weekly Journal (279), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A46BC1374605%402356322-1062A46BCEC21FCB%401-1062A46C035308E9%40Boston."
16 Apr 1739	Link	New-York Weekly Journal (279)	Boston.		"Boston. (1739, April 16). New-York Weekly Journal (279)"	"Boston. (1739, April 16). New-York Weekly Journal (279), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A46BC1374605%402356322-1062A46BCEC21FCB%401-1062A46C035308E9%40Boston."
31 Mar 1740	Link	New-York Weekly Journal (329)	"Extract of a Letter from Capt. Williams Master of the Scooner Whalebone, Going into the Bay of Honduras."		"Extract of a Letter from Capt. Williams Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 31). New-York Weekly Journal (329)"	"Extract of a Letter from Capt. Williams Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 31). New-York Weekly Journal (329), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A5060209C36B%402356672-1062A5062AA0E4D7%403-1062A506B0300D0C%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCapt.%2BWilliams%2BMaster%2Bof%2Bthe%2BScooner%2BWhalebone%252C%2BGoing%2Binto%2Bthe%2BBay%2Bof%2BHonduras."
5 May 1740	Link	New-York Weekly Journal (335)	"Boston, April 21."		"Boston, April 21. (1740, May 5). New-York Weekly Journal (335)"	"Boston, April 21. (1740, May 5). New-York Weekly Journal (335), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A523ECAFE87C%402356707-1062A523FA69DDEA%401-1062A5243A291C34%40Boston%252C%2BApril%2B21."
5 May 1740	Link	New-York Weekly Journal (335)	"Boston, April 21."		"Boston, April 21. (1740, May 5). New-York Weekly Journal (335)"	"Boston, April 21. (1740, May 5). New-York Weekly Journal (335), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A523ECAFE87C%402356707-1062A523FA69DDEA%401-1062A5243A291C34%40Boston%252C%2BApril%2B21."
9 Nov 1741	Link	New-York Weekly Journal (415)	"Boston, November 2."		"Boston, November 2. (1741, November 9). New-York Weekly Journal (415)"	"Boston, November 2. (1741, November 9). New-York Weekly Journal (415), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4B6F7355DE5%402357260-1062A4B71ED0E90F%402-1062A4B755DFC9D9%40Boston%252C%2BNovember%2B2."
9 Nov 1741	Link	New-York Weekly Journal (415)	"Boston, November 2."		"Boston, November 2. (1741, November 9). New-York Weekly Journal (415)"	"Boston, November 2. (1741, November 9). New-York Weekly Journal (415), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4B6F7355DE5%402357260-1062A4B71ED0E90F%402-1062A4B755DFC9D9%40Boston%252C%2BNovember%2B2."
14 Jun 1742	Link	New-York Weekly Journal (446)	"Extract of a Letter from Jamaica, Dated March 4th."		"Extract of a Letter from Jamaica, Dated March 4th. (1742, June 14). New-York Weekly Journal (446)"	"Extract of a Letter from Jamaica, Dated March 4th. (1742, June 14). New-York Weekly Journal (446), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4C9CD873EF9%402357477-1062A4C9D1BE4AAD%400-1062A4CA1C8E4EC9%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BJamaica%252C%2BDated%2BMarch%2B4th."
22 Nov 1742	Link	New-York Weekly Journal (470)	"Boston, October 11."		"Boston, October 11. (1742, November 22). New-York Weekly Journal (470)"	"Boston, October 11. (1742, November 22). New-York Weekly Journal (470), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4D75AA5CE7A%402357638-1062A4D778F18EE4%403-1062A4D7E5F59B77%40Boston%252C%2BOctober%2B11."
