C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		xxx		159	boxes	Archivo Franciscano	Biblioteca Nacional de México	Mexico	Mexico						Catalogue Link: https://bnm.iib.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-reservado/archivos-y-manuscritos	
		MS		xxx		77	mss	Département des Manuscrits Amérique	Bibliothèque nationale de France	Paris	France					BnF Catalogue général		
		MS		xxx		429	mss	Département des Manuscrits Mexicain	Bibliothèque nationale de France	Paris	France					BnF Catalogue général	BnF Catalogue général Link: https://archivesetmanuscrits.bnf.fr 	
		MS	Rawl MSS A. d	xxx		xxx	mss	"Rawlinson Manuscripts, Series A: English History, 12th-18th century"	Bodleian Library	Oxford	UK					Bod Lib Catalogue	Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 	
		P		1672	1737	300	titles	17th and 18th Century Nichols Newspapers Collection	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1701	1989	1063	feet	Papers of the United Society for the Propagation of the Gospel	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1894	1960	1	boxes	Papers of George Croker Bayly	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1762	1762	1	items	"Letter of attorney: Peter Ainsworth (1) and Peter Ainsworth (2) to Daniel Wilcox of Liverpool, master of the vessel ""King of Prussia"" and Peter Higson of Bolton, gentleman"	Bolton Archives and Local Studies Service	Bolton	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/d98d024b-a3f9-47e7-8ba0-4cc60ecd11e3	
		MS		1654	1937	28	boxes	"Joseph J. Williams, SJ ethnological collection"	Boston College	Boston	USA							
		MS	Add MS	1	2019	157097	mss	Additional Manuscripts	British Library	London	UK					BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"	
		MS	Egerton MS	701	1999	3942	mss	Egerton Manuscripts	British Library	London	UK					BL Catalogue		
		MS	Sloane MS	1	1964	3885	mss	Sloane Manuscripts	British Library	London	UK					BL Catalogue		
		P	BL Thomason Tracts E. d	1640	1661	2008	vols	Thomason Tracts	British Library	London	UK					"G. K. Fortescue, Catalogue, London : 1908, Link: https://www.bl.uk/collection-guides/thomason-tracts "		
		P		1604	1804	1271	titles	Burney Collection	British Library	London	UK							
		MS		1738	1809	xxx		Navy Board: Bound Out-letters	Caird Library and Archive	London	UK						"Ref ADM 354
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/C16344"	
		MS		xxx		xxx		Royal Commonwealth Society	Cambridge University	Cambridge	UK						Catalogue Link: https://www.lib.cam.ac.uk/rcs	
		MS		1631	1722	2564	items	William Blathwayt Papers	Colonial Williamsburg Foundation	Williamsburg	USA							
		MS		1803	1805	2	items	Asa Hosmer letters to his daughter Nancy	Connecticut Historical Society	Hartford	USA					WorldCat	Not found in CHS Catalogue Link: https://chs.waldo.kohalibrary.com	
		MS		1884	1957	6	feet	James G. Needham papers	Cornell University	Ithaca	USA							
		MS		1201	1955	129	boxes	Wilmot-Horton of Osmaston and Catton	Derbyshire Record Office	Matlock	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/cfe1d343-4149-4a53-b4b9-fa8a3dd173ba	
		MS		1803	1803	1	items	Memorandum on Bay of Honduras	Devon Archives and Local Studies Archive	Exeter	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/b741fca3-84f6-4b82-b935-3882ada856bc	
		MS		1666	1825	1	vols	Hotchkin Family Plantation record book	Duke University	Durham	USA							
		MS		1768	1794	10	feet	"James Rogers papers, 1768-1794 and undated"	Duke University	Durham	USA							
		MS		1536	1996	50	feet	"Frank Baker collection of Wesleyana and British Methodism, 1536-1996 and undated"	Duke University	Durham	USA							
		MS		1862	1863	1	item	William Howard Hooker Collection: H.M.S. Desperate Logbook	East Carolina University	Greenville	USA						Link: http://digital.lib.ecu.edu/1905	
		MS		1750	1850	10	feet	Collection of Philadelphia merchants records	Hagley Museum and Library	Wilmington	USA						Guide Link: https://findingaids.hagley.org/repositories/3/resources/830	
		P		xxx		5736	items	Latin American Pamphlet Collection	Harvard University	Cambridge	USA						https://library.harvard.edu/collections/latin-american-pamphlet-digital-collection	
		MS		1776	1985	272.76	feet	"Records of the Lydia E. Pinkham Medicine Company, 1776-ca.1985 (inclusive), 1859-1968 (bulk)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/8/resources/7693	
		MS		1743	1797	17	vols	Papeles varios de America	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/24/resources/3938	
		MS		1762	1829	10	boxes	"John Coffin Jones business records, 1762-1829 (inclusive)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/11/resources/7250	
		MS		1664	1854	44	feet	"Hancock family papers, 1664-1854 (inclusive)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/11/resources/7584	
		P		1722	1917	xxx		"Fondo Reservado, Publicaciones periódicas mexicanas 1722-1917"	Hemeroteca Nacional de México	Mexico	Mexico						Guide Link: https://hnm.iib.unam.mx/index.php/hemeroteca-nacional-de-mexico/colecciones/fondo-reservado/publicaciones-periodicas-mexicanas-1722-1917	
		MS		1681	1938	385	vols	Powel family papers	Historical Society of Pennsylvania	Philadelphia	USA						Catalogue Link: https://discover.hsp.org	
		MS		1793	1836	129	items	Pile family papers	Historical Society of Pennsylvania	Philadelphia	USA							
		MS		xxx		xxx		"Manuscripts for the Study of Iberian, Latin American, and Latino History"	Huntington Library	San Marino	USA						Guide Link: https://hdl.huntington.org/digital/collection/p15150coll1/id/7620/ 	
		MS		1175	1919	350000	items	Stowe Papers	Huntington Library	San Marino	USA						"Guide Link: https://hdl.handle.net/2027/mdp.39015017633713?urlappend=%3Bseq=165
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8ht2qq9/"	
		MS		1849	1859	45	items	George Mifflin Dallas papers	Huntington Library	San Marino	USA					Huntington Catalogue	HC Link: https://catalog.huntington.org/record=b1591201	
		MS		1150	1803	13000	items	Egerton family papers	Huntington Library	San Marino	USA					Huntington Catalogue	"HC Link: https://catalog.huntington.org/record=b1526229
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8mw2nvw/"	
		MS		1661	1671	1	vols	"A compilation of ""Instructions to Governors, Commissions, and other Papers respecting the Colonies,"" chiefly relating to Jamaica and Barbados"	Huntington Library	San Marino	USA						HC Link: https://catalog.huntington.org/record=b1071225	
		MS		1668	1734	195	items	William Blathwayt Papers (Addenda)	Huntington Library	San Marino	USA						OAC Link: https://oac.cdlib.org/findaid/ark:/13030/kt1199n4mx/	
		MS		1671	1712	34	items	Correspondence and documents from the office of William Blathwayt	Huntington Library	San Marino	USA							
		MS		1657	1770	500	items	William Blathwayt Papers	Huntington Library	San Marino	USA					Online Archive of California	OAC Link: https://oac.cdlib.org/findaid/ark:/13030/tf9b69p05t/	
		MS		1808	1964	15.75	feet	"Hugh Hammond Bennett papers, 1808-1964, undated"	Iowa State University	Ames	USA						ISU Aid: https://isuarchives.cuadra.com/star/findingaids/ms-0164.xml	
		MS		1847	2011	35	feet	Belize Mission Collection	Jesuit Archives & Research Center	Saint Louis	USA						Guide Link: http://jesuitarchives.org/collections/missouri-province-archive/belize-mission-collection/	
		MS		1784	1832	50	items	"Bennett, John & Sons of London"	Kent History and Library Centre	Maidstone	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/5da28075-2a5b-4959-812c-14afbbe4c0ef	
		MS		1804	1804	1	items	Memo. relating to Mr. Anderson and Honduras.	Kent History and Library Centre	Maidstone	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/b9e3d4f3-a83e-40c0-8fae-93a8b6a7c8eb	
		P	Kon Bib PK d	1486	1853	30000	items	Pamphlets	Koninklijke Bibliotheek	Hague	Netherlands					Goslinga	Kon Bib Catalogue Link: https://www.kb.nl/en/resources-research-guides/kb-collections/early-printed-books-until-1801/pamphlets	
		MS		1626	1822	40	vols	Fulham Papers Colonial	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2f1-40	
