C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		1801	1817	16	items	Henry Drinker Letters to Isaac Hicks	Swarthmore College	Swarthmore	USA						Catalogue Link: http://archives.tricolib.brynmawr.edu/repositories/7/resources/8705	
		MS		1736	1951	5	feet	"Document collection, Randolph Lee"	Town of Yorktown Museum	Yorktown Heights	USA						Catalogue not found	
		MS		xxx		xxx		Latin American Library Special Collections	Tulane University	New Orleans	USA						https://library.tulane.edu/locations/latin-american-library-special-collections	
		MS		1620	2016	xxx		Book A: Surveys	UK Hydrographic Office Archive	Taunton	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/967768e0-ca51-4635-ae14-deb758f3e1af	
		MS		1757	1853	xxx		Miscellaneous Papers (Remark Books)	UK Hydrographic Office Archive								TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/6d7ad44d-7bf7-4774-9d9d-0cbcbc13e9b0	
		MS		xxx		xxx		Bernath Memorial Collection	University of California	Santa Barbara	USA						https://www.library.ucsb.edu/special-collections/rare-books/bernath-memorial-collection	
		MS		1682	1968	0.5	feet	Bryant West Indies Ephemera Collection	University of Central Florida	Orlando	USA						https://scua.library.ucf.edu/repositories/4/resources/103	
		MS		1842	1843	1	item	"Personal journal of Captain Arthur Darley, R.N."	University of Delaware	Newark	USA						https://library.udel.edu/special/findaids/view?docId=ead/mss0097_0018.xml	
		MS		xxx		xxx		"Rare Books and Manuscripts, Latin America and Caribbean Collection"	University of Florida	Gainesville	USA						Catalogue Link: https://findingaids.uflib.ufl.edu/repositories/2/classifications/6	
		MS		1660	1804	9.5	feet	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	University of Michigan	Ann Arbor	USA						https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text	
		MS		1569	1758	200	items	Central American notarial documents : 1569-1758	University of Minnesota	Minneapolis	USA						https://primo.lib.umn.edu/permalink/f/1jg5c4a/UMN_ALMA21455086360001701	
		MS		1881	2000	12.8	feet	Records of YMCA international work in Latin America	University of Minnesota	Minneapolis	USA						https://archives.lib.umn.edu/repositories/7/resources/981	
		MS	"U Tex Lib, G19-d"	1500	1920	xxx		Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA					"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "	https://www.lib.utexas.edu/about/locations/benson	
		MS		1848	1906	0.77	feet	"Dashiell, Jeremiah Yellot, papers"	University of Texas	Austin	USA						https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html	
		MS		1874	1988	11	feet	Helen Madora Bisbee Papers	University of Texas	Austin	USA						http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html	
		MS		1808	1821	23	items	Louis-Michel Aury Papers	University of Texas	Austin	USA						http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	St. Augustine	Trinidad and Tobago						https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Mona	Jamaica						https://www.mona.uwi.edu/library/west-indies-collection-0	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados						https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	
		MS		1633	1633	1	items	Certificate	West Yorkshire Archive Service	Leeds	UK						"Ref WYL100/PO/6/X/1
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/3ab55b40-58ae-4c36-aac0-088ea937d165"	
		MS	Westminster d	1066	1900	xxx		Muniments of Westminster Abbey	Westminster Abbey	London	UK					Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "	
		P		1568	1949	128	feet	"Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk)"	Yale University	New Haven	USA					Yale University Library	Link: https://hdl.handle.net/10079/bibid/614729	
		MS		1771	1959	9	vols	"Records of the Moravian Missions, 1771-1959 (inclusive)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/4169488	
		MS		1576	1949	4	boxes	"Central America collection, 1576-1949 (inclusive)."	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/4816612	
		MS		1838	1871	1	boxes	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/613852	
		MS		1826	1830	2	vols	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/8013010	
		MS		1664	1857	7	boxes	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/12766676	
		MS		1768	1774	2	items	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/11880621	
		MS																
