Table 1
CF	OID	URL	URL	DATE	DATE	SCOPE	MIL	OLD NOTES	NOTES	EXTRACT	
GT 13 ram 8 no 69	c69	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347108	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347108	17 Nov 1616	1616-11-17.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	1	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 15 no 103	c9	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348744	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348744	1 Jan 1617	1617.	"CARTAS DE GOBERNADORES/Memorial de Garcia Garabito de León y mendoza, Gobernador de Honduras."	0	re memo de gob /v PARES cat / 40 IMGS MAY NEED CLOSER READING 15 JUL 2022 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 70	c70	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347109	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347109	17 Jan 1617	1617-01-17.	CARTAS DE AUDIENCIA/Expediente sobre el desacato de varios vecinos de Santiago a la autoridad del presidente de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 71	c71	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347110	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347110	10 Jun 1617	1617-06-10.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 72	c72	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347111	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347111	13 Jun 1617	1617-06-13.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 73	c73	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347112	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347112	14 Jun 1617	1617-06-14.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 74	c74	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347113	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347113	14 Jun 1617	1617-06-14.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 75	c75	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347114	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347114	13 Sep 1617	1617-09-13.	CARTAS DE AUDIENCIA/Decreto del Consejo sobre la residencia a los regidores y alcaldes ordinarios de Santiago.	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 76	c76	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347115	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347115	23 Oct 1617	1617-10-23.	CARTAS DE AUDIENCIA/Certificación de los oficiales reales de que ni el conde de la Gomera ni sus criados deben nada a la Caja real de Guatemala.	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 77	c77	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347116	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347116	1 Nov 1617	1617-11-01.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
